DATE,TIME,OPEN,HIGH,LOW,CLOSE,
10 Jan 2017,15:29:00,829.55,829.55,827.40,827.40,
10 Jan 2017,15:28:00,828.90,829.55,828.10,829.50,
10 Jan 2017,15:27:00,828.65,829.00,828.00,828.10,
10 Jan 2017,15:26:00,829.00,829.00,828.15,828.80,
10 Jan 2017,15:25:00,828.60,828.65,828.35,828.50,
10 Jan 2017,15:24:00,828.05,829.00,828.05,828.65,
10 Jan 2017,15:23:00,828.30,829.00,828.00,828.05,
10 Jan 2017,15:22:00,829.60,829.60,828.20,828.30,
10 Jan 2017,15:21:00,829.65,830.00,828.15,829.05,
10 Jan 2017,15:20:00,828.85,830.00,828.65,829.55,
10 Jan 2017,15:19:00,827.45,828.95,827.45,828.15,
10 Jan 2017,15:18:00,828.45,828.95,827.70,827.70,
10 Jan 2017,15:17:00,827.70,828.90,827.70,828.65,
10 Jan 2017,15:16:00,827.35,827.95,827.30,827.85,
10 Jan 2017,15:15:00,827.85,827.95,827.30,827.30,
10 Jan 2017,15:14:00,828.00,828.00,827.90,827.90,
10 Jan 2017,15:13:00,828.05,828.75,827.70,828.75,
10 Jan 2017,15:12:00,828.10,828.15,828.05,828.15,
10 Jan 2017,15:11:00,827.10,828.95,827.00,828.05,
10 Jan 2017,15:10:00,827.15,827.40,827.00,827.00,
10 Jan 2017,15:09:00,826.00,827.25,826.00,827.20,
10 Jan 2017,15:08:00,827.05,827.40,827.05,827.40,
10 Jan 2017,15:07:00,826.75,826.75,826.55,826.65,
10 Jan 2017,15:06:00,827.40,827.80,826.65,827.05,
10 Jan 2017,15:05:00,827.65,827.65,826.95,827.25,
10 Jan 2017,15:04:00,827.05,827.15,827.00,827.15,
10 Jan 2017,15:03:00,826.25,826.25,826.00,826.00,
10 Jan 2017,15:02:00,826.00,826.00,825.60,825.65,
10 Jan 2017,15:01:00,826.50,826.50,826.00,826.00,
10 Jan 2017,15:00:00,825.95,826.00,825.95,826.00,
10 Jan 2017,14:59:00,826.00,826.00,825.75,825.80,
10 Jan 2017,14:58:00,826.50,826.50,826.00,826.00,
10 Jan 2017,14:57:00,826.00,826.50,825.80,826.50,
10 Jan 2017,14:56:00,826.40,826.40,826.35,826.35,
10 Jan 2017,14:55:00,826.40,826.45,826.40,826.40,
10 Jan 2017,14:54:00,826.40,826.40,826.40,826.40,
10 Jan 2017,14:53:00,827.00,827.05,826.40,826.40,
10 Jan 2017,14:52:00,827.55,827.55,827.00,827.00,
10 Jan 2017,14:51:00,827.85,827.85,827.65,827.65,
10 Jan 2017,14:50:00,827.60,827.95,827.55,827.85,
10 Jan 2017,14:49:00,827.85,827.85,827.60,827.60,
10 Jan 2017,14:48:00,827.85,828.00,827.00,827.85,
10 Jan 2017,14:47:00,827.80,827.85,827.00,827.85,
10 Jan 2017,14:46:00,827.60,827.80,827.00,827.80,
10 Jan 2017,14:45:00,827.60,827.60,827.10,827.60,
10 Jan 2017,14:44:00,827.55,827.65,827.15,827.60,
10 Jan 2017,14:43:00,827.35,827.80,827.35,827.80,
10 Jan 2017,14:42:00,827.30,827.35,827.20,827.35,
10 Jan 2017,14:41:00,827.00,827.30,827.00,827.30,
10 Jan 2017,14:40:00,827.10,827.10,827.00,827.10,
10 Jan 2017,14:39:00,827.30,827.30,827.15,827.15,
10 Jan 2017,14:37:00,827.30,827.30,827.15,827.30,
10 Jan 2017,14:36:00,827.30,827.30,827.25,827.25,
10 Jan 2017,14:35:00,827.45,827.60,827.35,827.35,
10 Jan 2017,14:34:00,827.45,827.45,827.45,827.45,
10 Jan 2017,14:33:00,827.20,827.45,827.20,827.45,
10 Jan 2017,14:32:00,827.25,827.30,827.20,827.20,
10 Jan 2017,14:31:00,827.00,827.20,827.00,827.20,
10 Jan 2017,14:30:00,827.05,827.25,827.00,827.00,
10 Jan 2017,14:29:00,827.70,827.70,827.05,827.05,
10 Jan 2017,14:28:00,827.15,827.15,827.00,827.00,
10 Jan 2017,14:27:00,827.00,827.00,827.00,827.00,
10 Jan 2017,14:26:00,827.35,827.35,827.35,827.35,
10 Jan 2017,14:25:00,826.50,827.35,826.50,827.35,
10 Jan 2017,14:24:00,827.00,827.80,826.40,826.40,
