DATE,TIME,OPEN,HIGH,LOW,CLOSE,
10 Jan 2017,15:29:00,163.95,164.00,163.65,163.65,
10 Jan 2017,15:28:00,163.70,164.00,163.65,164.00,
10 Jan 2017,15:27:00,163.80,164.00,163.75,164.00,
10 Jan 2017,15:26:00,164.00,164.10,164.00,164.00,
10 Jan 2017,15:25:00,164.00,164.00,163.95,163.95,
10 Jan 2017,15:24:00,163.75,163.85,163.75,163.85,
10 Jan 2017,15:23:00,163.70,164.95,163.65,163.90,
10 Jan 2017,15:22:00,164.00,164.00,163.65,163.65,
10 Jan 2017,15:21:00,163.70,164.10,163.70,164.00,
10 Jan 2017,15:20:00,164.15,164.15,163.55,163.80,
10 Jan 2017,15:19:00,164.00,164.15,164.00,164.15,
10 Jan 2017,15:18:00,164.00,164.00,164.00,164.00,
10 Jan 2017,15:17:00,163.70,164.00,163.70,164.00,
10 Jan 2017,15:16:00,164.15,164.15,163.75,163.75,
10 Jan 2017,15:15:00,164.25,164.25,163.85,164.00,
10 Jan 2017,15:14:00,164.10,164.70,164.10,164.20,
10 Jan 2017,15:13:00,164.15,164.15,164.10,164.10,
10 Jan 2017,15:12:00,164.10,164.20,164.05,164.05,
10 Jan 2017,15:11:00,164.05,164.50,164.00,164.00,
10 Jan 2017,15:10:00,163.85,164.00,163.80,163.85,
10 Jan 2017,15:09:00,163.80,164.40,163.80,163.85,
10 Jan 2017,15:08:00,164.00,164.30,163.75,163.75,
10 Jan 2017,15:07:00,163.55,163.95,163.50,163.95,
10 Jan 2017,15:06:00,163.40,163.55,163.40,163.50,
10 Jan 2017,15:05:00,163.50,163.60,163.40,163.40,
10 Jan 2017,15:04:00,163.15,163.50,163.15,163.50,
10 Jan 2017,15:03:00,163.20,163.35,163.15,163.15,
10 Jan 2017,15:02:00,163.10,163.40,163.10,163.10,
10 Jan 2017,15:01:00,162.85,163.00,162.80,163.00,
10 Jan 2017,15:00:00,162.85,162.85,162.85,162.85,
10 Jan 2017,14:59:00,163.00,163.00,163.00,163.00,
10 Jan 2017,14:58:00,162.90,162.90,162.90,162.90,
10 Jan 2017,14:57:00,163.00,163.00,162.85,162.85,
10 Jan 2017,14:55:00,162.80,162.95,162.80,162.95,
10 Jan 2017,14:54:00,162.80,162.95,162.80,162.95,
10 Jan 2017,14:53:00,162.80,162.80,162.80,162.80,
10 Jan 2017,14:52:00,162.80,162.80,162.80,162.80,
10 Jan 2017,14:50:00,162.80,162.80,162.80,162.80,
10 Jan 2017,14:48:00,163.00,163.00,163.00,163.00,
10 Jan 2017,14:47:00,163.00,163.00,163.00,163.00,
10 Jan 2017,14:46:00,163.00,163.00,163.00,163.00,
10 Jan 2017,14:45:00,163.00,163.00,163.00,163.00,
10 Jan 2017,14:44:00,163.15,163.15,163.00,163.15,
10 Jan 2017,14:43:00,163.00,163.00,163.00,163.00,
10 Jan 2017,14:42:00,163.00,163.00,163.00,163.00,
10 Jan 2017,14:41:00,162.65,162.85,162.65,162.85,
10 Jan 2017,14:40:00,162.30,162.30,162.30,162.30,
10 Jan 2017,14:39:00,162.35,162.65,162.20,162.65,
10 Jan 2017,14:38:00,162.85,162.85,162.30,162.35,
10 Jan 2017,14:37:00,162.70,162.70,162.70,162.70,
10 Jan 2017,14:36:00,162.90,162.90,162.90,162.90,
10 Jan 2017,14:34:00,162.90,162.95,162.90,162.95,
10 Jan 2017,14:32:00,162.90,162.90,162.90,162.90,
10 Jan 2017,14:31:00,162.70,162.90,162.70,162.90,
10 Jan 2017,14:29:00,162.95,162.95,162.95,162.95,
10 Jan 2017,14:28:00,162.95,162.95,162.95,162.95,
10 Jan 2017,14:26:00,162.85,162.85,162.50,162.80,
10 Jan 2017,14:23:00,162.85,162.95,162.85,162.95,
10 Jan 2017,14:22:00,162.85,162.85,162.85,162.85,
10 Jan 2017,14:21:00,163.00,163.00,163.00,163.00,
10 Jan 2017,14:20:00,163.00,163.00,163.00,163.00,
10 Jan 2017,14:19:00,162.95,163.00,162.95,163.00,
10 Jan 2017,14:18:00,162.85,162.85,162.85,162.85,
10 Jan 2017,14:16:00,163.00,163.00,163.00,163.00,
10 Jan 2017,14:13:00,163.00,163.00,163.00,163.00,
10 Jan 2017,14:12:00,162.95,162.95,162.90,162.90,
