DATE,TIME,OPEN,HIGH,LOW,CLOSE,
10 Jan 2017,15:29:00,806.75,808.00,806.50,808.00,
10 Jan 2017,15:28:00,806.75,806.75,806.50,806.75,
10 Jan 2017,15:27:00,806.05,807.95,805.50,807.95,
10 Jan 2017,15:26:00,805.60,806.00,805.60,806.00,
10 Jan 2017,15:25:00,806.00,806.00,805.30,805.65,
10 Jan 2017,15:24:00,806.50,807.05,805.05,806.00,
10 Jan 2017,15:23:00,806.25,807.15,806.25,807.10,
10 Jan 2017,15:22:00,808.00,808.00,806.10,807.05,
10 Jan 2017,15:21:00,805.50,808.00,805.50,808.00,
10 Jan 2017,15:20:00,808.00,808.45,805.50,808.00,
10 Jan 2017,15:19:00,807.50,807.90,807.50,807.90,
10 Jan 2017,15:18:00,807.00,807.95,806.35,807.95,
10 Jan 2017,15:17:00,805.30,808.45,805.00,807.85,
10 Jan 2017,15:16:00,808.00,808.00,805.30,805.30,
10 Jan 2017,15:15:00,807.95,808.00,807.15,807.90,
10 Jan 2017,15:14:00,808.00,808.00,807.50,807.95,
10 Jan 2017,15:13:00,807.20,808.00,807.20,808.00,
10 Jan 2017,15:12:00,807.60,808.00,807.15,808.00,
10 Jan 2017,15:11:00,807.95,807.95,807.00,807.60,
10 Jan 2017,15:10:00,807.75,807.95,807.50,807.95,
10 Jan 2017,15:09:00,807.70,807.95,807.60,807.95,
10 Jan 2017,15:08:00,807.90,807.90,807.80,807.90,
10 Jan 2017,15:07:00,808.00,808.00,807.55,807.90,
10 Jan 2017,15:06:00,808.50,808.50,808.50,808.50,
10 Jan 2017,15:05:00,808.40,808.45,807.90,808.40,
10 Jan 2017,15:04:00,808.15,808.40,808.00,808.00,
10 Jan 2017,15:03:00,808.00,808.45,807.55,808.10,
10 Jan 2017,15:02:00,808.75,808.85,808.30,808.30,
10 Jan 2017,15:01:00,807.85,808.75,807.75,808.75,
10 Jan 2017,15:00:00,807.90,807.90,807.75,807.85,
10 Jan 2017,14:59:00,808.40,808.40,808.00,808.00,
10 Jan 2017,14:58:00,808.05,809.00,807.75,808.00,
10 Jan 2017,14:57:00,809.00,809.00,807.80,808.90,
10 Jan 2017,14:56:00,808.00,809.00,807.95,809.00,
10 Jan 2017,14:55:00,808.20,808.95,806.55,808.00,
10 Jan 2017,14:54:00,808.35,808.50,808.20,808.20,
10 Jan 2017,14:52:00,807.95,809.00,807.40,809.00,
10 Jan 2017,14:51:00,808.05,808.05,807.25,807.95,
10 Jan 2017,14:50:00,808.55,808.85,808.55,808.85,
10 Jan 2017,14:49:00,807.15,808.85,807.10,808.05,
10 Jan 2017,14:48:00,807.40,807.45,807.00,807.25,
10 Jan 2017,14:47:00,807.95,807.95,807.00,807.15,
10 Jan 2017,14:46:00,807.40,808.00,807.25,807.95,
10 Jan 2017,14:45:00,807.95,808.85,807.15,807.70,
10 Jan 2017,14:44:00,807.85,809.00,807.00,808.00,
10 Jan 2017,14:42:00,807.80,807.85,807.80,807.85,
10 Jan 2017,14:41:00,807.85,807.85,807.30,807.80,
10 Jan 2017,14:38:00,807.80,807.80,807.80,807.80,
10 Jan 2017,14:37:00,807.10,807.80,807.10,807.80,
10 Jan 2017,14:34:00,807.85,807.85,807.35,807.80,
10 Jan 2017,14:33:00,807.85,807.85,807.85,807.85,
10 Jan 2017,14:32:00,807.80,807.85,807.80,807.85,
10 Jan 2017,14:31:00,807.30,807.85,806.75,807.80,
10 Jan 2017,14:30:00,807.00,807.25,806.75,807.25,
10 Jan 2017,14:29:00,807.00,807.00,806.65,806.95,
10 Jan 2017,14:28:00,807.50,807.50,806.55,807.00,
10 Jan 2017,14:27:00,807.10,808.00,807.00,808.00,
10 Jan 2017,14:26:00,807.10,807.95,807.05,807.95,
10 Jan 2017,14:25:00,808.00,808.00,807.95,807.95,
10 Jan 2017,14:24:00,807.55,808.00,807.55,807.60,
10 Jan 2017,14:23:00,807.10,808.00,807.10,808.00,
10 Jan 2017,14:22:00,808.00,808.00,808.00,808.00,
10 Jan 2017,14:19:00,807.90,807.90,807.25,807.90,
10 Jan 2017,14:18:00,807.90,807.90,807.10,807.90,
10 Jan 2017,14:15:00,807.20,807.95,807.20,807.95,
10 Jan 2017,14:11:00,808.00,808.00,807.45,808.00,
10 Jan 2017,14:10:00,806.80,808.10,806.80,807.95,
10 Jan 2017,14:09:00,807.00,807.10,806.50,806.80,
10 Jan 2017,14:08:00,807.50,807.50,807.05,807.30,
10 Jan 2017,14:06:00,808.35,808.35,808.35,808.35,
10 Jan 2017,14:01:00,807.50,808.40,807.50,808.35,
10 Jan 2017,14:00:00,807.50,808.40,807.50,808.40,
10 Jan 2017,13:59:00,807.85,807.85,807.40,807.85,
10 Jan 2017,13:58:00,807.80,807.85,807.80,807.85,
10 Jan 2017,13:53:00,807.85,807.85,807.30,807.80,
10 Jan 2017,13:52:00,807.60,808.35,807.60,808.35,
10 Jan 2017,13:51:00,808.95,808.95,808.10,808.85,
10 Jan 2017,13:48:00,808.95,809.00,807.60,808.95,
10 Jan 2017,13:47:00,808.10,808.95,807.00,808.95,
10 Jan 2017,13:46:00,808.70,808.90,807.80,808.65,
10 Jan 2017,13:45:00,808.30,808.60,808.00,808.60,
10 Jan 2017,13:44:00,809.00,809.00,808.00,808.75,
10 Jan 2017,13:43:00,807.20,809.00,807.20,809.00,
10 Jan 2017,13:42:00,807.85,807.85,807.20,807.20,
10 Jan 2017,13:39:00,807.50,808.40,807.50,808.40,
10 Jan 2017,13:37:00,807.50,807.85,807.50,807.50,
10 Jan 2017,13:34:00,807.85,807.85,807.50,807.85,
10 Jan 2017,13:33:00,807.70,807.85,807.50,807.50,
10 Jan 2017,13:31:00,807.70,807.85,807.70,807.85,
10 Jan 2017,13:30:00,807.75,807.85,807.75,807.75,
10 Jan 2017,13:29:00,808.45,808.90,807.95,808.90,
10 Jan 2017,13:27:00,808.45,808.90,807.85,808.50,
10 Jan 2017,13:26:00,808.40,808.45,808.40,808.45,
10 Jan 2017,13:24:00,808.40,808.40,808.30,808.40,
10 Jan 2017,13:23:00,808.35,808.35,807.75,808.30,
10 Jan 2017,13:21:00,807.65,808.30,807.65,808.30,
10 Jan 2017,13:15:00,808.35,808.35,807.65,808.30,
10 Jan 2017,13:12:00,807.65,808.30,807.65,808.30,
10 Jan 2017,13:11:00,808.30,808.35,807.65,808.30,
10 Jan 2017,13:04:00,808.50,808.50,808.05,808.50,
10 Jan 2017,13:03:00,808.85,808.85,808.05,808.50,
10 Jan 2017,13:02:00,808.50,808.75,808.10,808.75,
10 Jan 2017,13:00:00,808.00,808.40,808.00,808.40,
10 Jan 2017,12:57:00,808.00,808.40,807.55,808.40,
10 Jan 2017,12:56:00,808.00,808.00,807.55,807.55,
10 Jan 2017,12:55:00,808.00,808.00,807.55,808.00,
10 Jan 2017,12:54:00,808.00,808.00,807.45,808.00,
10 Jan 2017,12:53:00,807.95,807.95,807.50,807.50,
10 Jan 2017,12:52:00,807.90,807.95,807.45,807.95,
10 Jan 2017,12:51:00,807.90,807.95,807.45,807.90,
10 Jan 2017,12:50:00,807.40,807.90,807.40,807.90,
10 Jan 2017,12:49:00,807.55,808.00,807.40,807.90,
10 Jan 2017,12:48:00,807.55,808.10,807.55,808.00,
10 Jan 2017,12:47:00,807.65,807.65,807.65,807.65,
10 Jan 2017,12:44:00,807.70,808.35,807.65,808.35,
10 Jan 2017,12:42:00,807.70,808.45,807.70,808.40,
10 Jan 2017,12:41:00,808.45,808.50,807.65,808.45,
10 Jan 2017,12:38:00,807.65,808.45,807.65,808.45,
10 Jan 2017,12:32:00,808.50,808.50,807.65,808.50,
10 Jan 2017,12:31:00,807.45,808.50,807.45,808.50,
10 Jan 2017,12:27:00,807.75,807.90,807.40,807.90,
10 Jan 2017,12:26:00,807.40,807.75,807.40,807.40,
10 Jan 2017,12:25:00,807.70,807.70,807.40,807.70,
10 Jan 2017,12:24:00,807.50,807.90,807.35,807.70,
10 Jan 2017,12:23:00,807.70,807.75,807.10,807.50,
10 Jan 2017,12:22:00,807.30,807.30,807.25,807.25,
10 Jan 2017,12:21:00,807.95,807.95,807.30,807.75,
10 Jan 2017,12:20:00,807.95,807.95,807.50,807.50,
10 Jan 2017,12:16:00,807.25,808.60,807.25,808.60,
10 Jan 2017,12:15:00,807.85,808.40,807.25,807.60,
10 Jan 2017,12:14:00,808.05,808.80,807.80,808.40,
10 Jan 2017,12:10:00,808.70,808.90,807.85,808.90,
10 Jan 2017,12:06:00,808.00,808.45,808.00,808.45,
10 Jan 2017,12:05:00,808.50,808.50,808.30,808.50,
10 Jan 2017,12:04:00,808.50,808.55,808.50,808.55,
10 Jan 2017,12:03:00,808.55,808.55,808.55,808.55,
10 Jan 2017,12:02:00,808.65,808.70,808.65,808.65,
10 Jan 2017,12:01:00,808.75,808.75,808.00,808.50,
10 Jan 2017,12:00:00,808.35,808.35,808.35,808.35,
10 Jan 2017,11:59:00,807.85,807.85,807.85,807.85,
10 Jan 2017,11:56:00,808.00,808.40,807.65,808.40,
10 Jan 2017,11:55:00,807.65,808.55,807.65,808.35,
10 Jan 2017,11:54:00,809.00,809.00,808.80,808.90,
10 Jan 2017,11:53:00,808.70,809.00,808.40,808.90,
10 Jan 2017,11:52:00,808.80,809.00,808.80,809.00,
