DATE,TIME,CLOSE
01/01/2014,09:20:00,106.3
01/01/2014,09:25:00,105.5
01/01/2014,09:30:00,105.9
01/01/2014,09:35:00,105.55
01/01/2014,09:40:00,105.6
01/01/2014,09:45:00,105.85
01/01/2014,09:50:00,105.65
01/01/2014,09:55:00,106.05
01/01/2014,10:00:00,105.85
01/01/2014,10:05:00,105.75
01/01/2014,10:10:00,106.15
01/01/2014,10:15:00,105.9
01/01/2014,10:20:00,105.85
01/01/2014,10:25:00,105.85
01/01/2014,10:30:00,106.0
01/01/2014,10:35:00,105.85
01/01/2014,10:40:00,106.05
01/01/2014,10:45:00,105.75
01/01/2014,10:50:00,105.45
01/01/2014,10:55:00,105.55
01/01/2014,11:00:00,105.35
01/01/2014,11:05:00,105.45
01/01/2014,11:10:00,105.35
01/01/2014,11:15:00,105.3
01/01/2014,11:20:00,105.25
01/01/2014,11:25:00,105.65
01/01/2014,11:30:00,105.5
01/01/2014,11:35:00,105.35
01/01/2014,11:40:00,105.3
01/01/2014,11:45:00,105.45
01/01/2014,11:50:00,105.5
01/01/2014,11:55:00,105.45
01/01/2014,12:00:00,105.35
01/01/2014,12:05:00,105.4
01/01/2014,12:10:00,105.4
01/01/2014,12:15:00,105.4
01/01/2014,12:20:00,105.3
01/01/2014,12:25:00,105.45
01/01/2014,12:30:00,105.7
01/01/2014,12:35:00,105.75
01/01/2014,12:40:00,105.65
01/01/2014,12:45:00,105.65
01/01/2014,12:50:00,105.6
01/01/2014,12:55:00,105.6
01/01/2014,13:00:00,105.6
01/01/2014,13:05:00,105.5
01/01/2014,13:10:00,105.5
01/01/2014,13:15:00,105.55
01/01/2014,13:20:00,105.65
01/01/2014,13:25:00,105.55
01/01/2014,13:30:00,105.55
01/01/2014,13:35:00,105.55
01/01/2014,13:40:00,105.6
01/01/2014,13:45:00,105.55
01/01/2014,13:50:00,105.5
01/01/2014,13:55:00,105.55
01/01/2014,14:00:00,105.55
01/01/2014,14:05:00,105.55
01/01/2014,14:10:00,105.4
01/01/2014,14:15:00,105.35
01/01/2014,14:20:00,104.7
01/01/2014,14:25:00,104.6
01/01/2014,14:30:00,104.85
01/01/2014,14:35:00,104.9
01/01/2014,14:40:00,104.8
01/01/2014,14:45:00,104.9
01/01/2014,14:50:00,104.85
01/01/2014,14:55:00,104.85
01/01/2014,15:00:00,104.8
01/01/2014,15:05:00,104.85
01/01/2014,15:10:00,104.85
01/01/2014,15:15:00,104.8
01/01/2014,15:20:00,104.7
01/01/2014,15:25:00,104.65
01/01/2014,15:30:00,104.75
02/01/2014,09:20:00,105.65
02/01/2014,09:25:00,105.7
02/01/2014,09:30:00,106.95
02/01/2014,09:35:00,106.9
02/01/2014,09:40:00,106.6
02/01/2014,09:45:00,106.6
02/01/2014,09:50:00,106.5
02/01/2014,09:55:00,106.7
02/01/2014,10:00:00,106.65
02/01/2014,10:05:00,106.3
02/01/2014,10:10:00,106.25
02/01/2014,10:15:00,106.05
02/01/2014,10:20:00,105.7
02/01/2014,10:25:00,105.3
02/01/2014,10:30:00,104.75
02/01/2014,10:35:00,104.85
02/01/2014,10:40:00,104.55
02/01/2014,10:45:00,104.75
02/01/2014,10:50:00,104.7
02/01/2014,10:55:00,104.75
02/01/2014,11:00:00,104.9
02/01/2014,11:05:00,104.95
02/01/2014,11:10:00,105.05
02/01/2014,11:15:00,105.05
02/01/2014,11:20:00,105.0
02/01/2014,11:25:00,105.05
02/01/2014,11:30:00,105.15
02/01/2014,11:35:00,104.6
02/01/2014,11:40:00,104.75
02/01/2014,11:45:00,104.9
02/01/2014,11:50:00,104.75
02/01/2014,11:55:00,104.9
02/01/2014,12:00:00,104.7
02/01/2014,12:05:00,104.45
02/01/2014,12:10:00,104.7
02/01/2014,12:15:00,104.8
02/01/2014,12:20:00,104.95
02/01/2014,12:25:00,104.95
02/01/2014,12:30:00,105.0
02/01/2014,12:35:00,105.1
02/01/2014,12:40:00,105.1
02/01/2014,12:45:00,105.0
02/01/2014,12:50:00,104.9
02/01/2014,12:55:00,104.9
02/01/2014,13:00:00,104.95
02/01/2014,13:05:00,104.9
02/01/2014,13:10:00,104.9
02/01/2014,13:15:00,104.8
02/01/2014,13:20:00,104.8
02/01/2014,13:25:00,104.55
02/01/2014,13:30:00,104.65
02/01/2014,13:35:00,104.75
02/01/2014,13:40:00,104.75
02/01/2014,13:45:00,104.6
02/01/2014,13:50:00,104.6
02/01/2014,13:55:00,104.65
02/01/2014,14:00:00,104.25
02/01/2014,14:05:00,102.75
02/01/2014,14:10:00,103.0
02/01/2014,14:15:00,103.7
02/01/2014,14:20:00,103.6
02/01/2014,14:25:00,102.75
02/01/2014,14:30:00,102.6
02/01/2014,14:35:00,102.95
02/01/2014,14:40:00,103.0
02/01/2014,14:45:00,102.9
02/01/2014,14:50:00,102.2
02/01/2014,14:55:00,101.8
02/01/2014,15:00:00,102.5
02/01/2014,15:05:00,102.6
02/01/2014,15:10:00,103.65
02/01/2014,15:15:00,103.05
02/01/2014,15:20:00,103.05
02/01/2014,15:25:00,102.7
02/01/2014,15:30:00,102.1
03/01/2014,09:20:00,102.65
03/01/2014,09:25:00,101.9
03/01/2014,09:30:00,102.95
03/01/2014,09:35:00,103.55
03/01/2014,09:40:00,103.4
03/01/2014,09:45:00,103.5
03/01/2014,09:50:00,103.4
03/01/2014,09:55:00,103.15
