DATE,TIME,CLOSE
01/01/2014,09:20:00,349.0
01/01/2014,09:25:00,349.8
01/01/2014,09:30:00,350.2
01/01/2014,09:35:00,348.35
01/01/2014,09:40:00,348.5
01/01/2014,09:45:00,348.25
01/01/2014,09:50:00,348.05
01/01/2014,09:55:00,349.0
01/01/2014,10:00:00,348.65
01/01/2014,10:05:00,347.0
01/01/2014,10:10:00,348.2
01/01/2014,10:15:00,349.65
01/01/2014,10:20:00,349.9
01/01/2014,10:25:00,350.15
01/01/2014,10:30:00,349.75
01/01/2014,10:35:00,349.0
01/01/2014,10:40:00,349.0
01/01/2014,10:45:00,349.3
01/01/2014,10:50:00,349.1
01/01/2014,10:55:00,349.1
01/01/2014,11:00:00,349.35
01/01/2014,11:05:00,349.45
01/01/2014,11:10:00,349.5
01/01/2014,11:15:00,349.55
01/01/2014,11:20:00,349.45
01/01/2014,11:25:00,349.0
01/01/2014,11:30:00,351.15
01/01/2014,11:35:00,350.5
01/01/2014,11:40:00,349.7
01/01/2014,11:45:00,349.95
01/01/2014,11:50:00,350.1
01/01/2014,11:55:00,350.2
01/01/2014,12:00:00,350.6
01/01/2014,12:05:00,350.6
01/01/2014,12:10:00,350.6
01/01/2014,12:15:00,350.65
01/01/2014,12:20:00,350.5
01/01/2014,12:25:00,351.2
01/01/2014,12:30:00,351.6
01/01/2014,12:35:00,351.9
01/01/2014,12:40:00,352.0
01/01/2014,12:45:00,352.1
01/01/2014,12:50:00,351.7
01/01/2014,12:55:00,351.25
01/01/2014,13:00:00,350.75
01/01/2014,13:05:00,350.6
01/01/2014,13:10:00,350.65
01/01/2014,13:15:00,350.7
01/01/2014,13:20:00,349.7
01/01/2014,13:25:00,350.4
01/01/2014,13:30:00,350.65
01/01/2014,13:35:00,350.65
01/01/2014,13:40:00,350.5
01/01/2014,13:45:00,350.0
01/01/2014,13:50:00,349.9
01/01/2014,13:55:00,349.95
01/01/2014,14:00:00,348.35
01/01/2014,14:05:00,349.5
01/01/2014,14:10:00,349.95
01/01/2014,14:15:00,349.05
01/01/2014,14:20:00,350.35
01/01/2014,14:25:00,350.45
01/01/2014,14:30:00,350.5
01/01/2014,14:35:00,350.75
01/01/2014,14:40:00,351.0
01/01/2014,14:45:00,351.1
01/01/2014,14:50:00,350.7
01/01/2014,14:55:00,350.65
01/01/2014,15:00:00,350.0
01/01/2014,15:05:00,349.75
01/01/2014,15:10:00,349.55
01/01/2014,15:15:00,349.55
01/01/2014,15:20:00,349.1
01/01/2014,15:25:00,349.0
01/01/2014,15:30:00,349.3
02/01/2014,09:20:00,354.0
02/01/2014,09:25:00,352.95
02/01/2014,09:30:00,353.0
02/01/2014,09:35:00,352.8
02/01/2014,09:40:00,352.9
02/01/2014,09:45:00,353.0
02/01/2014,09:50:00,353.0
02/01/2014,09:55:00,353.0
02/01/2014,10:00:00,352.95
02/01/2014,10:05:00,352.6
02/01/2014,10:10:00,351.75
