DATE,TIME,CLOSE
01/01/2014,09:20:00,324.4
01/01/2014,09:25:00,324.05
01/01/2014,09:30:00,324.1
01/01/2014,09:35:00,324.2
01/01/2014,09:40:00,324.0
01/01/2014,09:45:00,324.15
01/01/2014,09:50:00,324.35
01/01/2014,09:55:00,324.05
01/01/2014,10:00:00,324.3
01/01/2014,10:05:00,324.3
01/01/2014,10:10:00,324.5
01/01/2014,10:15:00,324.75
01/01/2014,10:20:00,324.75
01/01/2014,10:25:00,324.85
01/01/2014,10:30:00,324.85
01/01/2014,10:35:00,324.8
01/01/2014,10:40:00,324.75
01/01/2014,10:45:00,324.5
01/01/2014,10:50:00,324.75
01/01/2014,10:55:00,324.55
01/01/2014,11:00:00,324.65
01/01/2014,11:05:00,325.15
01/01/2014,11:10:00,325.15
01/01/2014,11:15:00,325.1
01/01/2014,11:20:00,325.05
01/01/2014,11:25:00,325.0
01/01/2014,11:30:00,324.95
01/01/2014,11:35:00,324.5
01/01/2014,11:40:00,324.85
01/01/2014,11:45:00,324.55
01/01/2014,11:50:00,324.7
01/01/2014,11:55:00,325.0
01/01/2014,12:00:00,324.65
01/01/2014,12:05:00,324.8
01/01/2014,12:10:00,324.55
01/01/2014,12:15:00,324.5
01/01/2014,12:20:00,324.4
01/01/2014,12:25:00,324.5
01/01/2014,12:30:00,324.5
01/01/2014,12:35:00,324.5
01/01/2014,12:40:00,324.5
01/01/2014,12:45:00,324.7
01/01/2014,12:50:00,324.5
01/01/2014,12:55:00,324.5
01/01/2014,13:00:00,324.5
01/01/2014,13:05:00,324.5
01/01/2014,13:10:00,324.4
01/01/2014,13:15:00,324.3
01/01/2014,13:20:00,324.25
01/01/2014,13:25:00,324.3
01/01/2014,13:30:00,324.3
01/01/2014,13:35:00,324.25
01/01/2014,13:40:00,324.15
01/01/2014,13:45:00,323.9
01/01/2014,13:50:00,323.7
01/01/2014,13:55:00,323.5
01/01/2014,14:00:00,323.45
01/01/2014,14:05:00,323.7
01/01/2014,14:10:00,323.6
01/01/2014,14:15:00,323.7
01/01/2014,14:20:00,323.3
01/01/2014,14:25:00,323.4
01/01/2014,14:30:00,323.5
01/01/2014,14:35:00,323.65
01/01/2014,14:40:00,323.7
01/01/2014,14:45:00,323.85
01/01/2014,14:50:00,323.9
01/01/2014,14:55:00,324.05
01/01/2014,15:00:00,324.0
01/01/2014,15:05:00,324.0
01/01/2014,15:10:00,323.95
01/01/2014,15:15:00,323.7
01/01/2014,15:20:00,323.6
01/01/2014,15:25:00,323.6
01/01/2014,15:30:00,323.15
02/01/2014,09:20:00,324.5
02/01/2014,09:25:00,324.7
02/01/2014,09:30:00,324.75
02/01/2014,09:35:00,324.6
02/01/2014,09:40:00,324.85
02/01/2014,09:45:00,324.5
02/01/2014,09:50:00,324.9
02/01/2014,09:55:00,324.9
02/01/2014,10:00:00,324.75
02/01/2014,10:05:00,324.85
02/01/2014,10:10:00,325.3
02/01/2014,10:15:00,325.2
02/01/2014,10:20:00,325.25
02/01/2014,10:25:00,325.35
02/01/2014,10:30:00,325.05
02/01/2014,10:35:00,324.7
02/01/2014,10:40:00,324.55
02/01/2014,10:45:00,324.1
02/01/2014,10:50:00,324.1
02/01/2014,10:55:00,324.35
02/01/2014,11:00:00,324.15
02/01/2014,11:05:00,324.1
02/01/2014,11:10:00,324.35
02/01/2014,11:15:00,324.6
02/01/2014,11:20:00,324.45
02/01/2014,11:25:00,324.9
02/01/2014,11:30:00,324.9
02/01/2014,11:35:00,324.6
02/01/2014,11:40:00,324.65
02/01/2014,11:45:00,324.5
02/01/2014,11:50:00,324.45
02/01/2014,11:55:00,324.25
02/01/2014,12:00:00,324.1
02/01/2014,12:05:00,323.85
02/01/2014,12:10:00,323.75
02/01/2014,12:15:00,323.6
02/01/2014,12:20:00,323.9
02/01/2014,12:25:00,323.25
02/01/2014,12:30:00,323.35
02/01/2014,12:35:00,323.45
02/01/2014,12:40:00,323.0
02/01/2014,12:45:00,323.1
02/01/2014,12:50:00,323.0
02/01/2014,12:55:00,322.9
02/01/2014,13:00:00,322.95
02/01/2014,13:05:00,322.75
02/01/2014,13:10:00,322.65
02/01/2014,13:15:00,322.9
02/01/2014,13:20:00,322.75
02/01/2014,13:25:00,322.9
02/01/2014,13:30:00,322.95
02/01/2014,13:35:00,322.8
02/01/2014,13:40:00,322.6
02/01/2014,13:45:00,322.7
02/01/2014,13:50:00,322.5
02/01/2014,13:55:00,322.0
02/01/2014,14:00:00,321.85
02/01/2014,14:05:00,321.45
02/01/2014,14:10:00,320.95
02/01/2014,14:15:00,321.7
02/01/2014,14:20:00,321.85
02/01/2014,14:25:00,321.55
02/01/2014,14:30:00,321.55
02/01/2014,14:35:00,321.6
02/01/2014,14:40:00,321.8
