DATE,TIME,CLOSE
01/01/2014,09:20:00,401.95
01/01/2014,09:25:00,402.45
01/01/2014,09:30:00,403.0
01/01/2014,09:35:00,402.95
01/01/2014,09:40:00,402.95
01/01/2014,09:45:00,402.95
01/01/2014,09:50:00,403.2
01/01/2014,09:55:00,403.45
01/01/2014,10:00:00,403.95
01/01/2014,10:05:00,403.25
01/01/2014,10:10:00,402.85
01/01/2014,10:15:00,402.95
01/01/2014,10:20:00,402.85
01/01/2014,10:25:00,403.1
01/01/2014,10:30:00,403.25
01/01/2014,10:35:00,402.8
01/01/2014,10:40:00,402.9
01/01/2014,10:45:00,403.1
01/01/2014,10:50:00,402.85
01/01/2014,10:55:00,403.2
01/01/2014,11:00:00,403.25
01/01/2014,11:05:00,403.25
01/01/2014,11:10:00,403.05
01/01/2014,11:15:00,403.25
01/01/2014,11:20:00,403.35
01/01/2014,11:25:00,403.5
01/01/2014,11:30:00,403.05
01/01/2014,11:35:00,402.5
01/01/2014,11:40:00,405.65
01/01/2014,11:45:00,404.7
01/01/2014,11:50:00,405.0
01/01/2014,11:55:00,404.0
01/01/2014,12:00:00,404.55
01/01/2014,12:05:00,404.5
01/01/2014,12:10:00,404.5
01/01/2014,12:15:00,404.55
01/01/2014,12:20:00,404.25
01/01/2014,12:25:00,404.2
01/01/2014,12:30:00,403.5
01/01/2014,12:35:00,404.2
01/01/2014,12:40:00,403.85
01/01/2014,12:45:00,404.8
01/01/2014,12:50:00,404.25
01/01/2014,12:55:00,403.75
01/01/2014,13:00:00,403.6
01/01/2014,13:05:00,403.45
01/01/2014,13:10:00,403.0
01/01/2014,13:15:00,402.9
01/01/2014,13:20:00,403.0
01/01/2014,13:25:00,403.4
01/01/2014,13:30:00,402.85
01/01/2014,13:35:00,403.0
01/01/2014,13:40:00,403.25
01/01/2014,13:45:00,403.0
01/01/2014,13:50:00,403.25
01/01/2014,13:55:00,403.0
01/01/2014,14:00:00,403.0
01/01/2014,14:05:00,402.85
01/01/2014,14:10:00,402.4
01/01/2014,14:15:00,402.75
01/01/2014,14:20:00,402.25
01/01/2014,14:25:00,402.65
01/01/2014,14:30:00,402.5
01/01/2014,14:35:00,402.5
01/01/2014,14:40:00,402.5
01/01/2014,14:45:00,402.5
01/01/2014,14:50:00,402.45
01/01/2014,14:55:00,401.9
01/01/2014,15:00:00,402.0
01/01/2014,15:05:00,402.0
01/01/2014,15:10:00,402.15
01/01/2014,15:15:00,401.55
01/01/2014,15:20:00,402.0
01/01/2014,15:25:00,401.75
01/01/2014,15:30:00,401.25
02/01/2014,09:20:00,404.0
02/01/2014,09:25:00,404.0
02/01/2014,09:30:00,404.35
02/01/2014,09:35:00,405.35
02/01/2014,09:40:00,404.5
02/01/2014,09:45:00,404.15
02/01/2014,09:50:00,404.0
02/01/2014,09:55:00,404.15
02/01/2014,10:00:00,404.45
02/01/2014,10:05:00,404.5
02/01/2014,10:10:00,403.95
02/01/2014,10:15:00,404.35
02/01/2014,10:20:00,403.8
02/01/2014,10:25:00,403.6
02/01/2014,10:30:00,403.4
02/01/2014,10:35:00,403.2
02/01/2014,10:40:00,403.2
02/01/2014,10:45:00,403.55
02/01/2014,10:50:00,403.35
02/01/2014,10:55:00,404.2
02/01/2014,11:00:00,403.85
02/01/2014,11:05:00,403.7
02/01/2014,11:10:00,404.65
02/01/2014,11:15:00,404.1
02/01/2014,11:20:00,404.15
02/01/2014,11:25:00,404.0
02/01/2014,11:30:00,404.5
02/01/2014,11:35:00,404.35
02/01/2014,11:40:00,404.15
02/01/2014,11:45:00,404.0
02/01/2014,11:50:00,404.25
02/01/2014,11:55:00,405.8
02/01/2014,12:00:00,405.5
02/01/2014,12:05:00,404.25
02/01/2014,12:10:00,404.75
02/01/2014,12:15:00,404.35
02/01/2014,12:20:00,404.4
02/01/2014,12:25:00,403.95
02/01/2014,12:30:00,403.9
02/01/2014,12:35:00,403.8
02/01/2014,12:40:00,403.5
02/01/2014,12:45:00,403.0
02/01/2014,12:50:00,403.1
02/01/2014,12:55:00,402.8
02/01/2014,13:00:00,403.0
02/01/2014,13:05:00,402.8
02/01/2014,13:10:00,403.0
02/01/2014,13:15:00,402.85
02/01/2014,13:20:00,402.4
02/01/2014,13:25:00,401.3
02/01/2014,13:30:00,401.3
02/01/2014,13:35:00,401.8
02/01/2014,13:40:00,401.55
02/01/2014,13:45:00,401.0
02/01/2014,13:50:00,399.8
02/01/2014,13:55:00,400.85
02/01/2014,14:00:00,399.45
02/01/2014,14:05:00,395.65
02/01/2014,14:10:00,394.7
02/01/2014,14:15:00,396.0
02/01/2014,14:20:00,395.95
02/01/2014,14:25:00,395.5
02/01/2014,14:30:00,393.7
02/01/2014,14:35:00,395.5
02/01/2014,14:40:00,394.6
02/01/2014,14:45:00,394.5
02/01/2014,14:50:00,394.05
02/01/2014,14:55:00,393.25
02/01/2014,15:00:00,393.45
02/01/2014,15:05:00,393.4
02/01/2014,15:10:00,393.0
02/01/2014,15:15:00,392.9
02/01/2014,15:20:00,392.4
02/01/2014,15:25:00,392.35
02/01/2014,15:30:00,392.45
03/01/2014,09:20:00,391.25
03/01/2014,09:25:00,391.6
03/01/2014,09:30:00,392.4
03/01/2014,09:35:00,392.9
03/01/2014,09:40:00,392.75
03/01/2014,09:45:00,392.65
03/01/2014,09:50:00,392.0
03/01/2014,09:55:00,390.5
03/01/2014,10:00:00,390.45
03/01/2014,10:05:00,389.4
03/01/2014,10:10:00,388.2
03/01/2014,10:15:00,388.6
03/01/2014,10:20:00,388.5
03/01/2014,10:25:00,388.5
03/01/2014,10:30:00,388.6
03/01/2014,10:35:00,388.3
03/01/2014,10:40:00,388.25
03/01/2014,10:45:00,388.0
03/01/2014,10:50:00,388.3
03/01/2014,10:55:00,389.5
03/01/2014,11:00:00,388.95
03/01/2014,11:05:00,388.8
03/01/2014,11:10:00,388.5
03/01/2014,11:15:00,388.2
03/01/2014,11:20:00,389.3
03/01/2014,11:25:00,390.0
03/01/2014,11:30:00,389.1
03/01/2014,11:35:00,389.3
03/01/2014,11:40:00,389.05
03/01/2014,11:45:00,388.9
03/01/2014,11:50:00,388.6
03/01/2014,11:55:00,388.35
03/01/2014,12:00:00,388.45
03/01/2014,12:05:00,387.3
03/01/2014,12:10:00,387.8
03/01/2014,12:15:00,387.3
03/01/2014,12:20:00,387.6
03/01/2014,12:25:00,387.0
03/01/2014,12:30:00,387.15
03/01/2014,12:35:00,386.9
03/01/2014,12:40:00,387.85
03/01/2014,12:45:00,387.55
03/01/2014,12:50:00,387.5
03/01/2014,12:55:00,387.7
03/01/2014,13:00:00,388.05
03/01/2014,13:05:00,387.85
03/01/2014,13:10:00,388.15
03/01/2014,13:15:00,386.7
03/01/2014,13:20:00,386.35
03/01/2014,13:25:00,387.35
03/01/2014,13:30:00,387.55
03/01/2014,13:35:00,388.25
03/01/2014,13:40:00,389.0
03/01/2014,13:45:00,388.35
03/01/2014,13:50:00,387.95
03/01/2014,13:55:00,388.0
03/01/2014,14:00:00,387.8
03/01/2014,14:05:00,387.85
03/01/2014,14:10:00,388.45
03/01/2014,14:15:00,388.35
03/01/2014,14:20:00,388.25
03/01/2014,14:25:00,388.15
03/01/2014,14:30:00,388.3
03/01/2014,14:35:00,388.65
03/01/2014,14:40:00,389.0
03/01/2014,14:45:00,389.0
03/01/2014,14:50:00,389.0
03/01/2014,14:55:00,389.75
03/01/2014,15:00:00,389.65
03/01/2014,15:05:00,390.5
03/01/2014,15:10:00,391.8
03/01/2014,15:15:00,392.25
03/01/2014,15:20:00,391.1
03/01/2014,15:25:00,392.2
03/01/2014,15:30:00,393.95
06/01/2014,09:20:00,393.3
06/01/2014,09:25:00,392.6
06/01/2014,09:30:00,391.0
06/01/2014,09:35:00,390.65
06/01/2014,09:40:00,391.3
06/01/2014,09:45:00,394.8
06/01/2014,09:50:00,394.45
06/01/2014,09:55:00,394.8
06/01/2014,10:00:00,394.7
06/01/2014,10:05:00,394.5
06/01/2014,10:10:00,394.95
06/01/2014,10:15:00,395.0
06/01/2014,10:20:00,394.5
06/01/2014,10:25:00,394.5
06/01/2014,10:30:00,394.65
06/01/2014,10:35:00,392.9
06/01/2014,10:40:00,392.25
06/01/2014,10:45:00,392.5
06/01/2014,10:50:00,392.5
06/01/2014,10:55:00,391.85
06/01/2014,11:00:00,392.5
06/01/2014,11:05:00,392.4
06/01/2014,11:10:00,392.0
06/01/2014,11:15:00,392.05
06/01/2014,11:20:00,392.0
06/01/2014,11:25:00,392.0
06/01/2014,11:30:00,391.85
06/01/2014,11:35:00,391.95
06/01/2014,11:40:00,391.95
06/01/2014,11:45:00,392.0
06/01/2014,11:50:00,392.0
06/01/2014,11:55:00,392.6
06/01/2014,12:00:00,392.5
06/01/2014,12:05:00,392.0
06/01/2014,12:10:00,391.95
