DATE,TIME,CLOSE
01/01/2014,09:20:00,343.0
01/01/2014,09:25:00,342.2
01/01/2014,09:30:00,343.0
01/01/2014,09:35:00,342.95
01/01/2014,09:40:00,342.95
01/01/2014,09:45:00,342.6
01/01/2014,09:50:00,342.05
01/01/2014,09:55:00,342.05
01/01/2014,10:00:00,342.0
01/01/2014,10:05:00,341.9
01/01/2014,10:10:00,342.75
01/01/2014,10:15:00,342.9
01/01/2014,10:20:00,342.75
01/01/2014,10:25:00,342.35
01/01/2014,10:30:00,342.5
01/01/2014,10:35:00,342.55
01/01/2014,10:40:00,342.9
01/01/2014,10:45:00,343.25
01/01/2014,10:50:00,342.9
01/01/2014,10:55:00,343.2
01/01/2014,11:00:00,343.05
01/01/2014,11:05:00,343.0
01/01/2014,11:10:00,342.95
01/01/2014,11:15:00,343.15
01/01/2014,11:20:00,343.0
01/01/2014,11:25:00,343.1
01/01/2014,11:30:00,343.2
01/01/2014,11:35:00,343.95
01/01/2014,11:40:00,343.5
01/01/2014,11:45:00,343.55
01/01/2014,11:50:00,343.55
01/01/2014,11:55:00,343.35
01/01/2014,12:00:00,343.45
01/01/2014,12:05:00,343.25
01/01/2014,12:10:00,343.35
01/01/2014,12:15:00,343.35
01/01/2014,12:20:00,343.35
01/01/2014,12:25:00,343.25
01/01/2014,12:30:00,343.1
01/01/2014,12:35:00,343.1
01/01/2014,12:40:00,343.35
01/01/2014,12:45:00,343.7
01/01/2014,12:50:00,343.55
01/01/2014,12:55:00,343.5
01/01/2014,13:00:00,343.1
01/01/2014,13:05:00,343.4
01/01/2014,13:10:00,343.4
01/01/2014,13:15:00,343.65
01/01/2014,13:20:00,343.4
01/01/2014,13:25:00,343.4
01/01/2014,13:30:00,343.9
01/01/2014,13:35:00,343.25
01/01/2014,13:40:00,343.65
01/01/2014,13:45:00,343.5
01/01/2014,13:50:00,343.3
01/01/2014,13:55:00,343.65
01/01/2014,14:00:00,343.45
01/01/2014,14:05:00,343.4
01/01/2014,14:10:00,343.2
01/01/2014,14:15:00,343.2
01/01/2014,14:20:00,343.6
01/01/2014,14:25:00,343.5
01/01/2014,14:30:00,343.2
01/01/2014,14:35:00,343.3
01/01/2014,14:40:00,343.2
01/01/2014,14:45:00,343.8
01/01/2014,14:50:00,343.6
01/01/2014,14:55:00,343.6
01/01/2014,15:00:00,343.45
01/01/2014,15:05:00,343.3
01/01/2014,15:10:00,343.55
01/01/2014,15:15:00,343.2
01/01/2014,15:20:00,343.4
01/01/2014,15:25:00,343.65
01/01/2014,15:30:00,343.95
02/01/2014,09:20:00,344.55
02/01/2014,09:25:00,344.4
02/01/2014,09:30:00,345.75
02/01/2014,09:35:00,346.2
02/01/2014,09:40:00,347.75
02/01/2014,09:45:00,347.95
02/01/2014,09:50:00,348.5
02/01/2014,09:55:00,348.55
02/01/2014,10:00:00,348.45
02/01/2014,10:05:00,348.2
02/01/2014,10:10:00,348.4
02/01/2014,10:15:00,348.1
02/01/2014,10:20:00,347.9
02/01/2014,10:25:00,348.15
02/01/2014,10:30:00,348.1
02/01/2014,10:35:00,347.95
02/01/2014,10:40:00,347.7
02/01/2014,10:45:00,347.8
02/01/2014,10:50:00,347.45
02/01/2014,10:55:00,347.8
02/01/2014,11:00:00,346.85
02/01/2014,11:05:00,346.7
02/01/2014,11:10:00,346.7
02/01/2014,11:15:00,346.85
02/01/2014,11:20:00,346.85
02/01/2014,11:25:00,347.75
02/01/2014,11:30:00,347.7
02/01/2014,11:35:00,347.25
02/01/2014,11:40:00,347.1
02/01/2014,11:45:00,347.45
02/01/2014,11:50:00,347.4
