DATE,TIME,CLOSE
01/01/2014,09:20:00,533.0
01/01/2014,09:25:00,533.75
01/01/2014,09:30:00,534.35
01/01/2014,09:35:00,534.55
01/01/2014,09:40:00,533.8
01/01/2014,09:45:00,532.55
01/01/2014,09:50:00,532.25
01/01/2014,09:55:00,533.5
01/01/2014,10:00:00,529.5
01/01/2014,10:05:00,530.9
01/01/2014,10:10:00,530.6
01/01/2014,10:15:00,531.45
01/01/2014,10:20:00,531.1
01/01/2014,10:25:00,531.45
01/01/2014,10:30:00,531.0
01/01/2014,10:35:00,531.0
01/01/2014,10:40:00,531.0
01/01/2014,10:45:00,531.55
01/01/2014,10:50:00,532.0
01/01/2014,10:55:00,531.95
01/01/2014,11:00:00,531.9
01/01/2014,11:05:00,532.05
01/01/2014,11:10:00,532.0
01/01/2014,11:15:00,532.65
01/01/2014,11:20:00,532.05
01/01/2014,11:25:00,532.65
01/01/2014,11:30:00,532.45
01/01/2014,11:35:00,532.05
01/01/2014,11:40:00,532.05
01/01/2014,11:45:00,532.5
01/01/2014,11:50:00,532.0
01/01/2014,11:55:00,532.05
01/01/2014,12:00:00,532.3
01/01/2014,12:05:00,532.3
01/01/2014,12:10:00,532.4
01/01/2014,12:15:00,532.4
01/01/2014,12:20:00,532.55
01/01/2014,12:25:00,532.05
01/01/2014,12:30:00,532.0
01/01/2014,12:35:00,532.2
01/01/2014,12:40:00,531.55
01/01/2014,12:45:00,532.0
01/01/2014,12:50:00,532.0
01/01/2014,12:55:00,532.2
01/01/2014,13:00:00,532.0
01/01/2014,13:05:00,531.75
01/01/2014,13:10:00,532.0
01/01/2014,13:15:00,532.0
01/01/2014,13:20:00,532.2
01/01/2014,13:25:00,532.4
01/01/2014,13:30:00,532.4
01/01/2014,13:35:00,532.45
01/01/2014,13:40:00,532.3
01/01/2014,13:45:00,532.05
01/01/2014,13:50:00,532.05
01/01/2014,13:55:00,531.8
01/01/2014,14:00:00,531.6
01/01/2014,14:05:00,532.0
01/01/2014,14:10:00,531.45
01/01/2014,14:15:00,531.25
01/01/2014,14:20:00,531.85
01/01/2014,14:25:00,531.75
01/01/2014,14:30:00,531.95
01/01/2014,14:35:00,531.75
01/01/2014,14:40:00,531.0
01/01/2014,14:45:00,531.25
01/01/2014,14:50:00,531.0
01/01/2014,14:55:00,531.25
01/01/2014,15:00:00,530.75
01/01/2014,15:05:00,530.75
01/01/2014,15:10:00,530.8
01/01/2014,15:15:00,529.7
01/01/2014,15:20:00,529.8
01/01/2014,15:25:00,529.75
01/01/2014,15:30:00,529.9
02/01/2014,09:20:00,529.95
02/01/2014,09:25:00,531.05
02/01/2014,09:30:00,532.4
02/01/2014,09:35:00,531.6
02/01/2014,09:40:00,532.1
02/01/2014,09:45:00,533.0
02/01/2014,09:50:00,531.55
02/01/2014,09:55:00,532.0
02/01/2014,10:00:00,532.15
02/01/2014,10:05:00,531.9
02/01/2014,10:10:00,531.25
02/01/2014,10:15:00,531.25
02/01/2014,10:20:00,531.3
02/01/2014,10:25:00,530.2
02/01/2014,10:30:00,529.4
02/01/2014,10:35:00,529.6
02/01/2014,10:40:00,529.8
02/01/2014,10:45:00,529.75
02/01/2014,10:50:00,529.95
02/01/2014,10:55:00,530.0
02/01/2014,11:00:00,531.95
02/01/2014,11:05:00,532.45
02/01/2014,11:10:00,532.5
02/01/2014,11:15:00,532.45
02/01/2014,11:20:00,535.9
02/01/2014,11:25:00,535.1
02/01/2014,11:30:00,536.0
02/01/2014,11:35:00,535.25
02/01/2014,11:40:00,535.5
02/01/2014,11:45:00,535.1
02/01/2014,11:50:00,535.15
02/01/2014,11:55:00,535.35
02/01/2014,12:00:00,535.45
02/01/2014,12:05:00,533.6
02/01/2014,12:10:00,534.9
02/01/2014,12:15:00,534.05
02/01/2014,12:20:00,534.35
02/01/2014,12:25:00,534.3
02/01/2014,12:30:00,534.0
02/01/2014,12:35:00,533.5
02/01/2014,12:40:00,533.15
02/01/2014,12:45:00,533.0
02/01/2014,12:50:00,533.5
02/01/2014,12:55:00,533.1
02/01/2014,13:00:00,533.15
02/01/2014,13:05:00,532.95
02/01/2014,13:10:00,533.25
02/01/2014,13:15:00,533.0
02/01/2014,13:20:00,533.25
02/01/2014,13:25:00,532.85
02/01/2014,13:30:00,532.65
02/01/2014,13:35:00,533.5
02/01/2014,13:40:00,532.9
02/01/2014,13:45:00,532.3
02/01/2014,13:50:00,531.6
02/01/2014,13:55:00,531.85
02/01/2014,14:00:00,531.0
02/01/2014,14:05:00,529.65
02/01/2014,14:10:00,524.0
02/01/2014,14:15:00,527.0
02/01/2014,14:20:00,529.0
02/01/2014,14:25:00,526.5
02/01/2014,14:30:00,527.0
02/01/2014,14:35:00,527.25
02/01/2014,14:40:00,526.9
02/01/2014,14:45:00,526.15
02/01/2014,14:50:00,524.05
02/01/2014,14:55:00,523.2
02/01/2014,15:00:00,524.0
02/01/2014,15:05:00,523.8
02/01/2014,15:10:00,524.85
02/01/2014,15:15:00,525.7
02/01/2014,15:20:00,525.5
02/01/2014,15:25:00,523.95
02/01/2014,15:30:00,523.5
03/01/2014,09:20:00,525.0
03/01/2014,09:25:00,524.65
03/01/2014,09:30:00,525.0
03/01/2014,09:35:00,525.2
03/01/2014,09:40:00,525.9
03/01/2014,09:45:00,524.05
03/01/2014,09:50:00,523.05
03/01/2014,09:55:00,522.35
03/01/2014,10:00:00,521.45
03/01/2014,10:05:00,520.95
03/01/2014,10:10:00,520.0
03/01/2014,10:15:00,517.95
03/01/2014,10:20:00,517.0
03/01/2014,10:25:00,517.75
03/01/2014,10:30:00,517.3
03/01/2014,10:35:00,515.75
03/01/2014,10:40:00,516.9
03/01/2014,10:45:00,515.5
03/01/2014,10:50:00,515.85
03/01/2014,10:55:00,516.8
03/01/2014,11:00:00,516.5
03/01/2014,11:05:00,516.55
03/01/2014,11:10:00,516.95
03/01/2014,11:15:00,516.95
03/01/2014,11:20:00,514.5
03/01/2014,11:25:00,515.0
03/01/2014,11:30:00,514.85
03/01/2014,11:35:00,512.45
03/01/2014,11:40:00,511.0
03/01/2014,11:45:00,512.65
03/01/2014,11:50:00,513.0
03/01/2014,11:55:00,512.95
03/01/2014,12:00:00,514.5
03/01/2014,12:05:00,513.95
03/01/2014,12:10:00,513.0
03/01/2014,12:15:00,513.0
03/01/2014,12:20:00,513.0
03/01/2014,12:25:00,512.65
03/01/2014,12:30:00,513.0
03/01/2014,12:35:00,513.0
03/01/2014,12:40:00,513.0
03/01/2014,12:45:00,512.95
03/01/2014,12:50:00,513.0
03/01/2014,12:55:00,513.0
03/01/2014,13:00:00,513.0
03/01/2014,13:05:00,512.45
03/01/2014,13:10:00,512.75
03/01/2014,13:15:00,512.9
03/01/2014,13:20:00,513.0
03/01/2014,13:25:00,512.95
03/01/2014,13:30:00,513.0
03/01/2014,13:35:00,512.85
03/01/2014,13:40:00,512.9
03/01/2014,13:45:00,513.0
03/01/2014,13:50:00,512.75
03/01/2014,13:55:00,512.7
03/01/2014,14:00:00,512.5
03/01/2014,14:05:00,512.7
03/01/2014,14:10:00,512.7
03/01/2014,14:15:00,512.5
03/01/2014,14:20:00,513.9
03/01/2014,14:25:00,514.35
03/01/2014,14:30:00,514.0
03/01/2014,14:35:00,514.2
03/01/2014,14:40:00,514.25
03/01/2014,14:45:00,514.1
03/01/2014,14:50:00,513.85
03/01/2014,14:55:00,514.0
03/01/2014,15:00:00,513.95
03/01/2014,15:05:00,514.7
03/01/2014,15:10:00,514.8
03/01/2014,15:15:00,515.9
03/01/2014,15:20:00,514.35
03/01/2014,15:25:00,514.9
03/01/2014,15:30:00,513.5
06/01/2014,09:20:00,514.3
06/01/2014,09:25:00,516.0
06/01/2014,09:30:00,514.7
06/01/2014,09:35:00,514.6
06/01/2014,09:40:00,515.0
06/01/2014,09:45:00,515.0
06/01/2014,09:50:00,516.05
06/01/2014,09:55:00,517.25
06/01/2014,10:00:00,516.1
06/01/2014,10:05:00,515.0
06/01/2014,10:10:00,515.35
06/01/2014,10:15:00,515.65
06/01/2014,10:20:00,515.0
06/01/2014,10:25:00,515.35
06/01/2014,10:30:00,515.35
06/01/2014,10:35:00,515.85
06/01/2014,10:40:00,516.0
06/01/2014,10:45:00,517.0
06/01/2014,10:50:00,517.5
06/01/2014,10:55:00,516.9
06/01/2014,11:00:00,516.95
06/01/2014,11:05:00,517.05
06/01/2014,11:10:00,517.4
06/01/2014,11:15:00,517.55
06/01/2014,11:20:00,517.65
06/01/2014,11:25:00,517.55
06/01/2014,11:30:00,517.6
06/01/2014,11:35:00,518.0
06/01/2014,11:40:00,517.8
06/01/2014,11:45:00,517.7
06/01/2014,11:50:00,517.75
06/01/2014,11:55:00,517.55
06/01/2014,12:00:00,516.05
06/01/2014,12:05:00,517.0
06/01/2014,12:10:00,517.1
06/01/2014,12:15:00,517.5
06/01/2014,12:20:00,517.65
06/01/2014,12:25:00,517.65
06/01/2014,12:30:00,517.8
06/01/2014,12:35:00,517.75
