DATE,TIME,CLOSE
01/01/2014,09:20:00,278.05
01/01/2014,09:25:00,278.2
01/01/2014,09:30:00,278.1
01/01/2014,09:35:00,278.4
01/01/2014,09:40:00,278.0
01/01/2014,09:45:00,278.0
01/01/2014,09:50:00,278.15
01/01/2014,09:55:00,280.5
01/01/2014,10:00:00,280.9
01/01/2014,10:05:00,281.4
01/01/2014,10:10:00,280.4
01/01/2014,10:15:00,280.9
01/01/2014,10:20:00,281.0
01/01/2014,10:25:00,281.0
01/01/2014,10:30:00,281.2
01/01/2014,10:35:00,280.7
01/01/2014,10:40:00,280.4
01/01/2014,10:45:00,279.45
01/01/2014,10:50:00,278.3
01/01/2014,10:55:00,279.0
01/01/2014,11:00:00,278.85
01/01/2014,11:05:00,279.55
01/01/2014,11:10:00,279.4
01/01/2014,11:15:00,279.05
01/01/2014,11:20:00,279.5
01/01/2014,11:25:00,279.5
01/01/2014,11:30:00,279.3
01/01/2014,11:35:00,279.05
01/01/2014,11:40:00,278.95
01/01/2014,11:45:00,278.95
01/01/2014,11:50:00,279.0
01/01/2014,11:55:00,279.1
01/01/2014,12:00:00,279.4
01/01/2014,12:05:00,279.2
01/01/2014,12:10:00,279.75
01/01/2014,12:15:00,279.35
01/01/2014,12:20:00,279.75
01/01/2014,12:25:00,279.65
01/01/2014,12:30:00,279.3
01/01/2014,12:35:00,279.6
01/01/2014,12:40:00,279.6
01/01/2014,12:45:00,279.75
01/01/2014,12:50:00,279.3
01/01/2014,12:55:00,279.6
01/01/2014,13:00:00,279.45
01/01/2014,13:05:00,279.4
01/01/2014,13:10:00,279.4
01/01/2014,13:15:00,279.35
01/01/2014,13:20:00,279.35
01/01/2014,13:25:00,279.25
01/01/2014,13:30:00,279.25
01/01/2014,13:35:00,279.45
01/01/2014,13:40:00,279.45
01/01/2014,13:45:00,279.5
01/01/2014,13:50:00,279.2
01/01/2014,13:55:00,279.15
01/01/2014,14:00:00,279.25
01/01/2014,14:05:00,279.15
01/01/2014,14:10:00,279.0
01/01/2014,14:15:00,278.95
01/01/2014,14:20:00,278.9
01/01/2014,14:25:00,279.0
01/01/2014,14:30:00,278.8
01/01/2014,14:35:00,279.1
01/01/2014,14:40:00,279.15
01/01/2014,14:45:00,279.0
01/01/2014,14:50:00,279.05
01/01/2014,14:55:00,279.0
01/01/2014,15:00:00,279.0
01/01/2014,15:05:00,278.7
01/01/2014,15:10:00,278.65
01/01/2014,15:15:00,278.7
01/01/2014,15:20:00,279.25
01/01/2014,15:25:00,279.25
01/01/2014,15:30:00,279.4
02/01/2014,09:20:00,279.95
02/01/2014,09:25:00,279.0
02/01/2014,09:30:00,279.0
02/01/2014,09:35:00,278.95
02/01/2014,09:40:00,278.7
02/01/2014,09:45:00,279.0
02/01/2014,09:50:00,278.7
02/01/2014,09:55:00,278.95
02/01/2014,10:00:00,279.0
02/01/2014,10:05:00,280.2
02/01/2014,10:10:00,280.5
02/01/2014,10:15:00,280.3
02/01/2014,10:20:00,279.95
02/01/2014,10:25:00,280.0
02/01/2014,10:30:00,279.9
02/01/2014,10:35:00,279.8
02/01/2014,10:40:00,279.0
02/01/2014,10:45:00,279.3
02/01/2014,10:50:00,279.55
02/01/2014,10:55:00,279.5
02/01/2014,11:00:00,279.2
02/01/2014,11:05:00,279.15
02/01/2014,11:10:00,278.4
02/01/2014,11:15:00,278.85
02/01/2014,11:20:00,278.7
02/01/2014,11:25:00,278.5
02/01/2014,11:30:00,278.65
02/01/2014,11:35:00,279.1
02/01/2014,11:40:00,278.8
02/01/2014,11:45:00,278.85
02/01/2014,11:50:00,279.15
02/01/2014,11:55:00,279.0
02/01/2014,12:00:00,279.2
02/01/2014,12:05:00,279.45
02/01/2014,12:10:00,279.4
02/01/2014,12:15:00,279.2
02/01/2014,12:20:00,279.1
02/01/2014,12:25:00,279.3
02/01/2014,12:30:00,279.75
02/01/2014,12:35:00,279.95
02/01/2014,12:40:00,279.55
02/01/2014,12:45:00,281.2
02/01/2014,12:50:00,281.1
02/01/2014,12:55:00,280.85
02/01/2014,13:00:00,280.95
02/01/2014,13:05:00,281.35
02/01/2014,13:10:00,282.0
02/01/2014,13:15:00,280.6
02/01/2014,13:20:00,280.05
02/01/2014,13:25:00,279.95
02/01/2014,13:30:00,279.55
02/01/2014,13:35:00,278.5
02/01/2014,13:40:00,279.35
02/01/2014,13:45:00,279.6
02/01/2014,13:50:00,279.45
02/01/2014,13:55:00,279.0
02/01/2014,14:00:00,278.45
02/01/2014,14:05:00,274.0
02/01/2014,14:10:00,272.7
02/01/2014,14:15:00,273.75
02/01/2014,14:20:00,274.4
02/01/2014,14:25:00,273.75
02/01/2014,14:30:00,273.2
02/01/2014,14:35:00,273.5
02/01/2014,14:40:00,273.6
02/01/2014,14:45:00,273.95
02/01/2014,14:50:00,272.8
02/01/2014,14:55:00,272.65
02/01/2014,15:00:00,271.35
02/01/2014,15:05:00,272.0
02/01/2014,15:10:00,272.25
02/01/2014,15:15:00,273.15
02/01/2014,15:20:00,270.05
02/01/2014,15:25:00,268.9
02/01/2014,15:30:00,267.1
03/01/2014,09:20:00,268.95
03/01/2014,09:25:00,268.65
03/01/2014,09:30:00,268.2
03/01/2014,09:35:00,268.6
03/01/2014,09:40:00,268.75
03/01/2014,09:45:00,269.45
03/01/2014,09:50:00,269.55
03/01/2014,09:55:00,269.85
03/01/2014,10:00:00,269.05
03/01/2014,10:05:00,269.3
03/01/2014,10:10:00,269.3
03/01/2014,10:15:00,268.5
03/01/2014,10:20:00,268.9
03/01/2014,10:25:00,269.3
03/01/2014,10:30:00,269.25
03/01/2014,10:35:00,269.0
03/01/2014,10:40:00,268.75
03/01/2014,10:45:00,268.65
03/01/2014,10:50:00,267.85
03/01/2014,10:55:00,268.2
03/01/2014,11:00:00,268.3
03/01/2014,11:05:00,267.8
03/01/2014,11:10:00,267.45
03/01/2014,11:15:00,267.6
03/01/2014,11:20:00,268.05
03/01/2014,11:25:00,268.7
03/01/2014,11:30:00,268.9
03/01/2014,11:35:00,269.0
03/01/2014,11:40:00,268.9
03/01/2014,11:45:00,269.1
03/01/2014,11:50:00,268.9
03/01/2014,11:55:00,269.75
03/01/2014,12:00:00,270.15
03/01/2014,12:05:00,270.0
03/01/2014,12:10:00,270.1
03/01/2014,12:15:00,270.15
03/01/2014,12:20:00,268.55
03/01/2014,12:25:00,267.95
03/01/2014,12:30:00,268.2
03/01/2014,12:35:00,268.05
03/01/2014,12:40:00,267.25
03/01/2014,12:45:00,267.2
03/01/2014,12:50:00,267.65
03/01/2014,12:55:00,268.95
03/01/2014,13:00:00,268.35
03/01/2014,13:05:00,268.3
03/01/2014,13:10:00,268.1
03/01/2014,13:15:00,268.25
03/01/2014,13:20:00,268.2
03/01/2014,13:25:00,268.35
03/01/2014,13:30:00,268.4
03/01/2014,13:35:00,268.45
03/01/2014,13:40:00,268.9
03/01/2014,13:45:00,268.9
03/01/2014,13:50:00,269.0
03/01/2014,13:55:00,269.1
03/01/2014,14:00:00,269.3
03/01/2014,14:05:00,269.15
03/01/2014,14:10:00,269.3
03/01/2014,14:15:00,269.5
03/01/2014,14:20:00,269.95
03/01/2014,14:25:00,269.5
03/01/2014,14:30:00,268.95
03/01/2014,14:35:00,269.7
03/01/2014,14:40:00,270.05
03/01/2014,14:45:00,270.6
03/01/2014,14:50:00,270.45
03/01/2014,14:55:00,270.3
03/01/2014,15:00:00,270.15
03/01/2014,15:05:00,270.2
03/01/2014,15:10:00,270.2
03/01/2014,15:15:00,270.8
03/01/2014,15:20:00,270.05
03/01/2014,15:25:00,270.35
03/01/2014,15:30:00,271.0
06/01/2014,09:20:00,271.9
06/01/2014,09:25:00,271.8
06/01/2014,09:30:00,270.55
06/01/2014,09:35:00,271.25
06/01/2014,09:40:00,271.0
06/01/2014,09:45:00,271.25
06/01/2014,09:50:00,270.95
06/01/2014,09:55:00,271.5
06/01/2014,10:00:00,271.95
06/01/2014,10:05:00,271.4
06/01/2014,10:10:00,271.65
06/01/2014,10:15:00,271.2
06/01/2014,10:20:00,271.8
06/01/2014,10:25:00,272.35
06/01/2014,10:30:00,272.6
06/01/2014,10:35:00,272.1
06/01/2014,10:40:00,272.3
06/01/2014,10:45:00,272.0
06/01/2014,10:50:00,271.8
06/01/2014,10:55:00,272.25
06/01/2014,11:00:00,273.45
06/01/2014,11:05:00,273.05
06/01/2014,11:10:00,273.45
06/01/2014,11:15:00,273.1
06/01/2014,11:20:00,272.9
06/01/2014,11:25:00,273.2
06/01/2014,11:30:00,272.35
06/01/2014,11:35:00,272.45
06/01/2014,11:40:00,272.05
06/01/2014,11:45:00,271.65
06/01/2014,11:50:00,271.35
06/01/2014,11:55:00,271.5
06/01/2014,12:00:00,271.05
06/01/2014,12:05:00,271.7
06/01/2014,12:10:00,271.3
06/01/2014,12:15:00,271.8
06/01/2014,12:20:00,271.75
06/01/2014,12:25:00,272.45
06/01/2014,12:30:00,272.4
06/01/2014,12:35:00,272.0
06/01/2014,12:40:00,272.0
06/01/2014,12:45:00,271.9
06/01/2014,12:50:00,272.4
06/01/2014,12:55:00,272.4
06/01/2014,13:00:00,272.55
06/01/2014,13:05:00,272.85
06/01/2014,13:10:00,272.6
06/01/2014,13:15:00,272.7
06/01/2014,13:20:00,272.25
06/01/2014,13:25:00,272.45
06/01/2014,13:30:00,272.2
06/01/2014,13:35:00,272.15
06/01/2014,13:40:00,272.45
06/01/2014,13:45:00,272.9
06/01/2014,13:50:00,272.6
06/01/2014,13:55:00,272.85
06/01/2014,14:00:00,273.0
06/01/2014,14:05:00,273.45
06/01/2014,14:10:00,273.6
06/01/2014,14:15:00,274.0
06/01/2014,14:20:00,272.65
06/01/2014,14:25:00,273.0
06/01/2014,14:30:00,273.45
06/01/2014,14:35:00,274.45
06/01/2014,14:40:00,275.2
06/01/2014,14:45:00,275.5
06/01/2014,14:50:00,275.9
06/01/2014,14:55:00,275.85
06/01/2014,15:00:00,276.0
06/01/2014,15:05:00,275.85
06/01/2014,15:10:00,278.9
06/01/2014,15:15:00,279.8
06/01/2014,15:20:00,280.7
06/01/2014,15:25:00,281.05
06/01/2014,15:30:00,281.7
07/01/2014,09:20:00,281.25
07/01/2014,09:25:00,281.8
07/01/2014,09:30:00,281.0
07/01/2014,09:35:00,280.8
07/01/2014,09:40:00,277.2
07/01/2014,09:45:00,278.9
07/01/2014,09:50:00,277.75
07/01/2014,09:55:00,278.9
07/01/2014,10:00:00,275.3
07/01/2014,10:05:00,275.9
07/01/2014,10:10:00,276.25
07/01/2014,10:15:00,276.1
07/01/2014,10:20:00,275.8
07/01/2014,10:25:00,276.25
07/01/2014,10:30:00,275.95
07/01/2014,10:35:00,274.3
07/01/2014,10:40:00,274.2
07/01/2014,10:45:00,274.5
07/01/2014,10:50:00,274.5
07/01/2014,10:55:00,274.05
07/01/2014,11:00:00,274.5
07/01/2014,11:05:00,274.5
07/01/2014,11:10:00,274.6
07/01/2014,11:15:00,274.8
07/01/2014,11:20:00,274.95
07/01/2014,11:25:00,275.1
07/01/2014,11:30:00,275.6
07/01/2014,11:35:00,275.65
07/01/2014,11:40:00,275.9
07/01/2014,11:45:00,275.5
07/01/2014,11:50:00,276.0
07/01/2014,11:55:00,275.95
07/01/2014,12:00:00,276.0
07/01/2014,12:05:00,275.9
07/01/2014,12:10:00,275.5
07/01/2014,12:15:00,275.05
07/01/2014,12:20:00,274.8
07/01/2014,12:25:00,274.95
07/01/2014,12:30:00,275.0
07/01/2014,12:35:00,275.25
07/01/2014,12:40:00,275.15
07/01/2014,12:45:00,275.1
07/01/2014,12:50:00,275.4
07/01/2014,12:55:00,275.0
07/01/2014,13:00:00,274.3
07/01/2014,13:05:00,274.35
07/01/2014,13:10:00,275.0
07/01/2014,13:15:00,275.3
07/01/2014,13:20:00,275.25
07/01/2014,13:25:00,275.0
07/01/2014,13:30:00,274.85
07/01/2014,13:35:00,274.4
07/01/2014,13:40:00,274.15
07/01/2014,13:45:00,273.85
07/01/2014,13:50:00,274.75
07/01/2014,13:55:00,275.0
07/01/2014,14:00:00,276.5
07/01/2014,14:05:00,275.2
07/01/2014,14:10:00,275.8
07/01/2014,14:15:00,275.75
07/01/2014,14:20:00,275.3
07/01/2014,14:25:00,275.2
07/01/2014,14:30:00,275.9
07/01/2014,14:35:00,275.95
07/01/2014,14:40:00,275.55
07/01/2014,14:45:00,275.2
07/01/2014,14:50:00,275.5
07/01/2014,14:55:00,275.8
07/01/2014,15:00:00,275.95
07/01/2014,15:05:00,274.6
07/01/2014,15:10:00,274.65
07/01/2014,15:15:00,275.3
07/01/2014,15:20:00,273.7
07/01/2014,15:25:00,273.5
07/01/2014,15:30:00,274.1
08/01/2014,09:20:00,273.45
08/01/2014,09:25:00,273.6
08/01/2014,09:30:00,274.3
08/01/2014,09:35:00,274.0
08/01/2014,09:40:00,273.2
08/01/2014,09:45:00,273.2
08/01/2014,09:50:00,274.05
08/01/2014,09:55:00,274.15
08/01/2014,10:00:00,274.3
08/01/2014,10:05:00,273.8
08/01/2014,10:10:00,274.5
08/01/2014,10:15:00,274.5
08/01/2014,10:20:00,274.5
08/01/2014,10:25:00,274.4
08/01/2014,10:30:00,274.45
08/01/2014,10:35:00,274.8
08/01/2014,10:40:00,275.4
08/01/2014,10:45:00,275.55
08/01/2014,10:50:00,276.0
08/01/2014,10:55:00,275.6
08/01/2014,11:00:00,275.15
08/01/2014,11:05:00,278.25
08/01/2014,11:10:00,277.15
08/01/2014,11:15:00,277.25
08/01/2014,11:20:00,276.9
08/01/2014,11:25:00,276.7
08/01/2014,11:30:00,276.5
08/01/2014,11:35:00,276.4
08/01/2014,11:40:00,276.05
08/01/2014,11:45:00,275.85
08/01/2014,11:50:00,275.2
08/01/2014,11:55:00,274.85
08/01/2014,12:00:00,275.8
08/01/2014,12:05:00,275.95
08/01/2014,12:10:00,274.95
08/01/2014,12:15:00,275.35
08/01/2014,12:20:00,274.6
08/01/2014,12:25:00,274.3
08/01/2014,12:30:00,274.4
08/01/2014,12:35:00,273.35
08/01/2014,12:40:00,274.5
08/01/2014,12:45:00,274.3
08/01/2014,12:50:00,272.7
