DATE,TIME,CLOSE
01/01/2014,09:20:00,2074.7
01/01/2014,09:25:00,2069.65
01/01/2014,09:30:00,2071.3
01/01/2014,09:35:00,2073.0
01/01/2014,09:40:00,2076.0
01/01/2014,09:45:00,2086.0
01/01/2014,09:50:00,2097.35
01/01/2014,09:55:00,2097.0
01/01/2014,10:00:00,2089.1
01/01/2014,10:05:00,2089.95
01/01/2014,10:10:00,2088.85
01/01/2014,10:15:00,2088.9
01/01/2014,10:20:00,2089.95
01/01/2014,10:25:00,2089.8
01/01/2014,10:30:00,2090.0
01/01/2014,10:35:00,2090.45
01/01/2014,10:40:00,2092.0
01/01/2014,10:45:00,2088.25
01/01/2014,10:50:00,2089.2
01/01/2014,10:55:00,2088.95
01/01/2014,11:00:00,2088.8
01/01/2014,11:05:00,2090.8
01/01/2014,11:10:00,2090.55
01/01/2014,11:15:00,2091.05
01/01/2014,11:20:00,2092.0
01/01/2014,11:25:00,2090.9
01/01/2014,11:30:00,2091.05
01/01/2014,11:35:00,2091.0
01/01/2014,11:40:00,2091.55
01/01/2014,11:45:00,2091.9
01/01/2014,11:50:00,2088.5
01/01/2014,11:55:00,2089.25
01/01/2014,12:00:00,2089.1
01/01/2014,12:05:00,2088.65
01/01/2014,12:10:00,2088.15
01/01/2014,12:15:00,2089.5
01/01/2014,12:20:00,2089.15
01/01/2014,12:25:00,2088.35
01/01/2014,12:30:00,2088.5
01/01/2014,12:35:00,2090.0
01/01/2014,12:40:00,2089.3
01/01/2014,12:45:00,2090.45
01/01/2014,12:50:00,2090.0
01/01/2014,12:55:00,2090.0
01/01/2014,13:00:00,2090.0
01/01/2014,13:05:00,2089.9
01/01/2014,13:10:00,2089.95
01/01/2014,13:15:00,2090.0
01/01/2014,13:20:00,2090.0
01/01/2014,13:25:00,2090.0
01/01/2014,13:30:00,2090.0
01/01/2014,13:35:00,2090.4
01/01/2014,13:40:00,2090.5
01/01/2014,13:45:00,2089.8
01/01/2014,13:50:00,2090.0
