DATE,TIME,CLOSE
01/01/2014,09:20:00,123.15
01/01/2014,09:25:00,123.15
01/01/2014,09:30:00,122.95
01/01/2014,09:35:00,123.2
01/01/2014,09:40:00,123.0
01/01/2014,09:45:00,122.95
01/01/2014,09:50:00,122.95
01/01/2014,09:55:00,122.95
01/01/2014,10:00:00,122.9
01/01/2014,10:05:00,123.0
01/01/2014,10:10:00,122.95
01/01/2014,10:15:00,123.1
01/01/2014,10:20:00,123.1
01/01/2014,10:25:00,123.25
01/01/2014,10:30:00,123.0
01/01/2014,10:35:00,122.85
01/01/2014,10:40:00,122.75
01/01/2014,10:45:00,122.8
01/01/2014,10:50:00,122.8
01/01/2014,10:55:00,123.05
01/01/2014,11:00:00,123.1
01/01/2014,11:05:00,123.15
01/01/2014,11:10:00,123.0
01/01/2014,11:15:00,122.85
01/01/2014,11:20:00,123.05
01/01/2014,11:25:00,122.95
01/01/2014,11:30:00,122.95
01/01/2014,11:35:00,122.85
01/01/2014,11:40:00,122.8
01/01/2014,11:45:00,122.6
01/01/2014,11:50:00,122.75
01/01/2014,11:55:00,122.9
01/01/2014,12:00:00,122.75
01/01/2014,12:05:00,122.7
01/01/2014,12:10:00,122.7
01/01/2014,12:15:00,122.8
01/01/2014,12:20:00,122.75
01/01/2014,12:25:00,122.7
01/01/2014,12:30:00,122.7
01/01/2014,12:35:00,122.8
01/01/2014,12:40:00,122.9
01/01/2014,12:45:00,122.85
01/01/2014,12:50:00,123.05
01/01/2014,12:55:00,122.9
01/01/2014,13:00:00,122.75
01/01/2014,13:05:00,122.9
01/01/2014,13:10:00,122.9
01/01/2014,13:15:00,123.05
01/01/2014,13:20:00,123.0
01/01/2014,13:25:00,123.0
01/01/2014,13:30:00,123.05
01/01/2014,13:35:00,123.05
01/01/2014,13:40:00,123.0
01/01/2014,13:45:00,123.0
01/01/2014,13:50:00,123.05
01/01/2014,13:55:00,123.1
01/01/2014,14:00:00,123.0
01/01/2014,14:05:00,123.0
01/01/2014,14:10:00,123.05
01/01/2014,14:15:00,123.1
01/01/2014,14:20:00,123.55
01/01/2014,14:25:00,123.05
01/01/2014,14:30:00,122.7
01/01/2014,14:35:00,121.5
01/01/2014,14:40:00,122.2
01/01/2014,14:45:00,122.0
01/01/2014,14:50:00,122.0
01/01/2014,14:55:00,122.0
01/01/2014,15:00:00,121.6
01/01/2014,15:05:00,121.7
01/01/2014,15:10:00,121.8
01/01/2014,15:15:00,121.8
01/01/2014,15:20:00,121.8
01/01/2014,15:25:00,121.85
01/01/2014,15:30:00,121.85
02/01/2014,09:20:00,122.5
02/01/2014,09:25:00,122.4
02/01/2014,09:30:00,122.55
02/01/2014,09:35:00,123.0
02/01/2014,09:40:00,123.0
02/01/2014,09:45:00,123.1
02/01/2014,09:50:00,123.0
02/01/2014,09:55:00,123.05
02/01/2014,10:00:00,123.0
02/01/2014,10:05:00,123.1
02/01/2014,10:10:00,123.0
02/01/2014,10:15:00,123.0
02/01/2014,10:20:00,123.05
02/01/2014,10:25:00,123.0
02/01/2014,10:30:00,123.05
02/01/2014,10:35:00,123.0
02/01/2014,10:40:00,123.0
02/01/2014,10:45:00,123.05
02/01/2014,10:50:00,123.0
02/01/2014,10:55:00,123.0
02/01/2014,11:00:00,123.0
02/01/2014,11:05:00,122.65
02/01/2014,11:10:00,122.6
02/01/2014,11:15:00,122.65
02/01/2014,11:20:00,122.6
02/01/2014,11:25:00,122.55
02/01/2014,11:30:00,122.55
02/01/2014,11:35:00,122.45
02/01/2014,11:40:00,123.75
02/01/2014,11:45:00,124.45
02/01/2014,11:50:00,124.0
02/01/2014,11:55:00,123.9
02/01/2014,12:00:00,123.8
02/01/2014,12:05:00,123.7
02/01/2014,12:10:00,123.8
02/01/2014,12:15:00,123.6
02/01/2014,12:20:00,124.0
02/01/2014,12:25:00,123.9
02/01/2014,12:30:00,123.7
02/01/2014,12:35:00,124.35
02/01/2014,12:40:00,124.4
02/01/2014,12:45:00,124.0
02/01/2014,12:50:00,124.0
02/01/2014,12:55:00,124.0
02/01/2014,13:00:00,123.9
02/01/2014,13:05:00,124.0
02/01/2014,13:10:00,124.05
02/01/2014,13:15:00,123.95
02/01/2014,13:20:00,124.0
02/01/2014,13:25:00,124.0
02/01/2014,13:30:00,123.9
02/01/2014,13:35:00,124.05
02/01/2014,13:40:00,124.75
02/01/2014,13:45:00,125.2
02/01/2014,13:50:00,124.5
02/01/2014,13:55:00,124.35
02/01/2014,14:00:00,123.55
02/01/2014,14:05:00,122.75
02/01/2014,14:10:00,121.95
02/01/2014,14:15:00,122.15
02/01/2014,14:20:00,122.4
02/01/2014,14:25:00,121.8
02/01/2014,14:30:00,122.3
02/01/2014,14:35:00,122.55
02/01/2014,14:40:00,122.35
02/01/2014,14:45:00,122.1
02/01/2014,14:50:00,121.75
02/01/2014,14:55:00,121.3
02/01/2014,15:00:00,121.5
02/01/2014,15:05:00,121.05
02/01/2014,15:10:00,121.15
02/01/2014,15:15:00,120.9
02/01/2014,15:20:00,120.5
02/01/2014,15:25:00,120.15
02/01/2014,15:30:00,120.25
03/01/2014,09:20:00,120.5
03/01/2014,09:25:00,120.25
03/01/2014,09:30:00,119.8
03/01/2014,09:35:00,119.95
03/01/2014,09:40:00,119.6
03/01/2014,09:45:00,119.85
03/01/2014,09:50:00,119.8
03/01/2014,09:55:00,119.4
03/01/2014,10:00:00,119.4
03/01/2014,10:05:00,119.35
03/01/2014,10:10:00,119.3
03/01/2014,10:15:00,118.7
03/01/2014,10:20:00,118.75
03/01/2014,10:25:00,118.85
03/01/2014,10:30:00,118.55
03/01/2014,10:35:00,118.4
03/01/2014,10:40:00,118.3
03/01/2014,10:45:00,118.15
03/01/2014,10:50:00,118.5
03/01/2014,10:55:00,118.7
03/01/2014,11:00:00,118.35
03/01/2014,11:05:00,118.45
03/01/2014,11:10:00,118.45
03/01/2014,11:15:00,118.45
03/01/2014,11:20:00,118.4
03/01/2014,11:25:00,118.65
03/01/2014,11:30:00,118.45
03/01/2014,11:35:00,118.35
03/01/2014,11:40:00,118.35
03/01/2014,11:45:00,118.15
03/01/2014,11:50:00,118.0
03/01/2014,11:55:00,118.3
03/01/2014,12:00:00,118.35
03/01/2014,12:05:00,117.95
03/01/2014,12:10:00,117.95
03/01/2014,12:15:00,117.85
03/01/2014,12:20:00,117.6
03/01/2014,12:25:00,117.35
03/01/2014,12:30:00,117.6
03/01/2014,12:35:00,117.45
03/01/2014,12:40:00,117.7
03/01/2014,12:45:00,117.7
03/01/2014,12:50:00,117.7
03/01/2014,12:55:00,117.55
03/01/2014,13:00:00,117.45
03/01/2014,13:05:00,117.3
03/01/2014,13:10:00,117.3
03/01/2014,13:15:00,117.2
03/01/2014,13:20:00,117.3
03/01/2014,13:25:00,117.55
03/01/2014,13:30:00,117.7
03/01/2014,13:35:00,117.9
03/01/2014,13:40:00,117.95
03/01/2014,13:45:00,117.8
03/01/2014,13:50:00,117.75
03/01/2014,13:55:00,117.8
03/01/2014,14:00:00,118.0
03/01/2014,14:05:00,118.1
03/01/2014,14:10:00,119.25
03/01/2014,14:15:00,118.6
03/01/2014,14:20:00,118.65
03/01/2014,14:25:00,118.3
03/01/2014,14:30:00,118.35
03/01/2014,14:35:00,118.6
03/01/2014,14:40:00,118.9
03/01/2014,14:45:00,118.75
03/01/2014,14:50:00,118.65
03/01/2014,14:55:00,118.75
03/01/2014,15:00:00,118.7
03/01/2014,15:05:00,118.6
03/01/2014,15:10:00,118.6
03/01/2014,15:15:00,118.8
03/01/2014,15:20:00,118.9
03/01/2014,15:25:00,118.9
03/01/2014,15:30:00,118.45
06/01/2014,09:20:00,117.85
06/01/2014,09:25:00,118.25
06/01/2014,09:30:00,117.9
06/01/2014,09:35:00,117.7
06/01/2014,09:40:00,117.65
06/01/2014,09:45:00,118.05
06/01/2014,09:50:00,117.75
06/01/2014,09:55:00,118.0
06/01/2014,10:00:00,118.3
06/01/2014,10:05:00,118.15
06/01/2014,10:10:00,118.3
06/01/2014,10:15:00,118.25
06/01/2014,10:20:00,118.35
06/01/2014,10:25:00,119.0
06/01/2014,10:30:00,118.8
06/01/2014,10:35:00,118.5
06/01/2014,10:40:00,118.55
06/01/2014,10:45:00,118.75
06/01/2014,10:50:00,118.9
06/01/2014,10:55:00,118.6
06/01/2014,11:00:00,118.75
06/01/2014,11:05:00,118.7
06/01/2014,11:10:00,118.85
06/01/2014,11:15:00,119.5
06/01/2014,11:20:00,119.1
06/01/2014,11:25:00,119.35
06/01/2014,11:30:00,119.15
06/01/2014,11:35:00,119.1
