DATE,TIME,CLOSE
01/01/2014,09:20:00,69.3
01/01/2014,09:25:00,69.5
01/01/2014,09:30:00,69.65
01/01/2014,09:35:00,69.8
01/01/2014,09:40:00,69.8
01/01/2014,09:45:00,70.15
01/01/2014,09:50:00,70.45
01/01/2014,09:55:00,70.25
01/01/2014,10:00:00,71.2
01/01/2014,10:05:00,71.65
01/01/2014,10:10:00,71.45
01/01/2014,10:15:00,71.75
01/01/2014,10:20:00,72.15
01/01/2014,10:25:00,72.25
01/01/2014,10:30:00,72.1
01/01/2014,10:35:00,71.85
01/01/2014,10:40:00,72.25
01/01/2014,10:45:00,72.15
01/01/2014,10:50:00,72.0
01/01/2014,10:55:00,72.1
01/01/2014,11:00:00,72.05
01/01/2014,11:05:00,72.1
01/01/2014,11:10:00,72.2
01/01/2014,11:15:00,72.1
01/01/2014,11:20:00,72.15
01/01/2014,11:25:00,72.1
01/01/2014,11:30:00,72.1
01/01/2014,11:35:00,71.85
01/01/2014,11:40:00,71.9
01/01/2014,11:45:00,71.9
01/01/2014,11:50:00,71.8
01/01/2014,11:55:00,71.85
01/01/2014,12:00:00,71.75
01/01/2014,12:05:00,71.8
01/01/2014,12:10:00,72.0
01/01/2014,12:15:00,71.95
01/01/2014,12:20:00,71.8
01/01/2014,12:25:00,71.7
01/01/2014,12:30:00,71.75
01/01/2014,12:35:00,71.8
01/01/2014,12:40:00,71.85
01/01/2014,12:45:00,72.05
01/01/2014,12:50:00,72.05
01/01/2014,12:55:00,72.05
01/01/2014,13:00:00,72.15
01/01/2014,13:05:00,72.15
01/01/2014,13:10:00,72.15
01/01/2014,13:15:00,72.3
01/01/2014,13:20:00,72.2
01/01/2014,13:25:00,72.15
01/01/2014,13:30:00,72.2
01/01/2014,13:35:00,72.1
01/01/2014,13:40:00,72.1
01/01/2014,13:45:00,72.05
01/01/2014,13:50:00,72.0
01/01/2014,13:55:00,72.0
01/01/2014,14:00:00,72.05
01/01/2014,14:05:00,71.9
01/01/2014,14:10:00,71.85
01/01/2014,14:15:00,72.05
01/01/2014,14:20:00,72.3
01/01/2014,14:25:00,72.35
01/01/2014,14:30:00,72.5
01/01/2014,14:35:00,72.8
01/01/2014,14:40:00,72.85
01/01/2014,14:45:00,73.1
01/01/2014,14:50:00,72.95
01/01/2014,14:55:00,72.8
01/01/2014,15:00:00,73.1
01/01/2014,15:05:00,73.15
01/01/2014,15:10:00,72.95
01/01/2014,15:15:00,73.0
01/01/2014,15:20:00,73.05
01/01/2014,15:25:00,72.95
01/01/2014,15:30:00,72.75
02/01/2014,09:20:00,73.6
02/01/2014,09:25:00,73.55
02/01/2014,09:30:00,73.5
02/01/2014,09:35:00,73.35
02/01/2014,09:40:00,73.3
02/01/2014,09:45:00,73.55
02/01/2014,09:50:00,73.65
02/01/2014,09:55:00,73.7
02/01/2014,10:00:00,73.7
02/01/2014,10:05:00,73.5
02/01/2014,10:10:00,73.25
02/01/2014,10:15:00,72.75
02/01/2014,10:20:00,72.95
02/01/2014,10:25:00,72.9
02/01/2014,10:30:00,72.85
02/01/2014,10:35:00,72.4
02/01/2014,10:40:00,72.55
02/01/2014,10:45:00,72.75
02/01/2014,10:50:00,72.85
02/01/2014,10:55:00,72.85
02/01/2014,11:00:00,72.8
02/01/2014,11:05:00,72.7
02/01/2014,11:10:00,72.75
02/01/2014,11:15:00,72.75
02/01/2014,11:20:00,72.7
02/01/2014,11:25:00,72.75
02/01/2014,11:30:00,72.8
02/01/2014,11:35:00,72.85
02/01/2014,11:40:00,72.85
02/01/2014,11:45:00,72.9
02/01/2014,11:50:00,72.9
02/01/2014,11:55:00,72.85
02/01/2014,12:00:00,72.8
02/01/2014,12:05:00,72.7
02/01/2014,12:10:00,72.75
02/01/2014,12:15:00,72.65
02/01/2014,12:20:00,72.75
02/01/2014,12:25:00,73.0
02/01/2014,12:30:00,72.75
02/01/2014,12:35:00,72.9
02/01/2014,12:40:00,72.9
02/01/2014,12:45:00,72.85
02/01/2014,12:50:00,72.85
02/01/2014,12:55:00,72.8
02/01/2014,13:00:00,73.05
02/01/2014,13:05:00,73.15
02/01/2014,13:10:00,73.05
02/01/2014,13:15:00,72.75
02/01/2014,13:20:00,72.9
02/01/2014,13:25:00,72.45
02/01/2014,13:30:00,72.35
02/01/2014,13:35:00,72.0
02/01/2014,13:40:00,72.25
02/01/2014,13:45:00,72.25
02/01/2014,13:50:00,71.8
02/01/2014,13:55:00,71.8
02/01/2014,14:00:00,71.25
02/01/2014,14:05:00,69.8
02/01/2014,14:10:00,68.85
02/01/2014,14:15:00,69.65
02/01/2014,14:20:00,69.6
02/01/2014,14:25:00,69.15
02/01/2014,14:30:00,69.05
02/01/2014,14:35:00,69.5
02/01/2014,14:40:00,69.4
02/01/2014,14:45:00,69.15
02/01/2014,14:50:00,68.6
02/01/2014,14:55:00,68.4
02/01/2014,15:00:00,68.6
02/01/2014,15:05:00,68.35
02/01/2014,15:10:00,68.4
02/01/2014,15:15:00,68.6
02/01/2014,15:20:00,68.5
02/01/2014,15:25:00,68.4
02/01/2014,15:30:00,68.25
03/01/2014,09:20:00,68.15
03/01/2014,09:25:00,68.3
03/01/2014,09:30:00,68.5
03/01/2014,09:35:00,68.45
03/01/2014,09:40:00,68.3
03/01/2014,09:45:00,68.6
03/01/2014,09:50:00,68.5
03/01/2014,09:55:00,68.4
03/01/2014,10:00:00,67.95
03/01/2014,10:05:00,67.75
03/01/2014,10:10:00,67.75
03/01/2014,10:15:00,67.6
03/01/2014,10:20:00,67.55
