DATE,TIME,CLOSE
28/11/2014,09:20:00,452.85
28/11/2014,09:25:00,452.5
28/11/2014,09:30:00,455.3
28/11/2014,09:35:00,455.0
28/11/2014,09:40:00,454.55
28/11/2014,09:45:00,456.4
28/11/2014,09:50:00,456.5
28/11/2014,09:55:00,458.6
28/11/2014,10:00:00,456.7
28/11/2014,10:05:00,456.0
28/11/2014,10:10:00,458.9
28/11/2014,10:15:00,457.55
28/11/2014,10:20:00,456.1
28/11/2014,10:25:00,455.95
28/11/2014,10:30:00,455.45
28/11/2014,10:35:00,453.85
28/11/2014,10:40:00,455.0
28/11/2014,10:45:00,454.75
28/11/2014,10:50:00,455.25
28/11/2014,10:55:00,454.7
28/11/2014,11:00:00,453.65
28/11/2014,11:05:00,454.75
28/11/2014,11:10:00,454.5
28/11/2014,11:15:00,455.0
28/11/2014,11:20:00,455.0
28/11/2014,11:25:00,454.5
28/11/2014,11:30:00,454.05
28/11/2014,11:35:00,455.15
28/11/2014,11:40:00,454.7
28/11/2014,11:45:00,454.9
28/11/2014,11:50:00,455.1
28/11/2014,11:55:00,455.2
28/11/2014,12:00:00,455.0
28/11/2014,12:05:00,454.45
28/11/2014,12:10:00,454.0
28/11/2014,12:15:00,454.55
28/11/2014,12:20:00,454.5
28/11/2014,12:25:00,454.65
28/11/2014,12:30:00,451.95
28/11/2014,12:35:00,449.6
28/11/2014,12:40:00,450.1
28/11/2014,12:45:00,450.4
28/11/2014,12:50:00,449.9
28/11/2014,12:55:00,450.75
28/11/2014,13:00:00,451.3
28/11/2014,13:05:00,451.4
28/11/2014,13:10:00,449.85
28/11/2014,13:15:00,451.2
28/11/2014,13:20:00,451.0
28/11/2014,13:25:00,450.9
28/11/2014,13:30:00,451.05
28/11/2014,13:35:00,451.0
28/11/2014,13:40:00,451.25
28/11/2014,13:45:00,450.85
28/11/2014,13:50:00,451.2
28/11/2014,13:55:00,451.0
28/11/2014,14:00:00,450.8
28/11/2014,14:05:00,451.55
28/11/2014,14:10:00,451.95
28/11/2014,14:15:00,451.8
28/11/2014,14:20:00,450.7
28/11/2014,14:25:00,450.05
28/11/2014,14:30:00,449.8
28/11/2014,14:35:00,449.7
28/11/2014,14:40:00,449.7
28/11/2014,14:45:00,449.9
28/11/2014,14:50:00,449.6
28/11/2014,14:55:00,449.7
28/11/2014,15:00:00,448.5
28/11/2014,15:05:00,448.15
28/11/2014,15:10:00,452.0
28/11/2014,15:15:00,451.45
28/11/2014,15:20:00,451.6
28/11/2014,15:25:00,451.0
28/11/2014,15:30:00,451.0
01/12/2014,09:20:00,452.4
01/12/2014,09:25:00,449.5
01/12/2014,09:30:00,450.9
01/12/2014,09:35:00,451.8
01/12/2014,09:40:00,451.8
01/12/2014,09:45:00,450.55
01/12/2014,09:50:00,451.05
01/12/2014,09:55:00,451.0
01/12/2014,10:00:00,452.2
01/12/2014,10:05:00,451.5
01/12/2014,10:10:00,451.4
01/12/2014,10:15:00,450.0
01/12/2014,10:20:00,450.25
01/12/2014,10:25:00,450.2
01/12/2014,10:30:00,450.45
01/12/2014,10:35:00,450.0
01/12/2014,10:40:00,450.0
01/12/2014,10:45:00,450.25
01/12/2014,10:50:00,449.95
01/12/2014,10:55:00,449.95
01/12/2014,11:00:00,450.15
01/12/2014,11:05:00,449.95
01/12/2014,11:10:00,449.75
01/12/2014,11:15:00,450.05
01/12/2014,11:20:00,450.1
01/12/2014,11:25:00,449.75
01/12/2014,11:30:00,450.5
01/12/2014,11:35:00,450.55
01/12/2014,11:40:00,450.3
01/12/2014,11:45:00,450.45
01/12/2014,11:50:00,449.65
01/12/2014,11:55:00,450.0
01/12/2014,12:00:00,450.0
01/12/2014,12:05:00,450.2
01/12/2014,12:10:00,449.45
01/12/2014,12:15:00,449.85
01/12/2014,12:20:00,450.2
01/12/2014,12:25:00,449.55
01/12/2014,12:30:00,450.0
01/12/2014,12:35:00,450.15
01/12/2014,12:40:00,450.15
01/12/2014,12:45:00,450.15
01/12/2014,12:50:00,450.15
01/12/2014,12:55:00,450.15
01/12/2014,13:00:00,450.05
01/12/2014,13:05:00,450.1
01/12/2014,13:10:00,450.0
01/12/2014,13:15:00,450.1
01/12/2014,13:20:00,450.1
01/12/2014,13:25:00,449.9
01/12/2014,13:30:00,450.25
01/12/2014,13:35:00,449.85
01/12/2014,13:40:00,449.9
01/12/2014,13:45:00,450.15
01/12/2014,13:50:00,449.6
01/12/2014,13:55:00,450.1
01/12/2014,14:00:00,456.0
01/12/2014,14:05:00,460.2
01/12/2014,14:10:00,454.5
01/12/2014,14:15:00,451.7
01/12/2014,14:20:00,451.35
01/12/2014,14:25:00,451.5
01/12/2014,14:30:00,451.85
01/12/2014,14:35:00,452.8
01/12/2014,14:40:00,452.2
01/12/2014,14:45:00,450.35
01/12/2014,14:50:00,450.25
01/12/2014,14:55:00,450.1
01/12/2014,15:00:00,450.15
01/12/2014,15:05:00,450.1
01/12/2014,15:10:00,450.0
01/12/2014,15:15:00,449.9
01/12/2014,15:20:00,450.05
01/12/2014,15:25:00,450.1
01/12/2014,15:30:00,450.0
02/12/2014,09:20:00,451.15
02/12/2014,09:25:00,451.05
02/12/2014,09:30:00,450.3
02/12/2014,09:35:00,449.7
02/12/2014,09:40:00,447.0
02/12/2014,09:45:00,448.0
02/12/2014,09:50:00,448.6
02/12/2014,09:55:00,448.55
02/12/2014,10:00:00,449.85
02/12/2014,10:05:00,449.55
02/12/2014,10:10:00,449.45
02/12/2014,10:15:00,448.7
02/12/2014,10:20:00,449.0
02/12/2014,10:25:00,448.95
02/12/2014,10:30:00,449.0
02/12/2014,10:35:00,448.9
02/12/2014,10:40:00,448.9
02/12/2014,10:45:00,449.0
02/12/2014,10:50:00,449.5
02/12/2014,10:55:00,449.6
02/12/2014,11:00:00,449.0
02/12/2014,11:05:00,449.4
02/12/2014,11:10:00,449.5
02/12/2014,11:15:00,449.25
02/12/2014,11:20:00,449.25
02/12/2014,11:25:00,449.0
02/12/2014,11:30:00,449.35
02/12/2014,11:35:00,449.4
02/12/2014,11:40:00,450.0
02/12/2014,11:45:00,449.9
02/12/2014,11:50:00,450.0
02/12/2014,11:55:00,450.45
02/12/2014,12:00:00,452.25
02/12/2014,12:05:00,452.1
02/12/2014,12:10:00,451.1
02/12/2014,12:15:00,451.4
02/12/2014,12:20:00,451.0
02/12/2014,12:25:00,450.95
02/12/2014,12:30:00,450.9
02/12/2014,12:35:00,450.95
02/12/2014,12:40:00,451.0
02/12/2014,12:45:00,451.65
02/12/2014,12:50:00,451.0
02/12/2014,12:55:00,451.0
02/12/2014,13:00:00,451.55
02/12/2014,13:05:00,450.95
02/12/2014,13:10:00,451.0
02/12/2014,13:15:00,451.0
02/12/2014,13:20:00,450.7
02/12/2014,13:25:00,450.95
02/12/2014,13:30:00,450.95
02/12/2014,13:35:00,450.5
02/12/2014,13:40:00,450.7
02/12/2014,13:45:00,451.0
02/12/2014,13:50:00,451.0
02/12/2014,13:55:00,453.3
02/12/2014,14:00:00,463.7
02/12/2014,14:05:00,463.0
02/12/2014,14:10:00,459.85
02/12/2014,14:15:00,459.0
02/12/2014,14:20:00,459.95
02/12/2014,14:25:00,457.85
02/12/2014,14:30:00,457.5
02/12/2014,14:35:00,460.0
02/12/2014,14:40:00,461.85
02/12/2014,14:45:00,461.0
02/12/2014,14:50:00,463.15
02/12/2014,14:55:00,464.65
02/12/2014,15:00:00,466.05
02/12/2014,15:05:00,467.95
02/12/2014,15:10:00,468.75
02/12/2014,15:15:00,469.4
