DATE,TIME,CLOSE
01/01/2014,09:20:00,25.85
01/01/2014,09:25:00,25.9
01/01/2014,09:30:00,25.8
01/01/2014,09:35:00,25.85
01/01/2014,09:40:00,25.95
01/01/2014,09:45:00,26.1
01/01/2014,09:50:00,26.1
01/01/2014,09:55:00,26.1
01/01/2014,10:00:00,26.0
01/01/2014,10:05:00,26.1
01/01/2014,10:10:00,26.1
01/01/2014,10:15:00,26.15
01/01/2014,10:20:00,26.1
01/01/2014,10:25:00,26.15
01/01/2014,10:30:00,26.2
01/01/2014,10:35:00,26.1
01/01/2014,10:40:00,26.15
01/01/2014,10:45:00,26.1
01/01/2014,10:50:00,26.1
01/01/2014,10:55:00,26.1
01/01/2014,11:00:00,26.1
01/01/2014,11:05:00,26.1
01/01/2014,11:10:00,26.1
01/01/2014,11:15:00,26.05
01/01/2014,11:20:00,26.1
01/01/2014,11:25:00,26.05
01/01/2014,11:30:00,26.05
01/01/2014,11:35:00,26.0
01/01/2014,11:40:00,25.95
01/01/2014,11:45:00,25.95
01/01/2014,11:50:00,25.95
01/01/2014,11:55:00,25.95
01/01/2014,12:00:00,26.0
01/01/2014,12:05:00,25.95
01/01/2014,12:10:00,25.95
01/01/2014,12:15:00,25.95
01/01/2014,12:20:00,25.95
01/01/2014,12:25:00,25.9
01/01/2014,12:30:00,25.9
01/01/2014,12:35:00,26.0
01/01/2014,12:40:00,26.0
01/01/2014,12:45:00,25.95
01/01/2014,12:50:00,26.0
01/01/2014,12:55:00,26.0
01/01/2014,13:00:00,25.95
01/01/2014,13:05:00,25.95
01/01/2014,13:10:00,26.0
01/01/2014,13:15:00,25.95
01/01/2014,13:20:00,25.95
01/01/2014,13:25:00,25.85
01/01/2014,13:30:00,25.85
01/01/2014,13:35:00,25.9
01/01/2014,13:40:00,25.9
01/01/2014,13:45:00,25.9
01/01/2014,13:50:00,25.9
01/01/2014,13:55:00,25.85
01/01/2014,14:00:00,25.9
01/01/2014,14:05:00,25.9
01/01/2014,14:10:00,25.85
01/01/2014,14:15:00,25.9
01/01/2014,14:20:00,25.85
01/01/2014,14:25:00,25.9
01/01/2014,14:30:00,25.9
01/01/2014,14:35:00,25.9
01/01/2014,14:40:00,25.9
01/01/2014,14:45:00,25.9
01/01/2014,14:50:00,26.0
01/01/2014,14:55:00,25.95
01/01/2014,15:00:00,25.95
01/01/2014,15:05:00,26.0
01/01/2014,15:10:00,25.95
01/01/2014,15:15:00,26.0
01/01/2014,15:20:00,26.1
01/01/2014,15:25:00,26.15
01/01/2014,15:30:00,26.1
02/01/2014,09:20:00,26.3
02/01/2014,09:25:00,26.25
02/01/2014,09:30:00,26.3
02/01/2014,09:35:00,26.3
02/01/2014,09:40:00,26.35
02/01/2014,09:45:00,26.45
02/01/2014,09:50:00,26.5
02/01/2014,09:55:00,26.45
02/01/2014,10:00:00,26.5
02/01/2014,10:05:00,26.5
02/01/2014,10:10:00,26.45
02/01/2014,10:15:00,26.4
02/01/2014,10:20:00,26.4
02/01/2014,10:25:00,26.4
02/01/2014,10:30:00,26.45
02/01/2014,10:35:00,26.35
02/01/2014,10:40:00,26.35
02/01/2014,10:45:00,26.35
02/01/2014,10:50:00,26.35
02/01/2014,10:55:00,26.35
02/01/2014,11:00:00,26.35
02/01/2014,11:05:00,26.35
02/01/2014,11:10:00,26.35
02/01/2014,11:15:00,26.35
02/01/2014,11:20:00,26.4
02/01/2014,11:25:00,26.35
02/01/2014,11:30:00,26.35
02/01/2014,11:35:00,26.45
02/01/2014,11:40:00,26.6
02/01/2014,11:45:00,26.6
02/01/2014,11:50:00,26.6
02/01/2014,11:55:00,26.65
02/01/2014,12:00:00,26.5
02/01/2014,12:05:00,26.4
02/01/2014,12:10:00,26.4
02/01/2014,12:15:00,26.4
02/01/2014,12:20:00,26.45
02/01/2014,12:25:00,26.4
02/01/2014,12:30:00,26.35
02/01/2014,12:35:00,26.4
02/01/2014,12:40:00,26.4
02/01/2014,12:45:00,26.4
02/01/2014,12:50:00,26.4
02/01/2014,12:55:00,26.4
02/01/2014,13:00:00,26.45
02/01/2014,13:05:00,26.45
02/01/2014,13:10:00,26.4
02/01/2014,13:15:00,26.35
02/01/2014,13:20:00,26.35
02/01/2014,13:25:00,26.3
02/01/2014,13:30:00,26.25
02/01/2014,13:35:00,26.2
02/01/2014,13:40:00,26.2
02/01/2014,13:45:00,26.25
02/01/2014,13:50:00,26.1
02/01/2014,13:55:00,26.05
02/01/2014,14:00:00,25.75
02/01/2014,14:05:00,25.55
02/01/2014,14:10:00,25.35
02/01/2014,14:15:00,25.35
02/01/2014,14:20:00,25.5
02/01/2014,14:25:00,25.35
02/01/2014,14:30:00,25.4
02/01/2014,14:35:00,25.45
02/01/2014,14:40:00,25.4
02/01/2014,14:45:00,25.25
02/01/2014,14:50:00,25.15
02/01/2014,14:55:00,25.1
02/01/2014,15:00:00,25.05
02/01/2014,15:05:00,24.9
02/01/2014,15:10:00,24.85
02/01/2014,15:15:00,25.05
02/01/2014,15:20:00,25.2
02/01/2014,15:25:00,25.1
02/01/2014,15:30:00,25.15
03/01/2014,09:20:00,25.05
03/01/2014,09:25:00,25.05
03/01/2014,09:30:00,25.2
03/01/2014,09:35:00,25.15
03/01/2014,09:40:00,25.15
03/01/2014,09:45:00,25.2
03/01/2014,09:50:00,25.2
03/01/2014,09:55:00,25.15
03/01/2014,10:00:00,25.1
03/01/2014,10:05:00,25.1
03/01/2014,10:10:00,25.05
03/01/2014,10:15:00,25.05
03/01/2014,10:20:00,25.1
03/01/2014,10:25:00,25.2
03/01/2014,10:30:00,25.25
03/01/2014,10:35:00,25.1
03/01/2014,10:40:00,25.15
03/01/2014,10:45:00,25.0
03/01/2014,10:50:00,25.1
03/01/2014,10:55:00,25.15
03/01/2014,11:00:00,25.1
03/01/2014,11:05:00,25.15
03/01/2014,11:10:00,25.1
03/01/2014,11:15:00,25.2
03/01/2014,11:20:00,25.15
03/01/2014,11:25:00,25.25
03/01/2014,11:30:00,25.2
03/01/2014,11:35:00,25.2
03/01/2014,11:40:00,25.15
03/01/2014,11:45:00,25.2
03/01/2014,11:50:00,25.2
03/01/2014,11:55:00,25.2
03/01/2014,12:00:00,25.25
03/01/2014,12:05:00,25.25
03/01/2014,12:10:00,25.25
03/01/2014,12:15:00,25.2
03/01/2014,12:20:00,25.1
03/01/2014,12:25:00,25.0
03/01/2014,12:30:00,25.05
03/01/2014,12:35:00,24.95
03/01/2014,12:40:00,25.05
03/01/2014,12:45:00,25.2
03/01/2014,12:50:00,25.25
03/01/2014,12:55:00,25.2
03/01/2014,13:00:00,25.1
03/01/2014,13:05:00,25.05
03/01/2014,13:10:00,25.1
03/01/2014,13:15:00,25.1
03/01/2014,13:20:00,25.1
03/01/2014,13:25:00,25.2
03/01/2014,13:30:00,25.15
03/01/2014,13:35:00,25.25
03/01/2014,13:40:00,25.2
03/01/2014,13:45:00,25.2
03/01/2014,13:50:00,25.15
03/01/2014,13:55:00,25.25
03/01/2014,14:00:00,25.25
03/01/2014,14:05:00,25.3
03/01/2014,14:10:00,25.4
03/01/2014,14:15:00,25.25
03/01/2014,14:20:00,25.35
03/01/2014,14:25:00,25.3
03/01/2014,14:30:00,25.4
03/01/2014,14:35:00,25.4
03/01/2014,14:40:00,25.45
03/01/2014,14:45:00,25.5
03/01/2014,14:50:00,25.45
03/01/2014,14:55:00,25.4
03/01/2014,15:00:00,25.45
03/01/2014,15:05:00,25.35
03/01/2014,15:10:00,25.55
03/01/2014,15:15:00,25.6
03/01/2014,15:20:00,25.5
03/01/2014,15:25:00,25.5
03/01/2014,15:30:00,25.5
06/01/2014,09:20:00,25.45
06/01/2014,09:25:00,25.45
06/01/2014,09:30:00,25.25
06/01/2014,09:35:00,25.35
06/01/2014,09:40:00,25.2
06/01/2014,09:45:00,25.2
06/01/2014,09:50:00,25.15
06/01/2014,09:55:00,25.2
06/01/2014,10:00:00,25.25
06/01/2014,10:05:00,25.25
06/01/2014,10:10:00,25.25
06/01/2014,10:15:00,25.25
06/01/2014,10:20:00,25.3
06/01/2014,10:25:00,25.25
06/01/2014,10:30:00,25.3
06/01/2014,10:35:00,25.3
