DATE,TIME,CLOSE
01/01/2014,09:20:00,60.2
01/01/2014,09:25:00,60.0
01/01/2014,09:30:00,60.1
01/01/2014,09:35:00,60.05
01/01/2014,09:40:00,60.1
01/01/2014,09:45:00,60.05
01/01/2014,09:50:00,60.3
01/01/2014,09:55:00,60.25
01/01/2014,10:00:00,60.2
01/01/2014,10:05:00,60.15
01/01/2014,10:10:00,60.15
01/01/2014,10:15:00,60.4
01/01/2014,10:20:00,60.5
01/01/2014,10:25:00,60.7
01/01/2014,10:30:00,60.7
01/01/2014,10:35:00,61.05
01/01/2014,10:40:00,60.95
01/01/2014,10:45:00,60.9
01/01/2014,10:50:00,61.0
01/01/2014,10:55:00,61.0
01/01/2014,11:00:00,60.95
01/01/2014,11:05:00,60.8
01/01/2014,11:10:00,60.9
01/01/2014,11:15:00,60.8
01/01/2014,11:20:00,60.75
01/01/2014,11:25:00,60.85
01/01/2014,11:30:00,60.75
01/01/2014,11:35:00,60.65
01/01/2014,11:40:00,60.65
01/01/2014,11:45:00,60.6
01/01/2014,11:50:00,60.75
01/01/2014,11:55:00,60.55
01/01/2014,12:00:00,60.5
01/01/2014,12:05:00,60.6
01/01/2014,12:10:00,60.55
01/01/2014,12:15:00,60.6
01/01/2014,12:20:00,60.6
01/01/2014,12:25:00,60.5
01/01/2014,12:30:00,60.5
01/01/2014,12:35:00,60.55
01/01/2014,12:40:00,60.55
01/01/2014,12:45:00,60.8
01/01/2014,12:50:00,60.9
01/01/2014,12:55:00,60.85
01/01/2014,13:00:00,60.75
01/01/2014,13:05:00,60.8
01/01/2014,13:10:00,60.75
01/01/2014,13:15:00,60.7
01/01/2014,13:20:00,60.75
01/01/2014,13:25:00,60.65
01/01/2014,13:30:00,60.8
01/01/2014,13:35:00,60.8
01/01/2014,13:40:00,60.75
01/01/2014,13:45:00,60.65
01/01/2014,13:50:00,60.65
01/01/2014,13:55:00,60.75
01/01/2014,14:00:00,60.6
01/01/2014,14:05:00,60.6
01/01/2014,14:10:00,60.65
01/01/2014,14:15:00,60.65
01/01/2014,14:20:00,60.65
01/01/2014,14:25:00,60.55
01/01/2014,14:30:00,60.65
01/01/2014,14:35:00,60.65
01/01/2014,14:40:00,60.8
01/01/2014,14:45:00,60.75
01/01/2014,14:50:00,61.1
01/01/2014,14:55:00,61.05
01/01/2014,15:00:00,61.3
01/01/2014,15:05:00,61.45
01/01/2014,15:10:00,61.55
01/01/2014,15:15:00,62.0
01/01/2014,15:20:00,62.1
01/01/2014,15:25:00,61.95
01/01/2014,15:30:00,62.0
02/01/2014,09:20:00,63.1
02/01/2014,09:25:00,62.75
02/01/2014,09:30:00,63.1
02/01/2014,09:35:00,63.2
02/01/2014,09:40:00,63.1
02/01/2014,09:45:00,62.95
02/01/2014,09:50:00,63.05
02/01/2014,09:55:00,63.0
02/01/2014,10:00:00,63.05
02/01/2014,10:05:00,63.0
02/01/2014,10:10:00,63.1
02/01/2014,10:15:00,63.05
02/01/2014,10:20:00,62.9
02/01/2014,10:25:00,63.0
02/01/2014,10:30:00,62.95
02/01/2014,10:35:00,62.85
02/01/2014,10:40:00,62.85
02/01/2014,10:45:00,62.8
02/01/2014,10:50:00,62.8
02/01/2014,10:55:00,62.9
02/01/2014,11:00:00,62.8
02/01/2014,11:05:00,62.8
02/01/2014,11:10:00,62.8
02/01/2014,11:15:00,62.95
02/01/2014,11:20:00,62.95
02/01/2014,11:25:00,62.9
02/01/2014,11:30:00,62.9
02/01/2014,11:35:00,62.95
02/01/2014,11:40:00,62.9
02/01/2014,11:45:00,62.95
02/01/2014,11:50:00,63.0
02/01/2014,11:55:00,62.85
02/01/2014,12:00:00,62.75
02/01/2014,12:05:00,62.7
02/01/2014,12:10:00,62.7
02/01/2014,12:15:00,62.7
02/01/2014,12:20:00,62.6
02/01/2014,12:25:00,62.65
02/01/2014,12:30:00,62.45
02/01/2014,12:35:00,62.5
02/01/2014,12:40:00,62.45
02/01/2014,12:45:00,62.35
02/01/2014,12:50:00,62.45
02/01/2014,12:55:00,62.4
02/01/2014,13:00:00,62.4
02/01/2014,13:05:00,62.45
02/01/2014,13:10:00,62.4
02/01/2014,13:15:00,62.5
02/01/2014,13:20:00,62.35
02/01/2014,13:25:00,62.15
02/01/2014,13:30:00,62.0
02/01/2014,13:35:00,62.15
02/01/2014,13:40:00,62.1
02/01/2014,13:45:00,61.9
02/01/2014,13:50:00,61.45
02/01/2014,13:55:00,61.5
02/01/2014,14:00:00,61.15
02/01/2014,14:05:00,60.5
02/01/2014,14:10:00,59.65
02/01/2014,14:15:00,59.7
02/01/2014,14:20:00,59.55
02/01/2014,14:25:00,60.0
02/01/2014,14:30:00,59.75
02/01/2014,14:35:00,59.9
02/01/2014,14:40:00,59.65
02/01/2014,14:45:00,59.2
02/01/2014,14:50:00,59.05
02/01/2014,14:55:00,58.4
02/01/2014,15:00:00,58.65
02/01/2014,15:05:00,58.5
02/01/2014,15:10:00,58.4
02/01/2014,15:15:00,58.6
02/01/2014,15:20:00,58.6
02/01/2014,15:25:00,58.3
02/01/2014,15:30:00,58.3
03/01/2014,09:20:00,58.95
03/01/2014,09:25:00,59.35
03/01/2014,09:30:00,59.05
03/01/2014,09:35:00,59.0
03/01/2014,09:40:00,58.95
03/01/2014,09:45:00,59.0
03/01/2014,09:50:00,58.9
03/01/2014,09:55:00,58.85
03/01/2014,10:00:00,58.9
03/01/2014,10:05:00,58.85
03/01/2014,10:10:00,58.7
03/01/2014,10:15:00,58.55
03/01/2014,10:20:00,58.5
03/01/2014,10:25:00,58.6
03/01/2014,10:30:00,58.65
03/01/2014,10:35:00,58.45
03/01/2014,10:40:00,58.5
03/01/2014,10:45:00,58.25
03/01/2014,10:50:00,58.2
03/01/2014,10:55:00,58.25
03/01/2014,11:00:00,58.3
03/01/2014,11:05:00,58.2
03/01/2014,11:10:00,57.85
03/01/2014,11:15:00,58.15
03/01/2014,11:20:00,58.2
03/01/2014,11:25:00,58.4
03/01/2014,11:30:00,58.4
03/01/2014,11:35:00,58.35
03/01/2014,11:40:00,58.45
03/01/2014,11:45:00,58.45
03/01/2014,11:50:00,58.3
03/01/2014,11:55:00,58.65
03/01/2014,12:00:00,58.7
03/01/2014,12:05:00,58.5
03/01/2014,12:10:00,58.3
03/01/2014,12:15:00,58.4
03/01/2014,12:20:00,58.3
03/01/2014,12:25:00,58.2
03/01/2014,12:30:00,58.2
03/01/2014,12:35:00,58.3
03/01/2014,12:40:00,58.3
03/01/2014,12:45:00,58.25
03/01/2014,12:50:00,58.25
03/01/2014,12:55:00,58.35
03/01/2014,13:00:00,58.4
03/01/2014,13:05:00,58.3
03/01/2014,13:10:00,58.3
03/01/2014,13:15:00,58.4
03/01/2014,13:20:00,58.45
03/01/2014,13:25:00,59.05
03/01/2014,13:30:00,59.15
03/01/2014,13:35:00,59.1
03/01/2014,13:40:00,59.1
03/01/2014,13:45:00,59.15
03/01/2014,13:50:00,58.65
03/01/2014,13:55:00,58.8
03/01/2014,14:00:00,58.95
03/01/2014,14:05:00,58.9
03/01/2014,14:10:00,59.0
03/01/2014,14:15:00,59.15
03/01/2014,14:20:00,59.1
03/01/2014,14:25:00,59.15
03/01/2014,14:30:00,59.1
03/01/2014,14:35:00,59.05
03/01/2014,14:40:00,59.2
03/01/2014,14:45:00,59.05
