DATE,TIME,CLOSE
01/01/2014,09:20:00,422.25
01/01/2014,09:25:00,422.9
01/01/2014,09:30:00,423.05
01/01/2014,09:35:00,423.0
01/01/2014,09:40:00,422.4
01/01/2014,09:45:00,422.75
01/01/2014,09:50:00,422.9
01/01/2014,09:55:00,422.6
01/01/2014,10:00:00,422.5
01/01/2014,10:05:00,422.5
01/01/2014,10:10:00,422.45
01/01/2014,10:15:00,423.2
01/01/2014,10:20:00,423.7
01/01/2014,10:25:00,423.5
01/01/2014,10:30:00,423.3
01/01/2014,10:35:00,423.75
01/01/2014,10:40:00,423.25
01/01/2014,10:45:00,423.3
01/01/2014,10:50:00,423.35
01/01/2014,10:55:00,423.6
01/01/2014,11:00:00,423.05
01/01/2014,11:05:00,423.1
01/01/2014,11:10:00,422.9
01/01/2014,11:15:00,422.8
01/01/2014,11:20:00,422.45
01/01/2014,11:25:00,422.6
01/01/2014,11:30:00,422.6
01/01/2014,11:35:00,421.75
01/01/2014,11:40:00,422.25
01/01/2014,11:45:00,422.0
01/01/2014,11:50:00,422.05
01/01/2014,11:55:00,422.0
01/01/2014,12:00:00,421.8
01/01/2014,12:05:00,422.5
01/01/2014,12:10:00,422.15
01/01/2014,12:15:00,422.25
01/01/2014,12:20:00,422.15
01/01/2014,12:25:00,422.1
01/01/2014,12:30:00,421.85
01/01/2014,12:35:00,422.2
01/01/2014,12:40:00,421.95
01/01/2014,12:45:00,422.55
01/01/2014,12:50:00,422.0
01/01/2014,12:55:00,422.25
01/01/2014,13:00:00,422.2
01/01/2014,13:05:00,422.45
01/01/2014,13:10:00,422.45
01/01/2014,13:15:00,422.25
01/01/2014,13:20:00,422.3
01/01/2014,13:25:00,422.1
01/01/2014,13:30:00,422.4
01/01/2014,13:35:00,422.15
01/01/2014,13:40:00,422.2
01/01/2014,13:45:00,422.25
01/01/2014,13:50:00,422.0
01/01/2014,13:55:00,422.2
01/01/2014,14:00:00,422.0
01/01/2014,14:05:00,422.0
01/01/2014,14:10:00,421.8
01/01/2014,14:15:00,421.7
01/01/2014,14:20:00,421.95
01/01/2014,14:25:00,421.75
01/01/2014,14:30:00,422.0
01/01/2014,14:35:00,422.4
01/01/2014,14:40:00,422.45
01/01/2014,14:45:00,422.5
01/01/2014,14:50:00,422.05
01/01/2014,14:55:00,422.2
01/01/2014,15:00:00,422.65
01/01/2014,15:05:00,422.15
01/01/2014,15:10:00,422.35
01/01/2014,15:15:00,422.55
01/01/2014,15:20:00,423.15
01/01/2014,15:25:00,424.0
01/01/2014,15:30:00,424.4
02/01/2014,09:20:00,426.0
02/01/2014,09:25:00,426.55
02/01/2014,09:30:00,427.5
02/01/2014,09:35:00,429.25
02/01/2014,09:40:00,428.45
02/01/2014,09:45:00,428.45
02/01/2014,09:50:00,428.5
02/01/2014,09:55:00,429.3
02/01/2014,10:00:00,429.05
02/01/2014,10:05:00,429.6
02/01/2014,10:10:00,430.2
02/01/2014,10:15:00,430.55
02/01/2014,10:20:00,431.2
02/01/2014,10:25:00,431.8
02/01/2014,10:30:00,430.7
02/01/2014,10:35:00,429.55
02/01/2014,10:40:00,429.65
02/01/2014,10:45:00,430.7
02/01/2014,10:50:00,431.55
02/01/2014,10:55:00,431.85
02/01/2014,11:00:00,431.8
02/01/2014,11:05:00,432.0
02/01/2014,11:10:00,431.7
02/01/2014,11:15:00,432.0
02/01/2014,11:20:00,431.8
02/01/2014,11:25:00,431.95
02/01/2014,11:30:00,431.95
02/01/2014,11:35:00,431.95
02/01/2014,11:40:00,431.9
02/01/2014,11:45:00,431.9
02/01/2014,11:50:00,431.75
02/01/2014,11:55:00,431.75
02/01/2014,12:00:00,431.6
02/01/2014,12:05:00,430.6
02/01/2014,12:10:00,431.25
02/01/2014,12:15:00,431.35
02/01/2014,12:20:00,431.95
02/01/2014,12:25:00,431.95
02/01/2014,12:30:00,432.2
02/01/2014,12:35:00,432.05
02/01/2014,12:40:00,432.4
02/01/2014,12:45:00,431.0
02/01/2014,12:50:00,430.9
02/01/2014,12:55:00,430.8
02/01/2014,13:00:00,431.3
02/01/2014,13:05:00,431.2
02/01/2014,13:10:00,431.55
02/01/2014,13:15:00,431.15
02/01/2014,13:20:00,430.9
02/01/2014,13:25:00,429.8
02/01/2014,13:30:00,430.0
02/01/2014,13:35:00,429.65
02/01/2014,13:40:00,430.0
02/01/2014,13:45:00,430.95
02/01/2014,13:50:00,427.45
02/01/2014,13:55:00,429.0
02/01/2014,14:00:00,425.9
02/01/2014,14:05:00,421.0
02/01/2014,14:10:00,418.8
02/01/2014,14:15:00,420.5
02/01/2014,14:20:00,420.75
02/01/2014,14:25:00,419.0
02/01/2014,14:30:00,420.1
02/01/2014,14:35:00,420.8
02/01/2014,14:40:00,420.6
02/01/2014,14:45:00,419.95
02/01/2014,14:50:00,415.5
02/01/2014,14:55:00,414.0
02/01/2014,15:00:00,414.0
02/01/2014,15:05:00,413.0
02/01/2014,15:10:00,413.5
02/01/2014,15:15:00,414.8
02/01/2014,15:20:00,414.2
02/01/2014,15:25:00,412.0
02/01/2014,15:30:00,411.75
03/01/2014,09:20:00,410.2
03/01/2014,09:25:00,411.65
03/01/2014,09:30:00,410.55
03/01/2014,09:35:00,411.6
03/01/2014,09:40:00,412.0
03/01/2014,09:45:00,412.45
03/01/2014,09:50:00,411.7
03/01/2014,09:55:00,411.5
03/01/2014,10:00:00,410.7
03/01/2014,10:05:00,410.5
03/01/2014,10:10:00,410.25
03/01/2014,10:15:00,408.75
03/01/2014,10:20:00,408.95
03/01/2014,10:25:00,409.0
03/01/2014,10:30:00,409.2
03/01/2014,10:35:00,408.65
03/01/2014,10:40:00,408.95
03/01/2014,10:45:00,408.5
03/01/2014,10:50:00,408.95
03/01/2014,10:55:00,409.5
03/01/2014,11:00:00,409.05
03/01/2014,11:05:00,409.35
03/01/2014,11:10:00,408.65
03/01/2014,11:15:00,408.75
03/01/2014,11:20:00,410.4
03/01/2014,11:25:00,411.85
03/01/2014,11:30:00,409.4
03/01/2014,11:35:00,409.7
03/01/2014,11:40:00,408.9
03/01/2014,11:45:00,409.5
03/01/2014,11:50:00,409.3
03/01/2014,11:55:00,410.6
03/01/2014,12:00:00,411.25
03/01/2014,12:05:00,409.7
03/01/2014,12:10:00,409.6
03/01/2014,12:15:00,409.9
03/01/2014,12:20:00,409.0
03/01/2014,12:25:00,408.35
03/01/2014,12:30:00,408.35
03/01/2014,12:35:00,407.5
03/01/2014,12:40:00,407.85
03/01/2014,12:45:00,408.0
03/01/2014,12:50:00,408.65
03/01/2014,12:55:00,408.0
03/01/2014,13:00:00,406.9
03/01/2014,13:05:00,407.5
03/01/2014,13:10:00,407.45
03/01/2014,13:15:00,408.0
03/01/2014,13:20:00,408.8
03/01/2014,13:25:00,409.35
03/01/2014,13:30:00,409.75
03/01/2014,13:35:00,409.7
03/01/2014,13:40:00,409.8
03/01/2014,13:45:00,410.05
03/01/2014,13:50:00,410.15
03/01/2014,13:55:00,409.6
03/01/2014,14:00:00,410.0
03/01/2014,14:05:00,409.55
03/01/2014,14:10:00,413.05
03/01/2014,14:15:00,410.9
03/01/2014,14:20:00,410.05
03/01/2014,14:25:00,410.3
03/01/2014,14:30:00,410.7
03/01/2014,14:35:00,412.4
03/01/2014,14:40:00,415.2
03/01/2014,14:45:00,414.55
03/01/2014,14:50:00,414.55
03/01/2014,14:55:00,413.7
03/01/2014,15:00:00,413.1
03/01/2014,15:05:00,413.5
03/01/2014,15:10:00,413.45
03/01/2014,15:15:00,414.6
03/01/2014,15:20:00,414.5
03/01/2014,15:25:00,414.35
03/01/2014,15:30:00,414.4
06/01/2014,09:20:00,412.3
06/01/2014,09:25:00,411.45
06/01/2014,09:30:00,409.75
06/01/2014,09:35:00,410.5
06/01/2014,09:40:00,410.2
06/01/2014,09:45:00,410.7
06/01/2014,09:50:00,409.95
06/01/2014,09:55:00,410.7
06/01/2014,10:00:00,410.9
06/01/2014,10:05:00,410.85
06/01/2014,10:10:00,410.95
06/01/2014,10:15:00,410.65
06/01/2014,10:20:00,410.8
06/01/2014,10:25:00,411.45
06/01/2014,10:30:00,411.3
06/01/2014,10:35:00,410.35
06/01/2014,10:40:00,410.7
06/01/2014,10:45:00,411.0
