DATE,TIME,CLOSE
01/01/2014,09:20:00,72.7
01/01/2014,09:25:00,72.75
01/01/2014,09:30:00,72.7
01/01/2014,09:35:00,72.4
01/01/2014,09:40:00,72.6
01/01/2014,09:45:00,72.6
01/01/2014,09:50:00,72.65
01/01/2014,09:55:00,72.75
01/01/2014,10:00:00,72.5
01/01/2014,10:05:00,72.25
01/01/2014,10:10:00,72.25
01/01/2014,10:15:00,72.35
01/01/2014,10:20:00,72.4
01/01/2014,10:25:00,72.4
01/01/2014,10:30:00,72.5
01/01/2014,10:35:00,72.35
01/01/2014,10:40:00,72.4
01/01/2014,10:45:00,72.4
01/01/2014,10:50:00,72.35
01/01/2014,10:55:00,72.4
01/01/2014,11:00:00,72.4
01/01/2014,11:05:00,72.4
01/01/2014,11:10:00,72.3
01/01/2014,11:15:00,72.25
01/01/2014,11:20:00,72.2
01/01/2014,11:25:00,72.15
01/01/2014,11:30:00,72.25
01/01/2014,11:35:00,72.3
01/01/2014,11:40:00,72.15
01/01/2014,11:45:00,72.1
01/01/2014,11:50:00,72.3
01/01/2014,11:55:00,72.3
01/01/2014,12:00:00,72.3
01/01/2014,12:05:00,72.3
01/01/2014,12:10:00,72.35
01/01/2014,12:15:00,72.2
01/01/2014,12:20:00,72.15
01/01/2014,12:25:00,72.15
01/01/2014,12:30:00,72.2
01/01/2014,12:35:00,72.2
01/01/2014,12:40:00,72.2
01/01/2014,12:45:00,72.2
01/01/2014,12:50:00,72.3
01/01/2014,12:55:00,72.3
01/01/2014,13:00:00,72.35
01/01/2014,13:05:00,72.25
01/01/2014,13:10:00,72.3
01/01/2014,13:15:00,72.25
01/01/2014,13:20:00,72.3
01/01/2014,13:25:00,72.4
01/01/2014,13:30:00,72.3
01/01/2014,13:35:00,72.25
01/01/2014,13:40:00,72.2
01/01/2014,13:45:00,72.1
01/01/2014,13:50:00,72.1
01/01/2014,13:55:00,72.1
01/01/2014,14:00:00,72.1
01/01/2014,14:05:00,72.05
01/01/2014,14:10:00,71.85
01/01/2014,14:15:00,71.8
01/01/2014,14:20:00,71.9
01/01/2014,14:25:00,71.75
01/01/2014,14:30:00,71.7
01/01/2014,14:35:00,71.8
01/01/2014,14:40:00,72.1
01/01/2014,14:45:00,72.2
01/01/2014,14:50:00,72.15
01/01/2014,14:55:00,72.1
01/01/2014,15:00:00,72.15
01/01/2014,15:05:00,72.05
01/01/2014,15:10:00,72.0
01/01/2014,15:15:00,71.8
01/01/2014,15:20:00,71.8
01/01/2014,15:25:00,71.8
01/01/2014,15:30:00,71.75
02/01/2014,09:20:00,72.35
02/01/2014,09:25:00,72.5
02/01/2014,09:30:00,72.55
02/01/2014,09:35:00,73.05
02/01/2014,09:40:00,72.9
02/01/2014,09:45:00,72.95
02/01/2014,09:50:00,72.85
02/01/2014,09:55:00,72.95
02/01/2014,10:00:00,73.1
02/01/2014,10:05:00,73.05
02/01/2014,10:10:00,73.2
02/01/2014,10:15:00,73.05
02/01/2014,10:20:00,73.0
02/01/2014,10:25:00,73.05
02/01/2014,10:30:00,73.3
02/01/2014,10:35:00,73.15
02/01/2014,10:40:00,73.1
02/01/2014,10:45:00,73.1
02/01/2014,10:50:00,73.05
02/01/2014,10:55:00,73.3
02/01/2014,11:00:00,73.3
02/01/2014,11:05:00,73.35
02/01/2014,11:10:00,73.35
02/01/2014,11:15:00,73.3
02/01/2014,11:20:00,73.25
02/01/2014,11:25:00,73.2
02/01/2014,11:30:00,73.25
02/01/2014,11:35:00,73.15
02/01/2014,11:40:00,73.2
02/01/2014,11:45:00,73.2
02/01/2014,11:50:00,73.1
02/01/2014,11:55:00,72.9
02/01/2014,12:00:00,72.85
02/01/2014,12:05:00,72.7
02/01/2014,12:10:00,72.85
02/01/2014,12:15:00,73.05
02/01/2014,12:20:00,73.15
02/01/2014,12:25:00,73.2
02/01/2014,12:30:00,73.25
02/01/2014,12:35:00,73.25
02/01/2014,12:40:00,73.2
02/01/2014,12:45:00,73.15
02/01/2014,12:50:00,73.1
02/01/2014,12:55:00,73.1
02/01/2014,13:00:00,73.05
02/01/2014,13:05:00,73.1
02/01/2014,13:10:00,73.1
02/01/2014,13:15:00,73.05
02/01/2014,13:20:00,73.15
02/01/2014,13:25:00,72.7
02/01/2014,13:30:00,72.55
02/01/2014,13:35:00,72.75
02/01/2014,13:40:00,72.85
02/01/2014,13:45:00,72.75
02/01/2014,13:50:00,72.2
02/01/2014,13:55:00,72.5
02/01/2014,14:00:00,72.3
02/01/2014,14:05:00,71.3
02/01/2014,14:10:00,71.05
02/01/2014,14:15:00,70.8
02/01/2014,14:20:00,70.9
02/01/2014,14:25:00,70.5
02/01/2014,14:30:00,70.5
02/01/2014,14:35:00,70.55
02/01/2014,14:40:00,70.45
02/01/2014,14:45:00,70.45
02/01/2014,14:50:00,69.9
02/01/2014,14:55:00,69.3
02/01/2014,15:00:00,69.35
02/01/2014,15:05:00,69.3
02/01/2014,15:10:00,69.5
02/01/2014,15:15:00,69.4
02/01/2014,15:20:00,68.9
02/01/2014,15:25:00,69.15
02/01/2014,15:30:00,69.2
03/01/2014,09:20:00,68.6
03/01/2014,09:25:00,68.7
03/01/2014,09:30:00,69.0
03/01/2014,09:35:00,68.9
03/01/2014,09:40:00,68.9
03/01/2014,09:45:00,69.3
03/01/2014,09:50:00,69.85
03/01/2014,09:55:00,69.5
03/01/2014,10:00:00,69.45
03/01/2014,10:05:00,69.35
03/01/2014,10:10:00,69.2
03/01/2014,10:15:00,68.9
03/01/2014,10:20:00,69.0
03/01/2014,10:25:00,69.45
03/01/2014,10:30:00,69.35
03/01/2014,10:35:00,69.25
03/01/2014,10:40:00,69.15
03/01/2014,10:45:00,69.0
03/01/2014,10:50:00,69.0
03/01/2014,10:55:00,69.35
03/01/2014,11:00:00,69.0
03/01/2014,11:05:00,69.0
03/01/2014,11:10:00,68.6
03/01/2014,11:15:00,68.55
03/01/2014,11:20:00,68.7
03/01/2014,11:25:00,69.0
03/01/2014,11:30:00,68.9
03/01/2014,11:35:00,68.75
03/01/2014,11:40:00,68.8
03/01/2014,11:45:00,68.9
03/01/2014,11:50:00,68.8
03/01/2014,11:55:00,68.75
03/01/2014,12:00:00,68.85
03/01/2014,12:05:00,68.75
03/01/2014,12:10:00,69.0
03/01/2014,12:15:00,69.2
03/01/2014,12:20:00,68.7
03/01/2014,12:25:00,68.5
03/01/2014,12:30:00,68.4
03/01/2014,12:35:00,68.2
03/01/2014,12:40:00,68.1
03/01/2014,12:45:00,68.2
03/01/2014,12:50:00,68.05
03/01/2014,12:55:00,68.3
03/01/2014,13:00:00,68.0
03/01/2014,13:05:00,68.05
03/01/2014,13:10:00,68.0
03/01/2014,13:15:00,68.1
03/01/2014,13:20:00,68.25
03/01/2014,13:25:00,68.5
03/01/2014,13:30:00,68.35
03/01/2014,13:35:00,68.6
03/01/2014,13:40:00,68.45
03/01/2014,13:45:00,68.4
03/01/2014,13:50:00,68.45
03/01/2014,13:55:00,68.35
03/01/2014,14:00:00,68.3
03/01/2014,14:05:00,68.45
03/01/2014,14:10:00,68.6
03/01/2014,14:15:00,68.5
03/01/2014,14:20:00,68.7
03/01/2014,14:25:00,68.95
03/01/2014,14:30:00,68.85
03/01/2014,14:35:00,68.9
03/01/2014,14:40:00,69.5
03/01/2014,14:45:00,69.3
03/01/2014,14:50:00,69.35
03/01/2014,14:55:00,69.1
03/01/2014,15:00:00,69.15
03/01/2014,15:05:00,69.05
03/01/2014,15:10:00,68.95
03/01/2014,15:15:00,69.35
03/01/2014,15:20:00,69.6
03/01/2014,15:25:00,69.55
03/01/2014,15:30:00,69.75
06/01/2014,09:20:00,69.2
06/01/2014,09:25:00,68.95
06/01/2014,09:30:00,68.7
06/01/2014,09:35:00,68.75
06/01/2014,09:40:00,68.75
06/01/2014,09:45:00,68.65
06/01/2014,09:50:00,68.65
06/01/2014,09:55:00,68.65
06/01/2014,10:00:00,68.7
06/01/2014,10:05:00,68.8
06/01/2014,10:10:00,69.15
06/01/2014,10:15:00,69.1
06/01/2014,10:20:00,69.0
06/01/2014,10:25:00,69.15
06/01/2014,10:30:00,69.35
06/01/2014,10:35:00,69.0
06/01/2014,10:40:00,69.05
06/01/2014,10:45:00,68.95
06/01/2014,10:50:00,69.05
06/01/2014,10:55:00,68.95
06/01/2014,11:00:00,68.95
06/01/2014,11:05:00,69.0
06/01/2014,11:10:00,68.95
06/01/2014,11:15:00,68.7
06/01/2014,11:20:00,68.75
06/01/2014,11:25:00,68.8
06/01/2014,11:30:00,68.8
06/01/2014,11:35:00,68.65
06/01/2014,11:40:00,68.65
06/01/2014,11:45:00,68.6
06/01/2014,11:50:00,68.35
06/01/2014,11:55:00,68.4
06/01/2014,12:00:00,68.25
06/01/2014,12:05:00,68.4
06/01/2014,12:10:00,68.2
06/01/2014,12:15:00,68.25
06/01/2014,12:20:00,68.2
06/01/2014,12:25:00,68.4
06/01/2014,12:30:00,68.35
06/01/2014,12:35:00,68.35
06/01/2014,12:40:00,68.45
06/01/2014,12:45:00,68.35
06/01/2014,12:50:00,68.4
06/01/2014,12:55:00,68.5
06/01/2014,13:00:00,68.5
06/01/2014,13:05:00,68.4
06/01/2014,13:10:00,68.5
06/01/2014,13:15:00,68.4
06/01/2014,13:20:00,68.35
06/01/2014,13:25:00,68.45
06/01/2014,13:30:00,68.5
06/01/2014,13:35:00,68.4
06/01/2014,13:40:00,68.3
06/01/2014,13:45:00,68.45
06/01/2014,13:50:00,68.5
06/01/2014,13:55:00,68.7
06/01/2014,14:00:00,68.85
06/01/2014,14:05:00,68.9
06/01/2014,14:10:00,69.05
06/01/2014,14:15:00,69.0
06/01/2014,14:20:00,68.8
06/01/2014,14:25:00,68.85
06/01/2014,14:30:00,68.95
06/01/2014,14:35:00,69.0
06/01/2014,14:40:00,69.05
06/01/2014,14:45:00,70.55
06/01/2014,14:50:00,70.3
06/01/2014,14:55:00,70.6
06/01/2014,15:00:00,70.85
06/01/2014,15:05:00,70.65
06/01/2014,15:10:00,70.8
06/01/2014,15:15:00,70.95
06/01/2014,15:20:00,71.05
06/01/2014,15:25:00,72.2
06/01/2014,15:30:00,71.75
07/01/2014,09:20:00,71.9
07/01/2014,09:25:00,71.95
07/01/2014,09:30:00,71.35
07/01/2014,09:35:00,71.25
07/01/2014,09:40:00,71.25
07/01/2014,09:45:00,70.6
07/01/2014,09:50:00,70.6
07/01/2014,09:55:00,70.75
07/01/2014,10:00:00,70.0
07/01/2014,10:05:00,69.9
07/01/2014,10:10:00,69.8
07/01/2014,10:15:00,69.4
07/01/2014,10:20:00,69.45
07/01/2014,10:25:00,69.6
07/01/2014,10:30:00,69.7
07/01/2014,10:35:00,69.8
07/01/2014,10:40:00,69.7
07/01/2014,10:45:00,69.75
07/01/2014,10:50:00,69.8
07/01/2014,10:55:00,69.75
07/01/2014,11:00:00,69.85
07/01/2014,11:05:00,69.9
07/01/2014,11:10:00,69.9
07/01/2014,11:15:00,69.7
07/01/2014,11:20:00,69.8
07/01/2014,11:25:00,69.9
07/01/2014,11:30:00,70.15
07/01/2014,11:35:00,70.2
07/01/2014,11:40:00,70.1
07/01/2014,11:45:00,70.15
07/01/2014,11:50:00,70.15
07/01/2014,11:55:00,70.1
07/01/2014,12:00:00,70.15
07/01/2014,12:05:00,70.1
07/01/2014,12:10:00,70.0
07/01/2014,12:15:00,70.0
07/01/2014,12:20:00,70.0
