DATE,TIME,CLOSE
01/01/2014,09:20:00,289.7
01/01/2014,09:25:00,289.6
01/01/2014,09:30:00,289.75
01/01/2014,09:35:00,289.6
01/01/2014,09:40:00,289.85
01/01/2014,09:45:00,290.0
01/01/2014,09:50:00,289.9
01/01/2014,09:55:00,289.8
01/01/2014,10:00:00,289.8
01/01/2014,10:05:00,289.95
01/01/2014,10:10:00,289.8
01/01/2014,10:15:00,289.5
01/01/2014,10:20:00,289.7
01/01/2014,10:25:00,289.5
01/01/2014,10:30:00,289.7
01/01/2014,10:35:00,289.65
01/01/2014,10:40:00,289.6
01/01/2014,10:45:00,289.95
01/01/2014,10:50:00,289.65
01/01/2014,10:55:00,289.95
01/01/2014,11:00:00,289.7
01/01/2014,11:05:00,289.75
01/01/2014,11:10:00,289.8
01/01/2014,11:15:00,289.8
01/01/2014,11:20:00,289.8
01/01/2014,11:25:00,289.8
01/01/2014,11:30:00,289.6
01/01/2014,11:35:00,289.4
01/01/2014,11:40:00,289.5
01/01/2014,11:45:00,289.4
01/01/2014,11:50:00,289.6
01/01/2014,11:55:00,289.35
01/01/2014,12:00:00,289.75
01/01/2014,12:05:00,289.75
01/01/2014,12:10:00,289.4
01/01/2014,12:15:00,289.4
01/01/2014,12:20:00,289.45
01/01/2014,12:25:00,289.4
01/01/2014,12:30:00,289.4
01/01/2014,12:35:00,290.4
01/01/2014,12:40:00,290.0
01/01/2014,12:45:00,290.15
01/01/2014,12:50:00,289.7
01/01/2014,12:55:00,289.85
01/01/2014,13:00:00,289.55
01/01/2014,13:05:00,289.4
01/01/2014,13:10:00,289.1
01/01/2014,13:15:00,289.0
01/01/2014,13:20:00,289.1
01/01/2014,13:25:00,288.85
01/01/2014,13:30:00,289.1
01/01/2014,13:35:00,288.85
01/01/2014,13:40:00,288.75
01/01/2014,13:45:00,288.2
01/01/2014,13:50:00,288.0
01/01/2014,13:55:00,287.85
01/01/2014,14:00:00,287.65
01/01/2014,14:05:00,288.15
01/01/2014,14:10:00,287.8
01/01/2014,14:15:00,287.75
01/01/2014,14:20:00,287.7
01/01/2014,14:25:00,287.45
01/01/2014,14:30:00,287.5
01/01/2014,14:35:00,287.5
01/01/2014,14:40:00,287.8
01/01/2014,14:45:00,287.8
01/01/2014,14:50:00,287.85
01/01/2014,14:55:00,287.8
01/01/2014,15:00:00,287.7
01/01/2014,15:05:00,288.1
01/01/2014,15:10:00,287.95
01/01/2014,15:15:00,288.3
01/01/2014,15:20:00,288.5
01/01/2014,15:25:00,288.25
01/01/2014,15:30:00,288.1
02/01/2014,09:20:00,290.4
02/01/2014,09:25:00,290.45
02/01/2014,09:30:00,291.5
02/01/2014,09:35:00,292.45
02/01/2014,09:40:00,291.5
02/01/2014,09:45:00,291.1
02/01/2014,09:50:00,291.45
02/01/2014,09:55:00,290.7
02/01/2014,10:00:00,290.45
02/01/2014,10:05:00,290.2
02/01/2014,10:10:00,290.45
02/01/2014,10:15:00,289.8
02/01/2014,10:20:00,289.8
02/01/2014,10:25:00,289.95
02/01/2014,10:30:00,289.8
02/01/2014,10:35:00,288.5
02/01/2014,10:40:00,289.2
02/01/2014,10:45:00,289.3
02/01/2014,10:50:00,288.75
02/01/2014,10:55:00,288.85
02/01/2014,11:00:00,288.5
02/01/2014,11:05:00,288.35
02/01/2014,11:10:00,288.45
02/01/2014,11:15:00,288.4
02/01/2014,11:20:00,288.35
02/01/2014,11:25:00,288.6
02/01/2014,11:30:00,289.0
02/01/2014,11:35:00,288.35
02/01/2014,11:40:00,288.5
02/01/2014,11:45:00,288.35
02/01/2014,11:50:00,288.1
02/01/2014,11:55:00,288.2
02/01/2014,12:00:00,288.05
02/01/2014,12:05:00,288.05
02/01/2014,12:10:00,287.7
02/01/2014,12:15:00,286.4
02/01/2014,12:20:00,286.75
02/01/2014,12:25:00,286.55
02/01/2014,12:30:00,286.7
02/01/2014,12:35:00,286.6
02/01/2014,12:40:00,286.7
02/01/2014,12:45:00,286.65
02/01/2014,12:50:00,286.8
02/01/2014,12:55:00,286.75
02/01/2014,13:00:00,286.8
02/01/2014,13:05:00,286.65
02/01/2014,13:10:00,286.75
02/01/2014,13:15:00,286.35
02/01/2014,13:20:00,286.6
02/01/2014,13:25:00,286.0
02/01/2014,13:30:00,286.5
02/01/2014,13:35:00,286.2
02/01/2014,13:40:00,286.0
02/01/2014,13:45:00,286.1
02/01/2014,13:50:00,285.5
02/01/2014,13:55:00,285.85
02/01/2014,14:00:00,285.15
02/01/2014,14:05:00,283.75
02/01/2014,14:10:00,283.0
02/01/2014,14:15:00,284.1
02/01/2014,14:20:00,284.25
02/01/2014,14:25:00,283.4
02/01/2014,14:30:00,284.55
02/01/2014,14:35:00,284.15
02/01/2014,14:40:00,283.5
02/01/2014,14:45:00,283.7
02/01/2014,14:50:00,282.8
02/01/2014,14:55:00,283.4
02/01/2014,15:00:00,282.95
02/01/2014,15:05:00,283.05
02/01/2014,15:10:00,282.6
02/01/2014,15:15:00,280.65
02/01/2014,15:20:00,280.75
02/01/2014,15:25:00,281.25
02/01/2014,15:30:00,281.6
03/01/2014,09:20:00,285.15
03/01/2014,09:25:00,283.45
03/01/2014,09:30:00,283.85
03/01/2014,09:35:00,283.8
03/01/2014,09:40:00,283.6
03/01/2014,09:45:00,283.5
03/01/2014,09:50:00,282.55
03/01/2014,09:55:00,283.1
03/01/2014,10:00:00,282.8
03/01/2014,10:05:00,282.85
03/01/2014,10:10:00,282.6
03/01/2014,10:15:00,283.05
03/01/2014,10:20:00,282.5
03/01/2014,10:25:00,281.0
03/01/2014,10:30:00,282.65
03/01/2014,10:35:00,282.0
03/01/2014,10:40:00,282.6
03/01/2014,10:45:00,281.85
03/01/2014,10:50:00,282.1
03/01/2014,10:55:00,282.25
03/01/2014,11:00:00,281.55
03/01/2014,11:05:00,281.6
03/01/2014,11:10:00,281.5
03/01/2014,11:15:00,281.85
03/01/2014,11:20:00,282.0
03/01/2014,11:25:00,282.75
03/01/2014,11:30:00,281.6
03/01/2014,11:35:00,281.65
03/01/2014,11:40:00,281.5
03/01/2014,11:45:00,281.7
03/01/2014,11:50:00,281.55
03/01/2014,11:55:00,281.6
03/01/2014,12:00:00,281.55
03/01/2014,12:05:00,281.75
03/01/2014,12:10:00,282.05
03/01/2014,12:15:00,281.65
03/01/2014,12:20:00,281.45
03/01/2014,12:25:00,280.4
03/01/2014,12:30:00,280.7
03/01/2014,12:35:00,280.7
03/01/2014,12:40:00,280.75
03/01/2014,12:45:00,280.85
03/01/2014,12:50:00,280.7
03/01/2014,12:55:00,279.9
03/01/2014,13:00:00,279.45
03/01/2014,13:05:00,278.85
03/01/2014,13:10:00,277.3
03/01/2014,13:15:00,277.3
03/01/2014,13:20:00,277.8
03/01/2014,13:25:00,277.75
03/01/2014,13:30:00,277.8
03/01/2014,13:35:00,278.55
03/01/2014,13:40:00,278.7
03/01/2014,13:45:00,277.65
03/01/2014,13:50:00,277.3
03/01/2014,13:55:00,276.8
03/01/2014,14:00:00,277.25
03/01/2014,14:05:00,276.85
03/01/2014,14:10:00,277.25
03/01/2014,14:15:00,277.05
03/01/2014,14:20:00,276.85
03/01/2014,14:25:00,276.4
03/01/2014,14:30:00,276.5
03/01/2014,14:35:00,277.15
03/01/2014,14:40:00,276.85
03/01/2014,14:45:00,276.45
03/01/2014,14:50:00,276.25
03/01/2014,14:55:00,276.45
03/01/2014,15:00:00,276.0
03/01/2014,15:05:00,275.95
03/01/2014,15:10:00,275.45
03/01/2014,15:15:00,275.9
03/01/2014,15:20:00,275.9
03/01/2014,15:25:00,276.3
03/01/2014,15:30:00,276.5
06/01/2014,09:20:00,278.1
06/01/2014,09:25:00,279.75
06/01/2014,09:30:00,279.65
06/01/2014,09:35:00,279.6
06/01/2014,09:40:00,280.3
06/01/2014,09:45:00,280.2
06/01/2014,09:50:00,280.05
06/01/2014,09:55:00,280.55
06/01/2014,10:00:00,280.9
06/01/2014,10:05:00,282.0
06/01/2014,10:10:00,282.2
06/01/2014,10:15:00,283.7
06/01/2014,10:20:00,283.8
06/01/2014,10:25:00,284.25
06/01/2014,10:30:00,284.5
06/01/2014,10:35:00,284.5
06/01/2014,10:40:00,284.3
06/01/2014,10:45:00,283.3
06/01/2014,10:50:00,283.4
06/01/2014,10:55:00,283.05
06/01/2014,11:00:00,283.35
06/01/2014,11:05:00,283.7
06/01/2014,11:10:00,283.9
06/01/2014,11:15:00,283.85
06/01/2014,11:20:00,283.9
06/01/2014,11:25:00,283.8
06/01/2014,11:30:00,283.45
06/01/2014,11:35:00,283.5
06/01/2014,11:40:00,283.2
06/01/2014,11:45:00,282.85
06/01/2014,11:50:00,283.1
06/01/2014,11:55:00,283.0
06/01/2014,12:00:00,283.2
06/01/2014,12:05:00,283.25
06/01/2014,12:10:00,283.0
06/01/2014,12:15:00,282.3
06/01/2014,12:20:00,282.45
06/01/2014,12:25:00,282.8
06/01/2014,12:30:00,283.25
06/01/2014,12:35:00,283.05
06/01/2014,12:40:00,283.5
06/01/2014,12:45:00,284.2
06/01/2014,12:50:00,283.9
06/01/2014,12:55:00,284.3
06/01/2014,13:00:00,284.25
06/01/2014,13:05:00,283.8
06/01/2014,13:10:00,283.35
06/01/2014,13:15:00,283.65
06/01/2014,13:20:00,283.45
06/01/2014,13:25:00,283.2
06/01/2014,13:30:00,282.7
06/01/2014,13:35:00,282.45
06/01/2014,13:40:00,282.75
06/01/2014,13:45:00,282.8
06/01/2014,13:50:00,282.85
06/01/2014,13:55:00,282.45
06/01/2014,14:00:00,282.25
06/01/2014,14:05:00,282.25
06/01/2014,14:10:00,282.1
06/01/2014,14:15:00,281.1
06/01/2014,14:20:00,281.0
06/01/2014,14:25:00,282.0
06/01/2014,14:30:00,282.0
06/01/2014,14:35:00,282.4
06/01/2014,14:40:00,281.95
06/01/2014,14:45:00,282.0
06/01/2014,14:50:00,281.0
06/01/2014,14:55:00,281.0
06/01/2014,15:00:00,281.9
06/01/2014,15:05:00,281.5
06/01/2014,15:10:00,280.7
06/01/2014,15:15:00,280.75
06/01/2014,15:20:00,280.9
06/01/2014,15:25:00,280.75
06/01/2014,15:30:00,281.05
07/01/2014,09:20:00,281.65
07/01/2014,09:25:00,281.25
07/01/2014,09:30:00,281.55
07/01/2014,09:35:00,281.65
07/01/2014,09:40:00,280.95
07/01/2014,09:45:00,280.45
07/01/2014,09:50:00,280.2
07/01/2014,09:55:00,280.1
07/01/2014,10:00:00,278.5
07/01/2014,10:05:00,278.8
07/01/2014,10:10:00,278.3
07/01/2014,10:15:00,277.1
07/01/2014,10:20:00,276.9
07/01/2014,10:25:00,277.5
07/01/2014,10:30:00,278.0
07/01/2014,10:35:00,278.15
07/01/2014,10:40:00,278.25
07/01/2014,10:45:00,278.05
07/01/2014,10:50:00,278.05
07/01/2014,10:55:00,278.1
07/01/2014,11:00:00,278.05
07/01/2014,11:05:00,278.1
07/01/2014,11:10:00,277.4
07/01/2014,11:15:00,277.1
07/01/2014,11:20:00,276.7
07/01/2014,11:25:00,276.0
07/01/2014,11:30:00,276.4
07/01/2014,11:35:00,276.4
07/01/2014,11:40:00,276.7
07/01/2014,11:45:00,276.95
07/01/2014,11:50:00,276.55
07/01/2014,11:55:00,276.1
07/01/2014,12:00:00,276.4
07/01/2014,12:05:00,276.45
07/01/2014,12:10:00,276.45
07/01/2014,12:15:00,276.4
07/01/2014,12:20:00,276.25
07/01/2014,12:25:00,276.25
07/01/2014,12:30:00,276.1
07/01/2014,12:35:00,276.05
07/01/2014,12:40:00,275.45
07/01/2014,12:45:00,275.5
07/01/2014,12:50:00,275.5
07/01/2014,12:55:00,275.4
07/01/2014,13:00:00,275.6
07/01/2014,13:05:00,275.95
07/01/2014,13:10:00,276.3
07/01/2014,13:15:00,276.3
07/01/2014,13:20:00,276.25
07/01/2014,13:25:00,276.4
07/01/2014,13:30:00,276.7
07/01/2014,13:35:00,276.8
07/01/2014,13:40:00,276.75
07/01/2014,13:45:00,276.9
07/01/2014,13:50:00,276.95
07/01/2014,13:55:00,277.0
07/01/2014,14:00:00,277.05
07/01/2014,14:05:00,277.1
07/01/2014,14:10:00,278.0
07/01/2014,14:15:00,277.7
07/01/2014,14:20:00,277.55
07/01/2014,14:25:00,277.3
07/01/2014,14:30:00,277.65
07/01/2014,14:35:00,278.6
07/01/2014,14:40:00,277.75
07/01/2014,14:45:00,278.45
07/01/2014,14:50:00,278.4
07/01/2014,14:55:00,277.9
07/01/2014,15:00:00,277.65
07/01/2014,15:05:00,276.8
07/01/2014,15:10:00,276.95
07/01/2014,15:15:00,276.75
07/01/2014,15:20:00,276.4
07/01/2014,15:25:00,275.4
07/01/2014,15:30:00,275.7
08/01/2014,09:20:00,276.4
08/01/2014,09:25:00,276.5
08/01/2014,09:30:00,277.4
08/01/2014,09:35:00,277.5
08/01/2014,09:40:00,277.05
08/01/2014,09:45:00,276.45
08/01/2014,09:50:00,276.55
08/01/2014,09:55:00,276.45
08/01/2014,10:00:00,276.65
08/01/2014,10:05:00,277.2
08/01/2014,10:10:00,277.25
08/01/2014,10:15:00,277.5
08/01/2014,10:20:00,277.5
08/01/2014,10:25:00,278.25
08/01/2014,10:30:00,278.55
08/01/2014,10:35:00,278.05
08/01/2014,10:40:00,278.3
08/01/2014,10:45:00,278.0
08/01/2014,10:50:00,278.0
08/01/2014,10:55:00,277.95
08/01/2014,11:00:00,278.0
08/01/2014,11:05:00,277.8
08/01/2014,11:10:00,277.2
08/01/2014,11:15:00,276.85
08/01/2014,11:20:00,276.9
08/01/2014,11:25:00,276.55
08/01/2014,11:30:00,276.8
08/01/2014,11:35:00,277.1
08/01/2014,11:40:00,276.8
08/01/2014,11:45:00,276.8
08/01/2014,11:50:00,276.9
08/01/2014,11:55:00,276.85
08/01/2014,12:00:00,276.9
08/01/2014,12:05:00,276.95
08/01/2014,12:10:00,276.85
08/01/2014,12:15:00,276.85
08/01/2014,12:20:00,276.85
08/01/2014,12:25:00,276.85
08/01/2014,12:30:00,276.6
08/01/2014,12:35:00,276.15
08/01/2014,12:40:00,275.45
08/01/2014,12:45:00,274.2
08/01/2014,12:50:00,274.4
08/01/2014,12:55:00,274.45
08/01/2014,13:00:00,274.0
08/01/2014,13:05:00,274.0
08/01/2014,13:10:00,274.1
08/01/2014,13:15:00,274.2
08/01/2014,13:20:00,274.75
08/01/2014,13:25:00,275.6
08/01/2014,13:30:00,275.2
08/01/2014,13:35:00,275.45
08/01/2014,13:40:00,276.0
08/01/2014,13:45:00,275.25
08/01/2014,13:50:00,275.2
08/01/2014,13:55:00,275.15
08/01/2014,14:00:00,275.1
08/01/2014,14:05:00,275.4
08/01/2014,14:10:00,275.35
08/01/2014,14:15:00,275.65
08/01/2014,14:20:00,275.3
08/01/2014,14:25:00,275.45
08/01/2014,14:30:00,275.65
08/01/2014,14:35:00,275.8
08/01/2014,14:40:00,275.45
08/01/2014,14:45:00,275.4
08/01/2014,14:50:00,275.5
08/01/2014,14:55:00,275.5
08/01/2014,15:00:00,275.4
08/01/2014,15:05:00,273.8
08/01/2014,15:10:00,273.2
08/01/2014,15:15:00,273.35
08/01/2014,15:20:00,273.05
08/01/2014,15:25:00,272.65
08/01/2014,15:30:00,273.0
09/01/2014,09:20:00,273.05
09/01/2014,09:25:00,273.7
09/01/2014,09:30:00,274.0
09/01/2014,09:35:00,273.95
09/01/2014,09:40:00,273.65
09/01/2014,09:45:00,274.0
09/01/2014,09:50:00,273.85
09/01/2014,09:55:00,274.6
09/01/2014,10:00:00,274.65
09/01/2014,10:05:00,275.2
09/01/2014,10:10:00,276.1
09/01/2014,10:15:00,276.0
09/01/2014,10:20:00,277.0
09/01/2014,10:25:00,277.15
09/01/2014,10:30:00,276.85
09/01/2014,10:35:00,276.75
09/01/2014,10:40:00,276.6
09/01/2014,10:45:00,277.0
09/01/2014,10:50:00,277.2
09/01/2014,10:55:00,276.7
09/01/2014,11:00:00,276.45
09/01/2014,11:05:00,276.8
09/01/2014,11:10:00,277.2
09/01/2014,11:15:00,277.25
09/01/2014,11:20:00,277.4
09/01/2014,11:25:00,277.75
09/01/2014,11:30:00,277.8
09/01/2014,11:35:00,278.0
09/01/2014,11:40:00,278.0
09/01/2014,11:45:00,277.8
09/01/2014,11:50:00,277.95
09/01/2014,11:55:00,278.0
09/01/2014,12:00:00,277.95
09/01/2014,12:05:00,277.8
09/01/2014,12:10:00,277.95
09/01/2014,12:15:00,278.55
09/01/2014,12:20:00,279.5
09/01/2014,12:25:00,278.9
09/01/2014,12:30:00,278.85
09/01/2014,12:35:00,278.85
09/01/2014,12:40:00,279.1
09/01/2014,12:45:00,279.05
09/01/2014,12:50:00,279.2
09/01/2014,12:55:00,279.05
09/01/2014,13:00:00,279.4
09/01/2014,13:05:00,279.5
09/01/2014,13:10:00,279.0
09/01/2014,13:15:00,279.1
09/01/2014,13:20:00,279.3
09/01/2014,13:25:00,279.55
09/01/2014,13:30:00,279.65
09/01/2014,13:35:00,281.0
09/01/2014,13:40:00,279.9
09/01/2014,13:45:00,281.1
09/01/2014,13:50:00,280.5
09/01/2014,13:55:00,280.3
09/01/2014,14:00:00,280.0
09/01/2014,14:05:00,279.9
09/01/2014,14:10:00,279.95
09/01/2014,14:15:00,279.75
09/01/2014,14:20:00,279.4
09/01/2014,14:25:00,279.4
09/01/2014,14:30:00,279.7
09/01/2014,14:35:00,279.65
