DATE,TIME,CLOSE
01/01/2014,09:20:00,130.9
01/01/2014,09:25:00,130.6
01/01/2014,09:30:00,130.45
01/01/2014,09:35:00,130.5
01/01/2014,09:40:00,130.6
01/01/2014,09:45:00,130.55
01/01/2014,09:50:00,130.65
01/01/2014,09:55:00,130.6
01/01/2014,10:00:00,130.6
01/01/2014,10:05:00,130.6
01/01/2014,10:10:00,130.6
01/01/2014,10:15:00,130.55
01/01/2014,10:20:00,130.75
01/01/2014,10:25:00,130.8
01/01/2014,10:30:00,130.7
01/01/2014,10:35:00,130.6
01/01/2014,10:40:00,130.55
01/01/2014,10:45:00,130.6
01/01/2014,10:50:00,130.7
01/01/2014,10:55:00,130.75
01/01/2014,11:00:00,130.65
01/01/2014,11:05:00,131.5
01/01/2014,11:10:00,131.65
01/01/2014,11:15:00,131.6
01/01/2014,11:20:00,131.5
01/01/2014,11:25:00,131.3
01/01/2014,11:30:00,131.4
01/01/2014,11:35:00,131.1
01/01/2014,11:40:00,131.2
01/01/2014,11:45:00,131.3
01/01/2014,11:50:00,131.35
01/01/2014,11:55:00,131.3
01/01/2014,12:00:00,131.1
01/01/2014,12:05:00,131.45
01/01/2014,12:10:00,131.3
01/01/2014,12:15:00,131.2
01/01/2014,12:20:00,131.1
01/01/2014,12:25:00,131.0
01/01/2014,12:30:00,131.05
01/01/2014,12:35:00,131.65
01/01/2014,12:40:00,132.25
01/01/2014,12:45:00,132.7
01/01/2014,12:50:00,132.8
01/01/2014,12:55:00,132.95
01/01/2014,13:00:00,133.1
01/01/2014,13:05:00,133.4
01/01/2014,13:10:00,133.8
01/01/2014,13:15:00,134.25
01/01/2014,13:20:00,134.25
01/01/2014,13:25:00,134.1
01/01/2014,13:30:00,134.5
01/01/2014,13:35:00,134.4
01/01/2014,13:40:00,134.3
01/01/2014,13:45:00,134.2
01/01/2014,13:50:00,134.25
01/01/2014,13:55:00,134.1
01/01/2014,14:00:00,134.25
01/01/2014,14:05:00,134.1
01/01/2014,14:10:00,133.8
01/01/2014,14:15:00,134.2
01/01/2014,14:20:00,134.1
01/01/2014,14:25:00,134.1
01/01/2014,14:30:00,134.1
01/01/2014,14:35:00,134.85
01/01/2014,14:40:00,135.2
01/01/2014,14:45:00,136.25
01/01/2014,14:50:00,137.95
01/01/2014,14:55:00,138.95
01/01/2014,15:00:00,138.45
01/01/2014,15:05:00,138.5
01/01/2014,15:10:00,138.65
01/01/2014,15:15:00,138.75
01/01/2014,15:20:00,138.45
01/01/2014,15:25:00,137.85
01/01/2014,15:30:00,137.85
02/01/2014,09:20:00,138.35
02/01/2014,09:25:00,138.3
02/01/2014,09:30:00,138.8
02/01/2014,09:35:00,138.85
02/01/2014,09:40:00,138.55
02/01/2014,09:45:00,138.15
02/01/2014,09:50:00,138.1
02/01/2014,09:55:00,139.35
02/01/2014,10:00:00,139.1
02/01/2014,10:05:00,138.75
02/01/2014,10:10:00,138.7
02/01/2014,10:15:00,138.3
02/01/2014,10:20:00,138.65
02/01/2014,10:25:00,139.3
02/01/2014,10:30:00,138.85
02/01/2014,10:35:00,138.7
02/01/2014,10:40:00,138.8
02/01/2014,10:45:00,139.0
02/01/2014,10:50:00,139.1
02/01/2014,10:55:00,139.05
02/01/2014,11:00:00,138.95
02/01/2014,11:05:00,138.95
02/01/2014,11:10:00,138.75
02/01/2014,11:15:00,138.75
02/01/2014,11:20:00,138.75
02/01/2014,11:25:00,138.9
02/01/2014,11:30:00,138.6
02/01/2014,11:35:00,138.65
