DATE,TIME,CLOSE
01/01/2014,09:20:00,428.2
01/01/2014,09:25:00,427.65
01/01/2014,09:30:00,427.75
01/01/2014,09:35:00,427.75
01/01/2014,09:40:00,428.0
01/01/2014,09:45:00,428.8
01/01/2014,09:50:00,428.55
01/01/2014,09:55:00,428.2
01/01/2014,10:00:00,427.5
01/01/2014,10:05:00,426.45
01/01/2014,10:10:00,426.9
01/01/2014,10:15:00,426.95
01/01/2014,10:20:00,427.2
01/01/2014,10:25:00,427.35
01/01/2014,10:30:00,426.8
01/01/2014,10:35:00,426.0
01/01/2014,10:40:00,426.6
01/01/2014,10:45:00,426.9
01/01/2014,10:50:00,427.35
01/01/2014,10:55:00,427.75
01/01/2014,11:00:00,427.35
01/01/2014,11:05:00,428.5
01/01/2014,11:10:00,428.3
01/01/2014,11:15:00,428.15
01/01/2014,11:20:00,428.35
01/01/2014,11:25:00,428.35
01/01/2014,11:30:00,428.15
01/01/2014,11:35:00,427.7
01/01/2014,11:40:00,427.85
01/01/2014,11:45:00,427.5
01/01/2014,11:50:00,428.6
01/01/2014,11:55:00,427.8
01/01/2014,12:00:00,428.0
01/01/2014,12:05:00,428.4
01/01/2014,12:10:00,427.85
01/01/2014,12:15:00,427.15
01/01/2014,12:20:00,427.1
01/01/2014,12:25:00,427.35
01/01/2014,12:30:00,427.95
01/01/2014,12:35:00,428.0
01/01/2014,12:40:00,428.0
01/01/2014,12:45:00,429.2
01/01/2014,12:50:00,428.65
01/01/2014,12:55:00,428.5
01/01/2014,13:00:00,428.6
01/01/2014,13:05:00,429.85
01/01/2014,13:10:00,429.55
01/01/2014,13:15:00,429.1
01/01/2014,13:20:00,429.15
01/01/2014,13:25:00,429.65
01/01/2014,13:30:00,429.5
01/01/2014,13:35:00,429.45
01/01/2014,13:40:00,428.8
01/01/2014,13:45:00,428.6
01/01/2014,13:50:00,429.3
01/01/2014,13:55:00,429.05
01/01/2014,14:00:00,429.0
01/01/2014,14:05:00,428.55
01/01/2014,14:10:00,428.5
01/01/2014,14:15:00,430.25
01/01/2014,14:20:00,430.9
01/01/2014,14:25:00,431.2
01/01/2014,14:30:00,431.25
01/01/2014,14:35:00,431.85
01/01/2014,14:40:00,432.4
01/01/2014,14:45:00,432.95
01/01/2014,14:50:00,433.8
01/01/2014,14:55:00,434.1
01/01/2014,15:00:00,433.55
01/01/2014,15:05:00,433.0
01/01/2014,15:10:00,433.2
01/01/2014,15:15:00,433.4
01/01/2014,15:20:00,433.5
01/01/2014,15:25:00,433.8
01/01/2014,15:30:00,433.5
02/01/2014,09:20:00,433.4
02/01/2014,09:25:00,435.0
02/01/2014,09:30:00,435.5
02/01/2014,09:35:00,436.75
02/01/2014,09:40:00,436.7
02/01/2014,09:45:00,436.2
02/01/2014,09:50:00,436.4
02/01/2014,09:55:00,437.35
02/01/2014,10:00:00,437.95
02/01/2014,10:05:00,437.35
02/01/2014,10:10:00,437.4
02/01/2014,10:15:00,436.5
02/01/2014,10:20:00,437.35
02/01/2014,10:25:00,437.25
02/01/2014,10:30:00,437.25
02/01/2014,10:35:00,436.55
02/01/2014,10:40:00,436.7
02/01/2014,10:45:00,436.85
02/01/2014,10:50:00,437.0
02/01/2014,10:55:00,436.9
02/01/2014,11:00:00,437.15
02/01/2014,11:05:00,437.05
02/01/2014,11:10:00,437.05
02/01/2014,11:15:00,437.7
02/01/2014,11:20:00,437.0
02/01/2014,11:25:00,437.65
02/01/2014,11:30:00,437.25
02/01/2014,11:35:00,436.8
02/01/2014,11:40:00,437.0
02/01/2014,11:45:00,437.15
02/01/2014,11:50:00,436.75
02/01/2014,11:55:00,436.8
02/01/2014,12:00:00,435.25
02/01/2014,12:05:00,435.2
02/01/2014,12:10:00,435.45
02/01/2014,12:15:00,435.4
02/01/2014,12:20:00,435.5
02/01/2014,12:25:00,435.65
02/01/2014,12:30:00,435.35
02/01/2014,12:35:00,436.2
02/01/2014,12:40:00,435.75
02/01/2014,12:45:00,433.95
02/01/2014,12:50:00,434.3
02/01/2014,12:55:00,434.5
02/01/2014,13:00:00,434.3
02/01/2014,13:05:00,434.45
02/01/2014,13:10:00,434.4
02/01/2014,13:15:00,433.3
02/01/2014,13:20:00,432.9
02/01/2014,13:25:00,431.8
02/01/2014,13:30:00,430.7
02/01/2014,13:35:00,431.25
02/01/2014,13:40:00,431.45
02/01/2014,13:45:00,431.25
02/01/2014,13:50:00,428.9
02/01/2014,13:55:00,429.55
02/01/2014,14:00:00,426.7
02/01/2014,14:05:00,425.3
02/01/2014,14:10:00,423.55
02/01/2014,14:15:00,424.7
02/01/2014,14:20:00,424.8
