DATE,TIME,CLOSE
01/01/2014,09:20:00,202.7
01/01/2014,09:25:00,202.8
01/01/2014,09:30:00,202.9
01/01/2014,09:35:00,202.85
01/01/2014,09:40:00,202.6
01/01/2014,09:45:00,202.65
01/01/2014,09:50:00,202.6
01/01/2014,09:55:00,202.7
01/01/2014,10:00:00,203.1
01/01/2014,10:05:00,203.35
01/01/2014,10:10:00,203.3
01/01/2014,10:15:00,203.4
01/01/2014,10:20:00,203.3
01/01/2014,10:25:00,203.25
01/01/2014,10:30:00,202.8
01/01/2014,10:35:00,202.8
01/01/2014,10:40:00,203.0
01/01/2014,10:45:00,202.95
01/01/2014,10:50:00,202.95
01/01/2014,10:55:00,203.3
01/01/2014,11:00:00,203.2
01/01/2014,11:05:00,203.1
01/01/2014,11:10:00,203.15
01/01/2014,11:15:00,203.0
01/01/2014,11:20:00,203.0
01/01/2014,11:25:00,202.95
01/01/2014,11:30:00,202.8
01/01/2014,11:35:00,202.9
01/01/2014,11:40:00,202.8
01/01/2014,11:45:00,202.7
01/01/2014,11:50:00,202.7
01/01/2014,11:55:00,202.7
01/01/2014,12:00:00,202.6
01/01/2014,12:05:00,202.55
01/01/2014,12:10:00,202.55
01/01/2014,12:15:00,202.2
01/01/2014,12:20:00,202.3
01/01/2014,12:25:00,202.05
01/01/2014,12:30:00,202.3
01/01/2014,12:35:00,202.5
01/01/2014,12:40:00,202.45
01/01/2014,12:45:00,202.65
01/01/2014,12:50:00,202.7
01/01/2014,12:55:00,202.8
01/01/2014,13:00:00,202.95
01/01/2014,13:05:00,203.05
01/01/2014,13:10:00,202.95
01/01/2014,13:15:00,202.9
01/01/2014,13:20:00,202.6
01/01/2014,13:25:00,202.7
01/01/2014,13:30:00,202.7
01/01/2014,13:35:00,202.7
01/01/2014,13:40:00,202.85
01/01/2014,13:45:00,202.8
01/01/2014,13:50:00,202.75
01/01/2014,13:55:00,202.65
01/01/2014,14:00:00,202.65
01/01/2014,14:05:00,202.5
01/01/2014,14:10:00,202.5
01/01/2014,14:15:00,202.5
01/01/2014,14:20:00,202.6
01/01/2014,14:25:00,202.55
01/01/2014,14:30:00,202.55
01/01/2014,14:35:00,202.65
01/01/2014,14:40:00,202.6
01/01/2014,14:45:00,202.65
01/01/2014,14:50:00,202.45
01/01/2014,14:55:00,201.65
01/01/2014,15:00:00,202.65
01/01/2014,15:05:00,202.65
01/01/2014,15:10:00,202.2
01/01/2014,15:15:00,202.2
01/01/2014,15:20:00,201.7
01/01/2014,15:25:00,201.95
01/01/2014,15:30:00,201.85
02/01/2014,09:20:00,202.35
02/01/2014,09:25:00,202.75
02/01/2014,09:30:00,203.3
02/01/2014,09:35:00,203.8
02/01/2014,09:40:00,203.8
02/01/2014,09:45:00,203.75
02/01/2014,09:50:00,203.55
02/01/2014,09:55:00,203.9
02/01/2014,10:00:00,203.85
02/01/2014,10:05:00,203.85
02/01/2014,10:10:00,203.95
02/01/2014,10:15:00,203.75
02/01/2014,10:20:00,203.7
02/01/2014,10:25:00,203.5
02/01/2014,10:30:00,203.4
02/01/2014,10:35:00,203.15
02/01/2014,10:40:00,203.15
02/01/2014,10:45:00,203.5
02/01/2014,10:50:00,203.15
02/01/2014,10:55:00,203.25
02/01/2014,11:00:00,203.25
02/01/2014,11:05:00,203.2
02/01/2014,11:10:00,203.2
02/01/2014,11:15:00,203.25
02/01/2014,11:20:00,203.25
02/01/2014,11:25:00,203.3
02/01/2014,11:30:00,203.35
02/01/2014,11:35:00,203.4
02/01/2014,11:40:00,204.15
02/01/2014,11:45:00,204.7
02/01/2014,11:50:00,205.2
02/01/2014,11:55:00,204.85
02/01/2014,12:00:00,204.7
02/01/2014,12:05:00,204.15
02/01/2014,12:10:00,204.25
02/01/2014,12:15:00,204.75
02/01/2014,12:20:00,204.7
02/01/2014,12:25:00,205.0
02/01/2014,12:30:00,205.1
02/01/2014,12:35:00,206.55
02/01/2014,12:40:00,206.8
02/01/2014,12:45:00,206.5
02/01/2014,12:50:00,206.2
02/01/2014,12:55:00,206.1
02/01/2014,13:00:00,205.9
02/01/2014,13:05:00,206.15
02/01/2014,13:10:00,206.35
02/01/2014,13:15:00,206.1
02/01/2014,13:20:00,205.95
02/01/2014,13:25:00,205.25
02/01/2014,13:30:00,204.65
02/01/2014,13:35:00,205.05
02/01/2014,13:40:00,205.1
02/01/2014,13:45:00,205.45
02/01/2014,13:50:00,204.8
02/01/2014,13:55:00,204.8
02/01/2014,14:00:00,203.15
02/01/2014,14:05:00,202.4
02/01/2014,14:10:00,200.4
02/01/2014,14:15:00,200.7
02/01/2014,14:20:00,201.0
02/01/2014,14:25:00,200.1
02/01/2014,14:30:00,200.0
02/01/2014,14:35:00,200.0
02/01/2014,14:40:00,199.45
02/01/2014,14:45:00,199.45
02/01/2014,14:50:00,197.7
02/01/2014,14:55:00,198.3
02/01/2014,15:00:00,198.1
02/01/2014,15:05:00,198.8
02/01/2014,15:10:00,199.35
02/01/2014,15:15:00,199.75
02/01/2014,15:20:00,200.15
02/01/2014,15:25:00,200.05
02/01/2014,15:30:00,199.1
03/01/2014,09:20:00,199.5
03/01/2014,09:25:00,199.0
03/01/2014,09:30:00,198.85
03/01/2014,09:35:00,198.5
03/01/2014,09:40:00,198.5
03/01/2014,09:45:00,199.25
03/01/2014,09:50:00,199.45
03/01/2014,09:55:00,198.6
03/01/2014,10:00:00,198.5
03/01/2014,10:05:00,198.4
03/01/2014,10:10:00,198.4
03/01/2014,10:15:00,197.7
03/01/2014,10:20:00,197.5
03/01/2014,10:25:00,197.75
03/01/2014,10:30:00,197.65
03/01/2014,10:35:00,197.75
03/01/2014,10:40:00,197.85
03/01/2014,10:45:00,197.9
03/01/2014,10:50:00,198.35
03/01/2014,10:55:00,198.2
03/01/2014,11:00:00,197.9
03/01/2014,11:05:00,198.0
03/01/2014,11:10:00,198.0
03/01/2014,11:15:00,198.15
03/01/2014,11:20:00,198.35
03/01/2014,11:25:00,198.8
03/01/2014,11:30:00,198.5
03/01/2014,11:35:00,198.2
03/01/2014,11:40:00,198.4
03/01/2014,11:45:00,198.65
03/01/2014,11:50:00,198.4
03/01/2014,11:55:00,198.45
03/01/2014,12:00:00,198.4
03/01/2014,12:05:00,198.0
03/01/2014,12:10:00,198.45
03/01/2014,12:15:00,198.65
03/01/2014,12:20:00,198.1
03/01/2014,12:25:00,197.15
03/01/2014,12:30:00,197.1
03/01/2014,12:35:00,197.1
03/01/2014,12:40:00,197.4
03/01/2014,12:45:00,197.25
03/01/2014,12:50:00,197.15
03/01/2014,12:55:00,197.05
03/01/2014,13:00:00,197.15
03/01/2014,13:05:00,196.8
03/01/2014,13:10:00,197.2
03/01/2014,13:15:00,197.0
03/01/2014,13:20:00,197.25
03/01/2014,13:25:00,197.4
03/01/2014,13:30:00,197.5
03/01/2014,13:35:00,198.0
03/01/2014,13:40:00,197.8
03/01/2014,13:45:00,197.65
03/01/2014,13:50:00,197.5
03/01/2014,13:55:00,197.55
03/01/2014,14:00:00,197.35
03/01/2014,14:05:00,197.7
03/01/2014,14:10:00,198.55
03/01/2014,14:15:00,198.35
03/01/2014,14:20:00,198.75
03/01/2014,14:25:00,198.1
03/01/2014,14:30:00,198.05
03/01/2014,14:35:00,198.35
03/01/2014,14:40:00,198.6
03/01/2014,14:45:00,198.6
03/01/2014,14:50:00,198.35
03/01/2014,14:55:00,198.5
03/01/2014,15:00:00,198.75
03/01/2014,15:05:00,198.55
03/01/2014,15:10:00,198.7
03/01/2014,15:15:00,199.5
03/01/2014,15:20:00,199.4
03/01/2014,15:25:00,198.9
03/01/2014,15:30:00,198.7
06/01/2014,09:20:00,197.1
06/01/2014,09:25:00,198.2
06/01/2014,09:30:00,197.5
06/01/2014,09:35:00,197.4
06/01/2014,09:40:00,197.25
