DATE,TIME,CLOSE
01/01/2014,09:20:00,276.0
01/01/2014,09:25:00,275.8
01/01/2014,09:30:00,275.5
01/01/2014,09:35:00,276.0
01/01/2014,09:40:00,276.0
01/01/2014,09:45:00,276.2
01/01/2014,09:50:00,275.2
01/01/2014,09:55:00,276.0
01/01/2014,10:00:00,276.1
01/01/2014,10:05:00,275.35
01/01/2014,10:10:00,275.3
01/01/2014,10:15:00,275.7
01/01/2014,10:20:00,277.15
01/01/2014,10:25:00,276.45
01/01/2014,10:30:00,275.55
01/01/2014,10:35:00,276.0
01/01/2014,10:40:00,277.0
01/01/2014,10:45:00,277.0
01/01/2014,10:50:00,277.55
01/01/2014,10:55:00,278.6
01/01/2014,11:00:00,278.5
01/01/2014,11:05:00,278.1
01/01/2014,11:10:00,277.65
01/01/2014,11:15:00,277.6
01/01/2014,11:20:00,277.75
01/01/2014,11:25:00,277.75
01/01/2014,11:30:00,277.5
01/01/2014,11:35:00,277.3
01/01/2014,11:40:00,277.35
01/01/2014,11:45:00,277.4
01/01/2014,11:50:00,277.05
01/01/2014,11:55:00,277.85
01/01/2014,12:00:00,277.85
01/01/2014,12:05:00,277.4
01/01/2014,12:10:00,277.7
01/01/2014,12:15:00,277.5
01/01/2014,12:20:00,277.55
01/01/2014,12:25:00,277.4
01/01/2014,12:30:00,277.7
01/01/2014,12:35:00,278.15
01/01/2014,12:40:00,278.1
01/01/2014,12:45:00,278.5
01/01/2014,12:50:00,278.2
01/01/2014,12:55:00,278.15
01/01/2014,13:00:00,278.3
01/01/2014,13:05:00,278.0
01/01/2014,13:10:00,278.0
01/01/2014,13:15:00,277.7
01/01/2014,13:20:00,277.55
01/01/2014,13:25:00,277.5
01/01/2014,13:30:00,277.65
01/01/2014,13:35:00,277.65
01/01/2014,13:40:00,277.6
01/01/2014,13:45:00,277.35
01/01/2014,13:50:00,277.25
01/01/2014,13:55:00,276.9
01/01/2014,14:00:00,277.0
01/01/2014,14:05:00,277.0
01/01/2014,14:10:00,276.5
01/01/2014,14:15:00,276.4
01/01/2014,14:20:00,276.8
01/01/2014,14:25:00,276.75
01/01/2014,14:30:00,276.5
01/01/2014,14:35:00,276.45
01/01/2014,14:40:00,276.45
01/01/2014,14:45:00,276.9
01/01/2014,14:50:00,277.0
01/01/2014,14:55:00,276.9
01/01/2014,15:00:00,276.95
01/01/2014,15:05:00,276.85
01/01/2014,15:10:00,276.3
01/01/2014,15:15:00,276.35
01/01/2014,15:20:00,276.3
01/01/2014,15:25:00,276.2
01/01/2014,15:30:00,276.6
02/01/2014,09:20:00,278.0
02/01/2014,09:25:00,277.9
02/01/2014,09:30:00,278.2
02/01/2014,09:35:00,278.65
02/01/2014,09:40:00,277.5
02/01/2014,09:45:00,277.4
02/01/2014,09:50:00,277.0
02/01/2014,09:55:00,277.1
02/01/2014,10:00:00,277.6
02/01/2014,10:05:00,277.5
02/01/2014,10:10:00,277.3
02/01/2014,10:15:00,277.05
02/01/2014,10:20:00,277.25
02/01/2014,10:25:00,277.85
02/01/2014,10:30:00,277.25
02/01/2014,10:35:00,277.4
02/01/2014,10:40:00,277.05
02/01/2014,10:45:00,277.4
02/01/2014,10:50:00,277.25
02/01/2014,10:55:00,277.8
02/01/2014,11:00:00,277.7
02/01/2014,11:05:00,277.25
02/01/2014,11:10:00,277.6
02/01/2014,11:15:00,277.55
02/01/2014,11:20:00,277.55
02/01/2014,11:25:00,277.1
02/01/2014,11:30:00,277.15
02/01/2014,11:35:00,277.1
02/01/2014,11:40:00,277.35
02/01/2014,11:45:00,277.3
02/01/2014,11:50:00,276.65
02/01/2014,11:55:00,276.6
02/01/2014,12:00:00,276.6
02/01/2014,12:05:00,276.9
02/01/2014,12:10:00,276.4
02/01/2014,12:15:00,276.4
02/01/2014,12:20:00,277.05
02/01/2014,12:25:00,277.05
02/01/2014,12:30:00,277.15
02/01/2014,12:35:00,277.2
02/01/2014,12:40:00,276.85
02/01/2014,12:45:00,276.85
02/01/2014,12:50:00,276.95
02/01/2014,12:55:00,276.85
02/01/2014,13:00:00,276.35
02/01/2014,13:05:00,276.85
02/01/2014,13:10:00,276.5
02/01/2014,13:15:00,276.5
02/01/2014,13:20:00,276.6
02/01/2014,13:25:00,275.5
02/01/2014,13:30:00,275.7
02/01/2014,13:35:00,275.5
02/01/2014,13:40:00,275.7
02/01/2014,13:45:00,275.75
02/01/2014,13:50:00,274.9
02/01/2014,13:55:00,274.65
02/01/2014,14:00:00,273.85
02/01/2014,14:05:00,272.5
02/01/2014,14:10:00,269.0
02/01/2014,14:15:00,270.5
02/01/2014,14:20:00,271.2
02/01/2014,14:25:00,271.0
02/01/2014,14:30:00,270.3
02/01/2014,14:35:00,270.3
02/01/2014,14:40:00,270.4
02/01/2014,14:45:00,270.2
02/01/2014,14:50:00,269.0
02/01/2014,14:55:00,268.8
02/01/2014,15:00:00,269.3
02/01/2014,15:05:00,268.9
02/01/2014,15:10:00,268.25
02/01/2014,15:15:00,268.45
02/01/2014,15:20:00,267.9
02/01/2014,15:25:00,266.8
02/01/2014,15:30:00,268.1
03/01/2014,09:20:00,268.0
03/01/2014,09:25:00,268.15
03/01/2014,09:30:00,268.75
03/01/2014,09:35:00,269.6
03/01/2014,09:40:00,269.15
03/01/2014,09:45:00,269.6
03/01/2014,09:50:00,269.55
03/01/2014,09:55:00,268.6
03/01/2014,10:00:00,269.0
03/01/2014,10:05:00,268.9
03/01/2014,10:10:00,267.45
03/01/2014,10:15:00,266.55
03/01/2014,10:20:00,266.25
03/01/2014,10:25:00,266.05
03/01/2014,10:30:00,265.95
03/01/2014,10:35:00,265.2
03/01/2014,10:40:00,265.2
03/01/2014,10:45:00,264.55
03/01/2014,10:50:00,264.5
03/01/2014,10:55:00,264.9
03/01/2014,11:00:00,265.15
03/01/2014,11:05:00,264.85
03/01/2014,11:10:00,264.75
03/01/2014,11:15:00,264.9
03/01/2014,11:20:00,265.0
03/01/2014,11:25:00,265.75
03/01/2014,11:30:00,265.35
03/01/2014,11:35:00,265.35
03/01/2014,11:40:00,265.2
03/01/2014,11:45:00,265.75
03/01/2014,11:50:00,266.05
03/01/2014,11:55:00,265.45
03/01/2014,12:00:00,265.8
03/01/2014,12:05:00,265.0
03/01/2014,12:10:00,265.85
03/01/2014,12:15:00,265.45
03/01/2014,12:20:00,265.45
03/01/2014,12:25:00,265.0
03/01/2014,12:30:00,265.6
03/01/2014,12:35:00,265.35
03/01/2014,12:40:00,265.15
03/01/2014,12:45:00,265.0
03/01/2014,12:50:00,264.5
03/01/2014,12:55:00,264.75
03/01/2014,13:00:00,264.7
03/01/2014,13:05:00,265.0
03/01/2014,13:10:00,264.05
03/01/2014,13:15:00,263.85
03/01/2014,13:20:00,263.75
03/01/2014,13:25:00,264.65
03/01/2014,13:30:00,264.9
03/01/2014,13:35:00,264.85
03/01/2014,13:40:00,264.55
03/01/2014,13:45:00,264.65
03/01/2014,13:50:00,264.75
03/01/2014,13:55:00,265.0
03/01/2014,14:00:00,264.95
03/01/2014,14:05:00,264.8
03/01/2014,14:10:00,265.3
03/01/2014,14:15:00,265.2
03/01/2014,14:20:00,265.8
03/01/2014,14:25:00,265.55
03/01/2014,14:30:00,265.3
03/01/2014,14:35:00,265.5
03/01/2014,14:40:00,266.15
03/01/2014,14:45:00,265.9
03/01/2014,14:50:00,266.0
03/01/2014,14:55:00,265.9
03/01/2014,15:00:00,265.65
03/01/2014,15:05:00,265.5
03/01/2014,15:10:00,265.55
03/01/2014,15:15:00,265.6
03/01/2014,15:20:00,265.95
03/01/2014,15:25:00,265.55
03/01/2014,15:30:00,267.0
06/01/2014,09:20:00,265.95
06/01/2014,09:25:00,266.5
06/01/2014,09:30:00,266.0
06/01/2014,09:35:00,265.15
06/01/2014,09:40:00,265.65
06/01/2014,09:45:00,265.5
06/01/2014,09:50:00,265.15
06/01/2014,09:55:00,265.8
06/01/2014,10:00:00,266.0
06/01/2014,10:05:00,266.0
06/01/2014,10:10:00,266.1
06/01/2014,10:15:00,266.0
06/01/2014,10:20:00,265.85
06/01/2014,10:25:00,266.0
06/01/2014,10:30:00,266.35
06/01/2014,10:35:00,265.8
06/01/2014,10:40:00,265.75
06/01/2014,10:45:00,265.9
06/01/2014,10:50:00,265.3
06/01/2014,10:55:00,265.8
06/01/2014,11:00:00,265.8
06/01/2014,11:05:00,265.9
06/01/2014,11:10:00,266.0
06/01/2014,11:15:00,265.9
06/01/2014,11:20:00,265.85
06/01/2014,11:25:00,265.9
06/01/2014,11:30:00,265.65
06/01/2014,11:35:00,265.95
06/01/2014,11:40:00,265.95
06/01/2014,11:45:00,265.9
06/01/2014,11:50:00,265.85
06/01/2014,11:55:00,265.8
06/01/2014,12:00:00,265.8
06/01/2014,12:05:00,265.6
06/01/2014,12:10:00,265.75
06/01/2014,12:15:00,265.85
06/01/2014,12:20:00,264.4
06/01/2014,12:25:00,264.0
06/01/2014,12:30:00,264.0
06/01/2014,12:35:00,264.0
06/01/2014,12:40:00,263.95
06/01/2014,12:45:00,263.65
06/01/2014,12:50:00,263.85
06/01/2014,12:55:00,264.0
06/01/2014,13:00:00,264.2
06/01/2014,13:05:00,264.25
06/01/2014,13:10:00,263.9
06/01/2014,13:15:00,264.0
06/01/2014,13:20:00,264.0
06/01/2014,13:25:00,264.0
06/01/2014,13:30:00,264.0
06/01/2014,13:35:00,264.0
06/01/2014,13:40:00,264.1
06/01/2014,13:45:00,263.95
06/01/2014,13:50:00,264.0
06/01/2014,13:55:00,263.85
06/01/2014,14:00:00,263.8
06/01/2014,14:05:00,263.8
06/01/2014,14:10:00,264.0
06/01/2014,14:15:00,264.0
06/01/2014,14:20:00,263.5
06/01/2014,14:25:00,263.6
06/01/2014,14:30:00,263.7
06/01/2014,14:35:00,263.9
06/01/2014,14:40:00,263.6
06/01/2014,14:45:00,263.75
06/01/2014,14:50:00,263.7
06/01/2014,14:55:00,263.95
06/01/2014,15:00:00,264.0
06/01/2014,15:05:00,264.3
06/01/2014,15:10:00,264.75
06/01/2014,15:15:00,264.6
06/01/2014,15:20:00,265.5
06/01/2014,15:25:00,265.6
06/01/2014,15:30:00,265.9
07/01/2014,09:20:00,267.3
07/01/2014,09:25:00,267.0
07/01/2014,09:30:00,267.4
07/01/2014,09:35:00,266.8
07/01/2014,09:40:00,266.55
07/01/2014,09:45:00,265.6
07/01/2014,09:50:00,265.35
07/01/2014,09:55:00,265.35
07/01/2014,10:00:00,264.6
07/01/2014,10:05:00,264.6
07/01/2014,10:10:00,264.0
07/01/2014,10:15:00,263.65
07/01/2014,10:20:00,262.2
07/01/2014,10:25:00,263.45
07/01/2014,10:30:00,263.8
07/01/2014,10:35:00,263.55
07/01/2014,10:40:00,263.7
07/01/2014,10:45:00,263.55
07/01/2014,10:50:00,263.85
07/01/2014,10:55:00,263.35
07/01/2014,11:00:00,263.75
07/01/2014,11:05:00,263.75
07/01/2014,11:10:00,264.2
07/01/2014,11:15:00,263.4
07/01/2014,11:20:00,263.5
07/01/2014,11:25:00,264.25
07/01/2014,11:30:00,263.85
07/01/2014,11:35:00,264.35
07/01/2014,11:40:00,264.45
07/01/2014,11:45:00,264.0
07/01/2014,11:50:00,264.0
07/01/2014,11:55:00,264.0
07/01/2014,12:00:00,263.8
07/01/2014,12:05:00,263.9
07/01/2014,12:10:00,264.55
07/01/2014,12:15:00,264.7
07/01/2014,12:20:00,263.6
07/01/2014,12:25:00,263.55
07/01/2014,12:30:00,263.9
07/01/2014,12:35:00,263.7
07/01/2014,12:40:00,264.0
07/01/2014,12:45:00,264.25
07/01/2014,12:50:00,264.65
07/01/2014,12:55:00,264.15
07/01/2014,13:00:00,264.2
07/01/2014,13:05:00,263.5
07/01/2014,13:10:00,263.55
07/01/2014,13:15:00,263.3
07/01/2014,13:20:00,263.75
07/01/2014,13:25:00,263.4
07/01/2014,13:30:00,263.75
07/01/2014,13:35:00,263.8
07/01/2014,13:40:00,264.0
07/01/2014,13:45:00,263.75
07/01/2014,13:50:00,264.5
07/01/2014,13:55:00,264.1
07/01/2014,14:00:00,264.4
07/01/2014,14:05:00,264.25
07/01/2014,14:10:00,264.35
07/01/2014,14:15:00,264.35
07/01/2014,14:20:00,264.4
07/01/2014,14:25:00,264.1
07/01/2014,14:30:00,264.5
07/01/2014,14:35:00,264.6
07/01/2014,14:40:00,264.65
07/01/2014,14:45:00,264.6
07/01/2014,14:50:00,264.5
07/01/2014,14:55:00,265.3
07/01/2014,15:00:00,264.7
07/01/2014,15:05:00,264.3
07/01/2014,15:10:00,264.0
07/01/2014,15:15:00,263.75
07/01/2014,15:20:00,263.75
07/01/2014,15:25:00,263.35
07/01/2014,15:30:00,263.4
08/01/2014,09:20:00,265.6
08/01/2014,09:25:00,264.75
08/01/2014,09:30:00,264.15
08/01/2014,09:35:00,264.35
08/01/2014,09:40:00,264.7
08/01/2014,09:45:00,264.3
08/01/2014,09:50:00,264.65
08/01/2014,09:55:00,264.75
08/01/2014,10:00:00,264.4
08/01/2014,10:05:00,265.05
08/01/2014,10:10:00,265.1
08/01/2014,10:15:00,265.05
08/01/2014,10:20:00,265.1
08/01/2014,10:25:00,265.5
08/01/2014,10:30:00,265.85
08/01/2014,10:35:00,267.0
08/01/2014,10:40:00,268.3
08/01/2014,10:45:00,268.2
08/01/2014,10:50:00,267.75
08/01/2014,10:55:00,268.45
08/01/2014,11:00:00,269.5
08/01/2014,11:05:00,269.1
08/01/2014,11:10:00,268.7
08/01/2014,11:15:00,269.35
08/01/2014,11:20:00,271.1
08/01/2014,11:25:00,270.6
08/01/2014,11:30:00,270.9
08/01/2014,11:35:00,270.15
08/01/2014,11:40:00,270.55
08/01/2014,11:45:00,270.9
08/01/2014,11:50:00,270.35
08/01/2014,11:55:00,270.0
08/01/2014,12:00:00,270.25
08/01/2014,12:05:00,270.1
08/01/2014,12:10:00,270.15
08/01/2014,12:15:00,270.0
08/01/2014,12:20:00,270.05
08/01/2014,12:25:00,270.2
08/01/2014,12:30:00,270.45
08/01/2014,12:35:00,270.35
08/01/2014,12:40:00,270.7
08/01/2014,12:45:00,271.0
08/01/2014,12:50:00,270.4
