DATE,TIME,CLOSE
01/01/2014,09:20:00,371.6
01/01/2014,09:25:00,372.6
01/01/2014,09:30:00,373.75
01/01/2014,09:35:00,373.9
01/01/2014,09:40:00,373.2
01/01/2014,09:45:00,373.8
01/01/2014,09:50:00,373.3
01/01/2014,09:55:00,373.1
01/01/2014,10:00:00,373.15
01/01/2014,10:05:00,372.95
01/01/2014,10:10:00,373.25
01/01/2014,10:15:00,373.4
01/01/2014,10:20:00,373.9
01/01/2014,10:25:00,373.6
01/01/2014,10:30:00,373.25
01/01/2014,10:35:00,373.0
01/01/2014,10:40:00,373.25
01/01/2014,10:45:00,373.5
01/01/2014,10:50:00,373.45
01/01/2014,10:55:00,373.5
01/01/2014,11:00:00,373.35
01/01/2014,11:05:00,373.4
01/01/2014,11:10:00,373.1
01/01/2014,11:15:00,373.0
01/01/2014,11:20:00,373.3
01/01/2014,11:25:00,373.5
01/01/2014,11:30:00,373.2
01/01/2014,11:35:00,372.6
01/01/2014,11:40:00,372.95
01/01/2014,11:45:00,372.95
01/01/2014,11:50:00,373.0
01/01/2014,11:55:00,373.15
01/01/2014,12:00:00,373.35
01/01/2014,12:05:00,373.4
01/01/2014,12:10:00,373.4
01/01/2014,12:15:00,373.1
01/01/2014,12:20:00,373.0
01/01/2014,12:25:00,373.0
01/01/2014,12:30:00,372.75
01/01/2014,12:35:00,372.8
01/01/2014,12:40:00,373.0
01/01/2014,12:45:00,373.4
01/01/2014,12:50:00,373.65
01/01/2014,12:55:00,373.7
01/01/2014,13:00:00,374.0
01/01/2014,13:05:00,374.25
01/01/2014,13:10:00,373.85
01/01/2014,13:15:00,373.6
01/01/2014,13:20:00,373.55
01/01/2014,13:25:00,373.45
01/01/2014,13:30:00,373.5
01/01/2014,13:35:00,373.6
01/01/2014,13:40:00,373.6
01/01/2014,13:45:00,373.5
01/01/2014,13:50:00,373.65
01/01/2014,13:55:00,373.3
01/01/2014,14:00:00,373.25
01/01/2014,14:05:00,373.05
01/01/2014,14:10:00,372.3
01/01/2014,14:15:00,372.75
01/01/2014,14:20:00,373.15
01/01/2014,14:25:00,372.8
01/01/2014,14:30:00,372.6
01/01/2014,14:35:00,372.85
01/01/2014,14:40:00,373.0
01/01/2014,14:45:00,373.25
01/01/2014,14:50:00,373.6
01/01/2014,14:55:00,373.2
01/01/2014,15:00:00,373.15
01/01/2014,15:05:00,373.0
01/01/2014,15:10:00,373.55
01/01/2014,15:15:00,373.85
01/01/2014,15:20:00,374.2
01/01/2014,15:25:00,375.5
01/01/2014,15:30:00,375.5
02/01/2014,09:20:00,375.3
02/01/2014,09:25:00,375.1
02/01/2014,09:30:00,377.05
02/01/2014,09:35:00,377.75
02/01/2014,09:40:00,378.3
02/01/2014,09:45:00,379.1
02/01/2014,09:50:00,379.75
02/01/2014,09:55:00,378.85
02/01/2014,10:00:00,380.3
02/01/2014,10:05:00,380.85
02/01/2014,10:10:00,381.5
02/01/2014,10:15:00,380.15
02/01/2014,10:20:00,380.6
