HIGH,LOW,CLOSE,Final_Signal,Slope,Slope_Signal,PSAR,PSAR_Signal,Crossover_Signal,Equity,Holding Period,,
321.95,320,320.9,0,0,0,321.95,0,0,0,2,,1
321.35,318.85,318.85,0,0,0,321.95,-1,0,0,3,,2
320.6,319.5,319.5,0,0,0,321.95,-1,0,0,4,,3
320,319,319.25,0,0,0,321.826,-1,0,0,5,,4
319.8,319.2,319.55,0,0,0,321.70696,-1,0,0,6,,5
319.4,318.7,318.7,0,0,0,321.5926816,-1,0,0,7,,6
319.2,318.8,319.2,0,0,0,321.4191207,-1,0,0,8,,7
319.5,319.05,319.1,0,0,0,321.2559735,-1,0,0,9,,8
319.1,319,319,0,0,0,321.1026151,-1,0,0,10,,9
319.55,318.7,319.45,0,0,0,320.9584582,-1,0,0,11,,10
320,318.9,320,0,0,0,320.8229507,-1,0,0,12,,11
320.1,318.35,319.15,0,0,0,320.6955736,-1,0,0,13,,12
321.2,319,320.35,0,0,0,318.35,-1,0,0,14,,13
320.1,319.35,319.95,0,0,0,318.35,1,0,0,15,,14
319.95,319.5,319.5,0,0,0,318.407,1,0,0,16,,15
324.5,319.45,324.5,0,0.011785714,1,318.46286,1,0,0,17,,16
325,324.05,324.5,0,0.176964286,1,318.7043456,1,0,0,18,,17
324.35,323.8,323.9,0,0.270714286,1,319.0820849,1,0,0,19,,18
323.55,322.4,322.4,0,0.347857143,1,319.4371598,1,0,0,20,,19
325.1,322.9,323.9,1,0.364642857,1,319.7709302,1,1,0.004652605,1,,20
322.95,321.1,321.1,1,0.41625,1,320.1972558,1,1,-0.003992038,2,,21
321.6,320.6,320.6,1,0.358035714,1,320.5894753,1,1,-0.005549185,3,,22
320.55,319.05,319.05,1,0.293035714,1,325.1,1,1,-0.01038387,4,,23
319.85,318.55,319.3,0,0.181428571,1,324.979,-1,1,-0.01038387,1,,24
324.75,322.2,323.75,0,0.073392857,1,318.55,-1,1,-0.01038387,2,,25
326.65,323.8,326.65,1,0.088392857,1,318.55,1,1,-0.001426341,1,,26
326.25,325.55,325.55,1,0.17625,1,318.874,1,1,-0.00479386,2,,27
325.5,324.6,324.6,1,0.188571429,1,319.18504,1,1,-0.007711999,3,,28
325.35,323.8,325.35,1,0.188571429,1,319.4836384,1,1,-0.005401463,4,,29
324.8,324.45,324.45,1,0.180714286,1,319.7702929,1,1,-0.008167714,5,,30
324.8,324.25,324.25,1,0.118214286,1,320.0454811,1,1,-0.008784142,6,,31
325.3,323.55,324.45,1,0.175892857,1,320.3096619,1,1,-0.008167334,7,,32
325.1,324.45,325.05,1,0.239464286,1,320.5632754,1,1,-0.006318051,8,,33
324.8,323.7,324.3,1,0.301071429,1,320.8067444,1,1,-0.008625388,9,,34
323.85,322.7,322.85,1,0.296964286,1,321.0404746,1,1,-0.013096557,10,,35
324.3,322.05,324,1,0.292678571,1,321.2648556,1,1,-0.009534531,11,,36
