,,,,,,,,,,,,,,PSAR CALCULATION,,,,,,0.02
HIGH,LOW,CLOSE,Final_Signal,Slope,Slope_Signal,PSAR,PSAR_Signal,Crossover_Signal,Equity,Holding Period,,,,EP,Acc,PSAR - EP*Acc,Initial PSAR,PSAR ,Trend,0.2
321.95,320,320.9,0,0,0,321.95,0,0,0,2,,1,,,,,,,,
321.35,318.85,318.85,0,0,0,321.95,-1,0,0,3,,2,,320.9,0.02,0.021,,321.950000,falling,
320.6,319.5,319.5,0,0,0,321.95,-1,0,0,4,,3,,319.5,0.04,0.098,321.95,321.950000,falling,
320,319,319.25,0,0,0,321.826,-1,0,0,5,,4,,319,0.06,0.17112,321.852,321.852000,falling,
319.8,319.2,319.55,0,0,0,321.70696,-1,0,0,6,,5,,319,0.06,0.1608528,321.68088,321.680880,falling,
319.4,318.7,318.7,0,0,0,321.5926816,-1,0,0,7,,6,,318.7,0.08,0.225602176,321.5200272,321.520027,falling,
319.2,318.8,319.2,0,0,0,321.4191207,-1,0,0,8,,7,,318.7,0.08,0.207554002,321.294425,321.294425,falling,
319.5,319.05,319.1,0,0,0,321.2559735,-1,0,0,9,,8,,318.7,0.08,0.190949682,321.086871,321.086871,falling,
319.1,319,319,0,0,0,321.1026151,-1,0,0,10,,9,,318.7,0.08,0.175673707,320.8959213,320.895921,falling,
319.55,318.7,319.45,0,0,0,320.9584582,-1,0,0,11,,10,,318.7,0.08,0.161619811,320.7202476,320.720248,falling,
320,318.9,320,0,0,0,320.8229507,-1,0,0,12,,11,,318.7,0.08,0.148690226,320.5586278,320.558628,falling,
320.1,318.35,319.15,0,0,0,320.6955736,-1,0,0,13,,12,,318.35,0.1,0.20599376,320.4099376,320.409938,falling,
321.2,319,320.35,0,0,0,318.35,-1,0,0,14,,13,,321.2,0.02,-0.057,320.2039438,318.350000,rising,
320.1,319.35,319.95,0,0,0,318.35,1,0,0,15,,14,,321.2,0.02,-0.057,318.35,318.350000,rising,
319.95,319.5,319.5,0,0,0,318.407,1,0,0,16,,15,,321.2,0.02,-0.05586,318.407,318.407000,rising,
324.5,319.45,324.5,0,0.011785714,1,318.46286,1,0,0,17,,16,,324.5,0.04,-0.2414856,318.46286,318.462860,rising,
